样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
4.0,0.0,-70.0,73.0,1255126.6207700006
4.0,1.0,-70.0,73.0,1654178.9581550003
4.0,2.0,11.0,73.0,1762458.5336200004
4.0,3.0,51.0,34.0,1797908.9107650016
4.0,4.0,26.0,34.0,2395375.9605600014
4.0,5.0,19.0,34.0,1340162.199425002
4.0,6.0,-63.0,58.0,1755261.8444250003
4.0,7.0,-3.0,57.0,1624454.2915150004
