样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
7.0,0.0,89.0,-11.0,1818371.4773800066
7.0,1.0,-82.0,98.0,1138898.4713300003
7.0,2.0,11.0,98.0,2465154.806395001
7.0,3.0,-70.0,73.0,1822976.3249500007
7.0,4.0,-70.0,73.0,2096779.2813550006
7.0,5.0,-70.0,58.0,1875692.0310500006
7.0,6.0,-63.0,58.0,2396933.8473700006
7.0,7.0,28.0,34.0,3092390.4129800037
