样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
3.0,0.0,-42.0,9.0,1278151.8401800012
3.0,1.0,-42.0,46.0,1792828.6403300003
3.0,2.0,51.0,73.0,1631257.969395001
3.0,3.0,26.0,34.0,2085745.7397750008
3.0,4.0,19.0,34.0,1722645.9289100016
3.0,5.0,-100.0,58.0,1418228.041525
3.0,6.0,88.0,46.0,1309653.4258100004
3.0,7.0,-63.0,44.0,1581636.0247450005
