样本内数据年份数,8.0
样本外净资产,1452862.4448700047
总收益率,0.45286244487000465
年复利,0.04778245041879692
最大回撤率,-0.33241260169698517
夏普率,0.19984433006849533
程序运行时间,2022-10-15 14:36:06
程序运行时长,0.4359s
