样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
5.0,0.0,4.0,9.0,120.0,1552146.538310007
5.0,1.0,4.0,9.0,120.0,1475362.2376650048
5.0,2.0,8.0,20.0,120.0,2016268.3750250025
5.0,3.0,5.0,13.0,120.0,1946281.2479400027
5.0,4.0,5.0,13.0,120.0,2076113.9683000068
5.0,5.0,6.0,11.0,120.0,2377878.9920400064
5.0,6.0,6.0,11.0,120.0,1896633.3188950066
5.0,7.0,6.0,15.0,139.0,1540456.846680005
