样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
4.0,0.0,4.0,21.0,120.0,914981.3482000027
4.0,1.0,4.0,21.0,120.0,1513983.8829300026
4.0,2.0,4.0,21.0,120.0,1790947.883270003
4.0,3.0,4.0,21.0,127.0,1737908.161340003
4.0,4.0,4.0,21.0,126.0,2143377.0851350036
4.0,5.0,4.0,21.0,126.0,1414039.4120300026
4.0,6.0,5.0,21.0,121.0,1454677.825005003
4.0,7.0,7.0,8.0,120.0,1484596.6103050038
