样本内数据年份数,步长/月,样本内开始,样本内结束,样本外开始,样本外结束,最佳短期均线,最佳中期均线,样本内净资产
8,12,2006-01-04,2013-12-31,2014-01-02,2014-12-31,7,41,7576352.119150016
8,12,2007-01-04,2014-12-31,2015-01-05,2015-12-31,6,79,4887152.430900009
8,12,2008-01-02,2015-12-31,2016-01-04,2016-12-30,6,39,2570290.728495003
8,12,2009-01-05,2016-12-30,2017-01-03,2017-12-29,1,42,3110051.2083350127
8,12,2010-01-04,2017-12-29,2018-01-02,2018-12-28,6,30,2132626.8524750043
8,12,2011-01-04,2018-12-28,2019-01-02,2019-12-31,1,42,1758644.5168400102
8,12,2012-01-04,2019-12-31,2020-01-02,2020-12-31,10,25,2122122.607170007
8,12,2013-01-04,2020-12-31,2021-01-04,2021-12-31,8,55,2401897.5821200036
