样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
5.0,0.0,71.0,-11.0,1759634.9528700053
5.0,1.0,-70.0,73.0,1751605.2656500007
5.0,2.0,34.0,0.0,1569817.5681400022
5.0,3.0,26.0,34.0,1977963.283440001
5.0,4.0,51.0,34.0,2042237.4132500025
5.0,5.0,26.0,34.0,1862932.0083900017
5.0,6.0,19.0,34.0,1842638.103475002
5.0,7.0,-63.0,46.0,2166020.1482300004
