样本内数据年份数,8.0
样本外净资产,1657045.6413700022
总收益率,0.6570456413700022
年复利,0.06514178635562451
最大回撤率,-0.5292859360324553
夏普率,0.2572590632753951
程序运行时间,2022-10-15 14:30:02
程序运行时长,0.468s
