Date,netAsset,yearTotalRate
2006-01-04,1013454.2508650002,
2006-12-29,2251363.620865,1.2462389865188515
2007-12-28,5113311.87614,1.2712065828688335
2008-12-31,4017475.132815001,-0.2143105622871253
2009-12-31,7136887.070905001,0.7764607956401368
2010-12-31,6531618.787285001,-0.0848084434581432
2011-12-30,5180985.728885001,-0.2067838161390032
2012-12-31,5949689.868885001,0.14837024848656233
2013-12-31,5043844.068885,-0.15225092735291768
2014-12-31,8267585.648885001,0.639143783188493
2015-12-31,9984785.825635003,0.20770273810003892
2016-12-30,9432582.225635001,-0.0553045012324922
2017-12-29,11797861.185635002,0.250756251408216
2018-12-28,10522067.081715,-0.10813774495612816
2019-12-31,13470599.544175,0.280223689847396
2020-12-31,16009515.284175001,0.18847830281599354
2021-12-31,14762304.642370008,-0.07790433499494076
