样本内数据年份数,第iyear窗口,bestShortEMA,bestMeduimEMA,bestDEA1,bestDEA2,样本内净资产
8,0,10,38,9,9,5240896.811250007
8,1,10,38,89,9,3552956.1093150037
8,2,10,38,-3,4,2613754.6334550027
8,3,10,38,-3,5,2678640.907340003
8,4,10,38,-3,5,2058732.7314000016
8,5,10,38,-9,7,2057405.1185300015
8,6,10,38,-11,26,3112069.96477
8,7,10,38,-9,26,3284864.524100001
