样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
7.0,0.0,2.0,13.0,120.0,2863699.886980015
7.0,1.0,1.0,20.0,120.0,2276131.8704800066
7.0,2.0,1.0,20.0,120.0,2817363.86516001
7.0,3.0,4.0,9.0,120.0,1965517.6850300077
7.0,4.0,5.0,13.0,120.0,2200000.6041550064
7.0,5.0,5.0,13.0,120.0,2214009.027075006
7.0,6.0,8.0,20.0,120.0,2535186.852635007
7.0,7.0,5.0,13.0,120.0,2746617.031575014
