Date,Open,Close,sign,hold,balance,netAsset,profit
2014/1/2,2323.43,2321.98,0,0,1000000,1000000,0
2014/2/18,2310.31,2282.44,1,432,1447.05304,999500.973,0
2014/2/27,2170.81,2154.11,-1,0,938768.0781,938768.0781,-61231.92192
2014/4/11,2269.56,2270.67,1,413,971.13394,938299.4139,0
2014/4/30,2158.76,2158.66,-1,0,892093.23,892093.23,-46674.84808
2014/6/18,2169.25,2160.24,1,411,85.699125,891647.4491,0
2014/6/26,2135.16,2149.08,-1,0,877197.6837,877197.6837,-14895.54626
2014/7/3,2169,2180.19,1,404,483.545745,876759.5457,0
2014/10/29,2423.81,2451.38,-1,0,979213.1761,979213.1761,102015.4924
2014/11/3,2515.82,2512.55,1,389,69.869135,978723.8491,0
2014/12/31,3462.39,3533.71,0,389,69.869135,1374683.059,0
2015/1/5,3566.09,3641.54,1,389,69.869135,1416628.929,0
2015/7/2,4287.73,4108,-1,0,1667162.876,1667162.876,1667093.007
2015/11/10,3806.67,3833.24,1,437,2816.328255,1666331.118,0
2015/12/31,3760.9,3731,0,437,2816.328255,1633263.328,0
2016/1/4,3725.86,3469.07,1,437,2816.328255,1518799.918,0
2016/1/5,3382.18,3478.78,-1,0,1480089.982,1480089.982,1477273.654
2016/3/10,3056.21,3013.15,1,484,144.739105,1479350.379,0
2016/4/28,3169.33,3160.58,-1,0,1533333.481,1533333.481,53243.49932
2016/5/6,3213.14,3130.35,1,476,3114.113925,1532568.754,0
2016/5/9,3115.43,3065.62,-1,0,1485317.322,1485317.322,-48016.15966
2016/6/7,3182.44,3177.05,1,466,1558.773065,1484575.813,0
2016/6/17,3096.09,3110.36,-1,0,1443615.324,1443615.324,-41701.99749
2016/6/29,3142.48,3151.39,1,459,495.804935,1442894.125,0
2016/9/20,3264.67,3257.4,-1,0,1498230.093,1498230.093,54614.76908
2016/10/19,3323.3,3316.24,1,450,1997.35067,1497482.351,0
2016/12/16,3335.36,3346.03,-1,0,1502158.895,1502158.895,3928.8015
2016/12/30,3302.6,3310.08,0,0,1502158.895,1502158.895,0
2017/1/3,3313.95,3342.23,0,0,1502158.895,1502158.895,0
2017/2/3,3390.93,3364.49,1,442,2618.43914,1501409.499,0
2017/2/6,3368.11,3373.21,-1,0,1490578.707,1490578.707,-11580.18784
2017/2/7,3371.77,3365.68,1,441,2884.661545,1489835.232,0
2017/3/31,3434.82,3456.05,-1,0,1516882.904,1516882.904,26304.19691
2017/4/5,3476.42,3503.89,1,436,405.924175,1516125.044,0
2017/4/19,3452.99,3445.88,-1,0,1505156.812,1505156.812,-11726.09138
2017/5/26,3479.62,3480.43,1,432,1209.374435,1504405.214,0
2017/8/14,3651.38,3694.68,-1,0,1577816.836,1577816.836,72660.024
2017/8/15,3695.78,3706.06,1,426,2627.355215,1577029.635,0
2017/12/1,4003.56,3998.14,-1,0,1707291.157,1707291.157,129474.3206
2017/12/5,4007.94,4040.17,1,425,3064.969685,1706439.47,0
2017/12/7,4003.58,3971.06,-1,0,1703735.709,1703735.709,-3555.448
2017/12/12,4068.51,4016.02,1,418,2248.210345,1702885.39,0
2017/12/13,4013.83,4050.09,-1,0,1679190.26,1679190.26,-24545.44906
2017/12/14,4050.9,4026.15,1,414,1279.123575,1678351.724,0
2017/12/15,4018.73,3980.86,-1,0,1664201.466,1664201.466,-14988.79341
2017/12/22,4064.91,4054.6,1,409,822.00237,1663370.192,0
2017/12/26,4040.62,4053.62,-1,0,1652609.276,1652609.276,-11592.19088
2017/12/29,4022.88,4030.86,0,0,1652609.276,1652609.276,0
2018/1/2,4045.21,4087.4,0,0,1652609.276,1652609.276,0
2018/1/4,4114.12,4128.81,1,401,2022.27452,1651784.395,0
2018/2/8,4022.88,4012.05,-1,0,1614390.567,1614390.567,-38218.7085
2018/3/19,4054.62,4074.25,1,397,3901.58501,1613585.725,0
2018/3/26,3862.69,3879.89,-1,0,1536622.771,1536622.771,-77767.79603
2018/5/11,3902.15,3872.84,1,393,2311.04857,1535855.999,0
2018/5/31,3749.3,3802.38,-1,0,1475049.211,1475049.211,-61573.55992
2018/7/27,3533.77,3521.23,1,417,730.330075,1474312.42,0
2018/8/6,3312.82,3273.27,-1,0,1381485.547,1381485.547,-93563.66401
2018/9/26,3388.56,3417.24,1,407,1652.055145,1380795.975,0
2018/10/12,3123.37,3170.73,-1,0,1272228.039,1272228.039,-109257.5078
2018/11/9,3193.3,3167.44,1,398,659.17265,1271592.573,0
2018/11/28,3137.75,3178.93,-1,0,1248859.26,1248859.26,-23368.77895
2018/12/6,3218.11,3181.67,1,387,2827.986115,1248236.556,0
2018/12/12,3181.57,3170.61,-1,0,1233479.942,1233479.942,-15379.31808
2018/12/28,2994.8,3010.65,0,0,1233479.942,1233479.942,0
2019/1/2,3017.07,2969.54,0,0,1233479.942,1233479.942,0
2019/1/17,3132.63,3111.42,1,393,1740.790525,1232864.381,0
2019/1/18,3124.5,3168.17,-1,0,1229055.326,1229055.326,-4424.616045
2019/1/21,3170.88,3185.64,1,387,1311.200995,1228441.761,0
2019/5/7,3702.27,3720.67,-1,0,1433373.302,1433373.302,204317.9755
2019/6/21,3832.73,3833.94,1,373,3050.207605,1432658.498,0
2019/8/5,3724.41,3675.69,-1,0,1391560.535,1391560.535,-41812.76661
2019/8/20,3786.03,3787.73,1,367,1392.788635,1390865.799,0
2019/8/21,3778.31,3781.76,-1,0,1387339.239,1387339.239,-4221.29639
2019/8/23,3796.88,3820.86,1,365,785.10815,1386646.308,0
2019/8/27,3791.46,3816.95,-1,0,1383976.067,1383976.067,-3363.17205
2019/8/28,3818.81,3802.58,1,362,875.64209,1383284.862,0
2019/10/8,3818.59,3837.68,-1,0,1382514.057,1382514.057,-1462.0094
2019/10/9,3822.61,3843.24,1,361,1861.866195,1381824.076,0
2019/10/24,3877.92,3870.67,-1,0,1401091.022,1401091.022,18576.96434
2019/10/28,3904.98,3926.59,1,358,2409.190215,1400392.03,0
2019/11/1,3883.81,3952.39,-1,0,1392117.968,1392117.968,-8973.05341
2019/11/4,3964.01,3978.12,1,351,54.77447,1391422.284,0
2019/11/12,3905.96,3903.69,-1,0,1370361.238,1370361.238,-21756.72973
2019/11/20,3940.13,3907.86,1,347,2452.515935,1369677.626,0
2019/11/22,3894.17,3850,-1,0,1353053.867,1353053.867,-17307.37105
2019/12/12,3908.45,3891.02,1,346,54.00559,1352377.706,0
2019/12/13,3928,3968.22,-1,0,1358462.462,1358462.462,5408.59415
2019/12/16,3970.71,3987.55,1,341,3773.345535,1357785.456,0
2019/12/31,4077.75,4096.58,0,341,3773.345535,1400707.126,0
2020/1/2,4121.35,4152.24,1,341,3773.345535,1419687.186,0
2020/2/5,3801.1,3828.53,-1,0,1299300.358,1299300.358,1295527.012
2020/2/25,4066.3,4123.85,1,319,1502.083135,1298651.783,0
2020/3/17,3739.78,3709.68,-1,0,1193895.408,1193895.408,-105404.9498
2020/4/15,3820.85,3797.36,1,312,1194.155625,1193299.356,0
2020/5/29,3838.38,3867.02,-1,0,1198169.928,1198169.928,4274.52012
2020/6/9,4027.56,4047.03,1,297,1386.515685,1197571.836,0
2020/8/6,4779.24,4762.76,-1,0,1420111.079,1420111.079,221941.1502
2020/8/11,4730.38,4681.78,1,300,287.521545,1419401.522,0
2020/9/14,4652.05,4651.05,-1,0,1395204.714,1395204.714,-24906.3645
2020/10/16,4798.92,4791.68,1,290,2822.070645,1394508.871,0
2020/12/21,4995.76,5046.84,-1,0,1450868.085,1450868.085,55663.3714
2020/12/28,5042.94,5064.41,1,287,2820.643555,1450144.424,0
2020/12/31,5122.48,5211.29,0,287,2820.643555,1498460.874,0
2021/1/4,5212.93,5267.72,1,287,2820.643555,1514656.284,0
2021/3/9,5066.15,4971,-1,0,1456078.701,1456078.701,1453258.057
2021/5/21,5199.13,5134.15,1,279,4796.152395,1455353.422,0
2021/6/24,5156.56,5155.97,-1,0,1442757.052,1442757.052,-13321.64875
2021/6/29,5248.52,5190.54,1,274,3943.525035,1442038.005,0
2021/7/9,5063.15,5069.44,-1,0,1390552.973,1390552.973,-52204.07879
2021/10/18,4922.51,4874.78,1,282,1711.079575,1389858.9,0
2021/11/4,4841.09,4868.74,-1,0,1366215.866,1366215.866,-24337.1076
2021/12/9,5000.69,5078.69,1,273,344.9017,1365533.272,0
2021/12/31,4937.46,4940.37,0,273,344.9017,1349065.912,0
