样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
6.0,0.0,4.0,9.0,120.0,1553050.9237700065
6.0,1.0,1.0,21.0,120.0,2392596.687635006
6.0,2.0,4.0,9.0,120.0,1830252.582905006
6.0,3.0,5.0,13.0,120.0,1956298.2715450034
6.0,4.0,5.0,13.0,120.0,2189138.958790005
6.0,5.0,5.0,13.0,120.0,2099671.032525008
6.0,6.0,5.0,13.0,120.0,2750906.548670011
6.0,7.0,5.0,13.0,120.0,1838014.0318750073
