Date,Open,Close,MA,sign,hold,balance,netAsset,profit
2014/1/2,2323.43,2321.98,2350.93648,0,0,1000000,1000000,0
2014/7/23,2191.39,2197.83,2178.5004,1,456,226.52308,999500.3631,0
2014/12/31,3462.39,3533.71,2553.57248,0,456,226.52308,1611598.283,0
2015/1/5,3566.09,3641.54,2565.33784,1,456,226.52308,226.52308,0
2015/7/3,4017.2,3885.92,4177.01904,-1,0,1831153.801,1831153.801,1830927.278
2015/7/14,4178.63,4112.15,4200.90192,1,437,4179.460825,1830240.771,0
2015/7/15,4068.88,3966.76,4204.26224,-1,0,1781390.971,1781390.971,-49762.83093
2015/7/24,4255.2,4176.28,4240.57456,1,418,1828.033745,1780501.634,0
2015/7/27,4097.8,3818.73,4242.73336,-1,0,1713851.994,1713851.994,-67538.977
2015/12/18,3754.96,3767.91,3738.2636,1,456,734.102665,1712995.863,0
2015/12/31,3760.9,3731,3675.72312,0,456,734.102665,1702070.103,0
2016/1/4,3725.86,3469.07,3659.1495,1,456,734.102665,734.102665,0
2016/1/5,3382.18,3478.78,3655.659083,-1,0,1542237.046,1542237.046,1541502.943
2016/6/30,3152.83,3153.92,3127.330667,1,488,2886.715105,1541467.755,0
2016/12/21,3313.75,3338.54,3321.174167,-1,0,1619188.16,1619188.16,76951.11448
2016/12/22,3335.12,3335.67,3322.83475,1,485,846.193505,1618379.394,0
2016/12/26,3293.22,3322.4,3325.5405,-1,0,1597259.288,1597259.288,-21928.87245
2016/12/30,3302.6,3310.08,3329.2325,0,0,1597259.288,1597259.288,0
2017/1/3,3313.95,3342.23,3330.334833,0,0,1597259.288,1597259.288,0
2017/1/4,3340.56,3368.31,3331.80175,1,477,3015.444095,1596462.564,0
2017/1/12,3332.69,3317.62,3336.096,-1,0,1591913.728,1591913.728,-5345.560125
2017/1/19,3330.95,3329.29,3339.762417,1,477,2256.145955,1591119.296,0
2017/1/20,3326.98,3354.89,3340.47325,-1,0,1588432.121,1588432.121,-3481.606305
2017/1/23,3359.05,3364.08,3341.688583,1,472,2167.785425,1587639.385,0
2017/5/4,3404.94,3404.39,3424.053,-1,0,1608495.9,1608495.9,20063.77836
2017/5/17,3423.19,3409.97,3422.358,1,469,2217.05153,1607693.162,0
2017/5/18,3387.67,3398.11,3422.19675,-1,0,1590239.873,1590239.873,-18256.02667
2017/5/24,3409.72,3424.17,3420.451,1,466,515.888155,1589445.408,0
