Date,Open,Close,MA,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,2350.9364800000003,0.0,0.0,1000000.0,1000000.0,0.0
2014-07-23,2191.39,2197.83,2178.5004,1.0,456.0,226.5230800000718,999500.36308,0.0
2015-07-03,4017.2,3885.92,4177.01904,-1.0,0.0,1831153.80148,1831153.80148,831153.8014799999
2015-07-14,4178.63,4112.15,4200.90192,1.0,437.0,4179.460824999958,1830240.770825,0.0
2015-07-15,4068.88,3966.76,4204.26224,-1.0,0.0,1781390.9705450002,1781390.9705450002,-49762.83093499974
2015-07-24,4255.2,4176.28,4240.574560000001,1.0,418.0,1828.0337450003717,1780501.6337450002,0.0
2015-07-27,4097.8,3818.73,4242.73336,-1.0,0.0,1713851.9935450007,1713851.9935450007,-67538.97699999949
2015-12-18,3754.96,3767.91,3738.2636,1.0,456.0,734.102665000828,1712995.8626650008,0.0
2016-01-05,3382.18,3478.78,3664.4177600000003,-1.0,0.0,1542237.0456250007,1542237.0456250007,-171614.94791999995
2016-07-01,3156.93,3154.2,3147.35648,1.0,488.0,884.9147050010506,1541466.754705001,0.0
2016-12-21,3313.75,3338.54,3312.7695999999996,-1.0,0.0,1617186.359705001,1617186.359705001,74949.31408000039
2016-12-22,3335.12,3335.67,3314.6043999999997,1.0,484.0,2181.180665001273,1616379.260665001,0.0
2016-12-26,3293.22,3322.4,3317.63416,-1.0,0.0,1595302.7014250013,1595302.7014250013,-21883.658279999858
2016-12-27,3319.21,3316.39,3319.548,1.0,480.0,1285.2910250013229,1594506.0910250014,0.0
2016-12-28,3315.75,3301.89,3320.9988,-1.0,0.0,1592049.5110250013,1592049.5110250013,-3253.190399999963
2017-01-04,3340.56,3368.31,3326.77856,1.0,476.0,1147.8977450013626,1591254.4577450014,0.0
2017-01-13,3317.96,3319.91,3333.99488,-1.0,0.0,1579707.1832650015,1579707.1832650015,-12342.327759999782
2017-01-19,3330.95,3329.29,3335.7272000000003,1.0,474.0,47.44811500189826,1578917.7481150017,0.0
2017-01-20,3326.98,3354.89,3336.58048,-1.0,0.0,1576247.473855002,1576247.473855002,-3459.7094099994283
2017-01-23,3359.05,3364.08,3337.5922400000004,1.0,469.0,65.32663000188768,1575459.776630002,0.0
2017-05-04,3404.94,3404.39,3421.07432,-1.0,0.0,1596183.728200002,1596183.728200002,19936.254345000023
2017-05-17,3423.19,3409.97,3422.61136,1.0,466.0,179.5849300022237,1595386.1249300023,0.0
2017-05-18,3387.67,3398.11,3422.45848,-1.0,0.0,1578044.4778200022,1578044.4778200022,-18139.250379999867
2017-05-24,3409.72,3424.17,3421.95616,1.0,462.0,1966.1925000024494,1577256.8325000023,0.0
2018-02-12,3846.27,3890.1,4005.33952,-1.0,0.0,1778054.4441300025,1778054.4441300025,200009.96631000028
2018-02-23,4061.75,4071.09,4014.96328,1.0,437.0,2182.2017550026067,1777166.9517550026,0.0
2018-03-05,4021.66,4018.1,4029.2052,-1.0,0.0,1758768.8890450026,1758768.8890450026,-19285.555084999884
2018-03-07,4063.5,4036.65,4032.6128799999997,1.0,432.0,2459.1730450026225,1757891.1730450026,0.0
2018-03-23,3896.74,3904.94,4054.5211999999997,-1.0,0.0,1685009.1572050026,1685009.1572050026,-73759.73184000002
2019-02-11,3239.81,3306.47,3211.4997599999997,1.0,519.0,2707.0365100027993,1684168.4265100027,0.0
2019-08-06,3609.11,3636.33,3750.76552,-1.0,0.0,1874898.562465003,1874898.562465003,189889.40526000038
2019-08-20,3786.03,3787.73,3780.184,1.0,494.0,3664.59305500309,1873963.4130550032,0.0
2019-08-22,3793.86,3793.51,3785.6290400000003,-1.0,0.0,1876894.3496350034,1876894.3496350034,1995.7871700003743
2019-08-23,3796.88,3820.86,3788.03496,1.0,494.0,297.80027500353754,1875956.5202750035,0.0
2019-08-27,3791.46,3816.95,3789.38448,-1.0,0.0,1872342.5496550037,1872342.5496550037,-4551.799979999661
2019-08-28,3818.81,3802.58,3790.378,1.0,490.0,190.0412050038576,1871406.9412050038,0.0
2019-08-30,3816.68,3799.59,3791.7436000000002,-1.0,0.0,1869428.154605004,1869428.154605004,-2914.395049999701
2019-09-02,3803.69,3848.32,3792.17736,1.0,491.0,882.5587100039702,1868494.348710004,0.0
2019-12-02,3835.51,3836.06,3830.33224,-1.0,0.0,1883176.3510050043,1883176.3510050043,13748.196400000248
2019-12-03,3829.21,3851.09,3832.1026399999996,1.0,491.0,2094.1699500042014,1882236.2799500043,0.0
2020-02-04,3652.0,3785.64,3911.7698400000004,-1.0,0.0,1794329.6039500043,1794329.6039500043,-88846.74705499993
2020-02-11,3926.42,3952.46,3913.9671200000003,1.0,456.0,2986.860190004343,1793434.3801900044,0.0
2020-03-02,3968.84,4069.67,3954.2927200000004,-1.0,0.0,1811873.0046700046,1811873.0046700046,17543.400720000267
2020-03-03,4125.14,4091.36,3956.6755200000002,1.0,439.0,31.076440004399046,1810967.5364400046,0.0
2020-03-13,3771.01,3895.31,3972.0098399999997,-1.0,0.0,1654676.7297450046,1654676.7297450046,-157196.27492500003
2020-05-07,3937.59,3924.89,3932.66632,1.0,420.0,62.03584500448778,1653849.8358450045,0.0
2020-05-08,3943.0,3963.62,3933.2812799999997,-1.0,0.0,1655294.0058450047,1655294.0058450047,617.2761000001337
2020-05-11,3974.76,3960.18,3933.3435999999997,1.0,416.0,967.095765004633,1654467.2557650048,0.0
2020-05-15,3941.13,3912.82,3931.8143200000004,-1.0,0.0,1639657.4207250047,1639657.4207250047,-15636.585119999945
2020-05-20,3955.71,3935.22,3932.09192,1.0,414.0,1174.6487550048623,1638838.5887550048,0.0
2020-05-22,3907.58,3824.06,3931.548,-1.0,0.0,1618103.8996950048,1618103.8996950048,-21553.521029999945
2020-06-02,3969.95,3983.57,3931.29624,1.0,407.0,1526.3648700050544,1617296.014870005,0.0
2021-03-10,5047.06,5003.61,5056.24784,-1.0,0.0,2054652.7081600053,2054652.7081600053,436548.8084650005
2021-03-12,5153.67,5146.38,5060.9565600000005,1.0,398.0,2466.4678300055675,2053627.1278300055,0.0
2021-03-16,5054.41,5079.36,5065.177199999999,-1.0,0.0,2013115.8202400056,2013115.8202400056,-41536.88791999966
2021-03-17,5062.77,5100.86,5068.62912,1.0,397.0,2191.1703950054944,2012110.8603950057,0.0
2021-03-22,5008.4,5057.15,5079.38952,-1.0,0.0,1989531.8029950054,1989531.8029950054,-23584.01724500023
2021-04-02,5129.85,5161.56,5106.51832,1.0,387.0,3287.22702000523,1988539.1770200054,0.0
2021-04-08,5078.26,5112.21,5119.648639999999,-1.0,0.0,1967591.2037100054,1967591.2037100054,-21940.599285000004
2021-04-30,5156.36,5123.49,5159.654479999999,1.0,381.0,2035.7571300056297,1966608.9171300055,0.0
2021-05-06,5098.8,5061.12,5161.96008,-1.0,0.0,1943707.235730006,1943707.235730006,-23883.967979999492
2021-05-18,5190.93,5187.6,5176.5104,1.0,374.0,1328.7118200059049,1942736.531820006,0.0
2021-05-20,5167.05,5186.41,5180.87296,-1.0,0.0,1932839.1734700059,1932839.1734700059,-10868.062260000035
2021-05-21,5199.13,5134.15,5183.09136,1.0,371.0,2997.504855006002,1931874.734855006,0.0
2021-05-24,5138.81,5155.59,5185.10272,-1.0,0.0,1908542.7656000063,1908542.7656000063,-24296.40786999953
2021-05-26,5326.12,5320.59,5191.923600000001,1.0,358.0,838.4301200064365,1907589.3901200064,0.0
2021-06-16,5163.25,5080.49,5221.82992,-1.0,0.0,1848357.7083700066,1848357.7083700066,-60185.057229999686
2021-06-28,5253.61,5251.76,5234.53312,1.0,351.0,3418.589815006824,1847435.6998150067,0.0
2021-06-30,5189.38,5224.04,5237.75688,-1.0,0.0,1823980.233625007,1823980.233625007,-24377.47474499955
2021-12-09,5000.69,5078.69,4960.26952,1.0,364.0,2818.948045007186,1823070.108045007,0.0
2021-12-21,4876.51,4913.49,4948.76368,-1.0,0.0,1776981.0632250074,1776981.0632250074,-46999.17039999971
2021-12-24,4953.06,4921.34,4944.160400000001,1.0,358.0,2898.985485007288,1776094.4654850075,0.0
2021-12-27,4918.15,4919.32,4942.2672,-1.0,0.0,1762716.3366350073,1762716.3366350073,-14264.726590000093
2021-12-29,4958.65,4883.48,4937.048880000001,1.0,355.0,1515.4262600075454,1761836.1762600073,0.0
2021-12-30,4882.16,4921.51,4934.89664,-1.0,0.0,1733815.6428600077,1733815.6428600077,-28900.693774999585
