样本内数据年份数,8.0
样本外净资产,1939456.2683450053
总收益率,0.9394562683450054
年复利,0.08629476863699748
最大回撤率,-0.24946496910435312
夏普率,0.40194560703619564
程序运行时间,2022-09-26 22:23:32
程序运行时长,6814s
