样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
3.0,0.0,8.0,20.0,120.0,1071652.5400000012
3.0,1.0,8.0,20.0,120.0,1532387.3523550017
3.0,2.0,8.0,20.0,120.0,1833161.4534100024
3.0,3.0,5.0,13.0,120.0,2087622.797910002
3.0,4.0,6.0,11.0,120.0,1637387.281075003
3.0,5.0,6.0,13.0,126.0,1286818.814375002
3.0,6.0,7.0,20.0,120.0,1467714.0036150017
3.0,7.0,2.0,7.0,149.0,1445498.319375005
