样本内数据年份数,第iyear窗口,最佳策略,最佳样本内净资产,bestMA1,bestNetAsset1,bestShortMA2,bestMediumMA2,bestNetAsset2,bestShortMA3,bestMediumMA3,bestLongMA3,bestNetAsset3,bestShortEMA4,bestMediumEMA4,bestNetAsset4,bestDEA15,bestDEA25,bestNetAsset5,bestBuyD6a,bestSellD6a,bestNetAsset6a,bestBuyJ6b,bestSellJ6b,bestNetAsset6b,bestBuyJ6c,bestSellJ6c,bestNetAsset6c
8,0,2,5430711.763125001,134,5012280.568465002,9,32,5430711.763125001,3,19,134,5072464.425675003,1,76,5164730.626330001,67,59,4038055.847200003,90,92,3548420.7341799997,67,105,4803825.784480005,67,105,4803825.784480005
8,1,2,2622030.7816800014,134,2241015.3966700006,14,22,2622030.7816800014,2,8,120,2344327.829605002,9,66,2370424.7932200003,89,-100,1805410.2306700007,89,92,1779164.3147900002,90,104,2342253.3424650007,88,102,2270285.0800900017
8,2,3,1115556.4135250002,120,936850.6573300002,2,21,1050124.3265150008,5,13,170,1115556.4135250002,2,20,1036367.7656500004,10,-100,891849.8294600002,10,20,1000000.0,87,30,943282.9729050008,81,30,917222.1641550008
8,3,2,2689724.4349800088,124,1268304.4561700008,2,20,2689724.4349800088,2,20,120,2068892.2289900044,1,21,2279859.4996950114,71,-14,1891323.0831150066,22,95,1702349.4738099999,15,110,1903163.7663200013,90,110,2050629.2802350007
8,4,2,1737785.8320000018,122,993785.7750450008,5,42,1737785.8320000018,6,11,147,1439220.8644850017,1,23,1431002.5725050052,34,-14,1197331.989305005,13,88,1207527.65956,11,110,1208160.8979000002,11,110,1208160.8979000002
8,5,2,1854629.8493150026,207,1049647.8324000011,8,20,1854629.8493150026,5,13,136,1415434.964335003,1,23,1724788.756375006,34,-17,1234620.8988200047,13,88,1262140.66437,11,110,1262425.0926300006,11,110,1208160.8979000002
8,6,2,2160216.8254250037,207,1659296.7146200025,10,63,2160216.8254250037,8,20,120,1994726.4439550024,11,53,2109869.3739150027,88,78,1672946.2161950008,27,93,1720655.2390899998,90,110,1829952.562565001,90,110,1755806.6455450014
8,7,2,2389177.112960004,207,2069736.569450002,11,61,2389177.112960004,5,13,136,1991895.556555008,11,53,2386828.5532500013,51,78,1836930.148805001,15,95,2263013.78651,84,104,1882306.362050002,43,110,1815296.747225001
