样本内数据年份数,8.0
样本外净资产,1765932.1578500075
总收益率,0.7659321578500076
年复利,0.07364617942074769
最大回撤率,-0.4662583926098261
夏普率,0.2931693277226304
程序运行时间,2022-08-25 00:06:53
程序运行时长,498.s
