样本内数据年份数,第iyear窗口,最佳J1,最佳J2,样本内净资产
8.0,0.0,47.0,105.0,2553845.1624800097
8.0,1.0,90.0,110.0,1701744.6189150012
8.0,2.0,10.0,60.0,1008248.4884650056
8.0,3.0,41.0,110.0,1680040.785170001
8.0,4.0,84.0,67.0,1315288.0038400125
8.0,5.0,90.0,95.0,1304402.8196950078
8.0,6.0,90.0,95.0,2353472.796680011
8.0,7.0,80.0,97.0,2715764.1207850077
