Date,netAsset,yearTotalRate
2006-01-04,1015530.4441600001,
2006-12-29,2200920.80416,1.190669719121364
2007-12-28,5755323.964160001,1.6149618619996504
2008-12-31,5158657.8795300005,-0.103672024085109
2009-12-31,7893324.116255002,0.5301119594645718
2010-12-31,7139925.852030003,-0.09544752668568357
2011-12-30,7355661.100220004,0.030215334537215588
2012-12-31,7837807.711775006,0.0655476924488243
2013-12-31,7210556.361925009,-0.08002892810289997
2014-12-31,11620501.876765009,0.6115957345713989
2015-12-31,11428849.02572501,-0.016492648344492267
2016-12-30,11824809.45854501,0.03464569633641479
2017-12-29,14399435.61854501,0.21773087921847978
2018-12-28,12885009.99868001,-0.10517256786888052
2019-12-31,15507631.958405012,0.2035405451756478
2020-12-31,17070435.855600018,0.10077643713668216
2021-12-31,15904234.240075022,-0.06831703802937283
