Date,netAsset,yearTotalRate
2006-01-04,1013454.2508650002,
2006-12-29,2251363.620865,1.2462389865188515
2007-12-28,5113311.87614,1.2712065828688335
2008-12-31,4149582.921815001,-0.18847451078077226
2009-12-31,6743346.863015003,0.6250661789560059
2010-12-31,6171421.014785001,-0.08481335156683445
2011-12-30,4895026.375585,-0.20682345867217877
2012-12-31,5621478.195585001,0.14840610943862043
2013-12-31,4765422.795585001,-0.1522829708158131
2014-12-31,7811969.335585001,0.6393024650032144
2015-12-31,9434755.122385005,0.20773069082694762
2016-12-30,9321778.153975004,-0.011974552274488848
2017-12-29,11437259.604115007,0.22693969060376284
2018-12-28,10200399.931465006,-0.10814300938006094
2019-12-31,13058996.574965008,0.28024358483064327
2020-12-31,15520538.034965008,0.18849392033067414
2021-12-31,14311329.383510014,-0.07791022764358191
