,real,predict,ratio
2014-01-02,1561.1,1588.8474379378556,0.02750723446930646
2014-01-03,1536.07,1584.5793439555168,
2014-01-06,1512.93,1581.2145607757568,
2014-01-07,1510.65,1580.27298376441,
2014-01-08,1515.33,1583.331637274027,
2014-01-09,1503.88,1582.255858205557,
2014-01-10,1498.27,1578.6363073784112,
2014-01-13,1494.61,1572.7569476950168,
2014-01-14,1499.29,1567.0436885881425,
2014-01-15,1488.51,1560.0271556991338,
2014-01-16,1493.09,1552.6178084629773,
2014-01-17,1475.67,1545.374321513176,
2014-01-20,1464.84,1538.0728044885398,
2014-01-21,1478.88,1533.9124205726384,
2014-01-22,1514.12,1531.1197082030774,
2014-01-23,1499.03,1526.4940023827553,
2014-01-24,1502.06,1524.1159707653521,
2014-01-27,1478.87,1523.8419799047708,
2014-01-28,1487.8,1525.8360278385878,
2014-01-29,1494.49,1528.0446548897028,
2014-01-30,1477.35,1529.5170328754186,
2014-02-07,1475.34,1530.033957092762,
2014-02-10,1505.83,1529.389018290043,
2014-02-11,1528.32,1528.5830850768089,
2014-02-12,1527.0,1528.9894758182763,
2014-02-13,1528.02,1532.6933684933185,
2014-02-14,1534.24,1539.3886334317922,
2014-02-17,1538.1,1548.154598866701,
2014-02-18,1508.54,1556.8755699682235,
2014-02-19,1533.4,1566.2709154176712,
2014-02-20,1520.14,1572.5864618229866,
2014-02-21,1505.33,1577.3166337925195,
2014-02-24,1468.06,1582.4234605956078,
2014-02-25,1440.89,1585.3976521122456,
2014-02-26,1444.2,1584.7027930277586,
2014-02-27,1452.46,1580.376188390255,
2014-02-28,1464.32,1570.022145255208,
2014-03-03,1462.69,1560.2534489619732,
2014-03-04,1464.28,1547.8550171035529,
2014-03-05,1448.33,1537.0207540738581,
2014-03-06,1459.51,1528.5608582365512,
2014-03-07,1455.58,1520.6302615600823,
2014-03-10,1408.87,1514.5072476494313,
2014-03-11,1412.73,1509.2770919191837,
2014-03-12,1418.7,1506.936665712595,
2014-03-13,1437.39,1503.4933076488971,
2014-03-14,1426.4,1498.7425307977198,
2014-03-17,1434.16,1495.4564426469803,
2014-03-18,1427.63,1490.9102127987146,
2014-03-19,1418.71,1486.4664066332577,
2014-03-20,1406.92,1481.8382979112864,
2014-03-21,1464.08,1476.7161526101827,
2014-03-24,1477.53,1473.0778591501712,
2014-03-25,1470.12,1474.4070241975785,
2014-03-26,1467.08,1484.33971852839,
2014-03-27,1464.53,1494.6148263442517,
2014-03-28,1472.05,1503.1823721754552,
2014-03-31,1465.78,1509.6113355386258,
2014-04-01,1473.14,1514.5146966445445,
2014-04-02,1491.3,1516.2954870569706,
2014-04-03,1477.49,1516.630811982155,
2014-04-04,1490.33,1517.607231067419,
2014-04-08,1534.75,1520.5295799809694,
2014-04-09,1530.88,1525.3740099239349,
2014-04-10,1570.4,1533.9225127595662,
2014-04-11,1565.31,1542.748791025877,
2014-04-14,1557.7,1556.219637890458,
2014-04-15,1523.22,1573.2288175064325,
2014-04-16,1527.05,1587.4924416977167,
2014-04-17,1520.56,1596.7909502106904,
2014-04-18,1521.28,1600.1168664562701,
2014-04-21,1493.76,1599.1232666242122,
2014-04-22,1509.55,1595.9888616400956,
2014-04-23,1507.04,1589.5040308135747,
2014-04-24,1510.29,1585.0068802314997,
2014-04-25,1501.05,1577.6064838039874,
2014-04-28,1483.78,1573.4715706455706,
2014-04-29,1496.01,1569.7924879300595,
2014-04-30,1494.81,1564.7623737621307,
2014-05-05,1487.53,1561.860749875307,
