,real,predict,ratio
2014-01-02,1561.1,1578.1975976097583,0.03354460319478765
2014-01-03,1536.07,1566.2230976748467,
2014-01-06,1512.93,1555.512043427229,
2014-01-07,1510.65,1547.5130241262912,
2014-01-08,1515.33,1542.8998133945465,
2014-01-09,1503.88,1540.5752463388442,
2014-01-10,1498.27,1540.340602992773,
2014-01-13,1494.61,1542.5926624912024,
2014-01-14,1499.29,1542.297886531353,
2014-01-15,1488.51,1538.883363287449,
2014-01-16,1493.09,1533.2777541744708,
2014-01-17,1475.67,1526.5550961571932,
2014-01-20,1464.84,1518.6837310063838,
2014-01-21,1478.88,1510.4276012289524,
2014-01-22,1514.12,1502.6376944440603,
2014-01-23,1499.03,1495.1187148201466,
2014-01-24,1502.06,1489.8851950275898,
2014-01-27,1478.87,1485.6432926732302,
2014-01-28,1487.8,1480.5731101202964,
2014-01-29,1494.49,1476.4052171367407,
2014-01-30,1477.35,1474.7752688753606,
2014-02-07,1475.34,1476.0962640571595,
2014-02-10,1505.83,1478.3414752858878,
2014-02-11,1528.32,1480.5144793200493,
2014-02-12,1527.0,1481.9873979586362,
2014-02-13,1528.02,1482.3374406564235,
2014-02-14,1534.24,1481.297284604907,
2014-02-17,1538.1,1480.0269305753707,
2014-02-18,1508.54,1481.1395941841602,
2014-02-19,1533.4,1486.420030631423,
2014-02-20,1520.14,1495.570460330248,
2014-02-21,1505.33,1506.8841623115538,
2014-02-24,1468.06,1519.5911267417669,
2014-02-25,1440.89,1530.0584666895866,
2014-02-26,1444.2,1537.4463680285214,
2014-02-27,1452.46,1543.4654564428329,
2014-02-28,1464.32,1546.7997227716446,
2014-03-03,1462.69,1545.9440494942664,
2014-03-04,1464.28,1541.0533036220074,
2014-03-05,1448.33,1530.5848823684453,
2014-03-06,1459.51,1519.3157542127371,
2014-03-07,1455.58,1506.3989563959838,
2014-03-10,1408.87,1494.8216561037302,
2014-03-11,1412.73,1485.640469263792,
2014-03-12,1418.7,1478.5425981539488,
2014-03-13,1437.39,1472.8458589959143,
2014-03-14,1426.4,1468.4861543881893,
2014-03-17,1434.16,1465.4238965260981,
2014-03-18,1427.63,1460.5040755438804,
2014-03-19,1418.71,1454.147920100689,
2014-03-20,1406.92,1448.1994169223308,
2014-03-21,1464.08,1442.1721586424112,
2014-03-24,1477.53,1437.2819534230232,
2014-03-25,1470.12,1433.180921177864,
2014-03-26,1467.08,1428.5877746748924,
2014-03-27,1464.53,1424.703484158516,
2014-03-28,1472.05,1423.2648068684339,
2014-03-31,1465.78,1429.1840547192096,
2014-04-01,1473.14,1467.9388935375214,
2014-04-02,1491.3,1477.3535823452473,
2014-04-03,1477.49,1484.7105463254452,
2014-04-04,1490.33,1490.51367395401,
2014-04-08,1534.75,1493.2349600720406,
2014-04-09,1530.88,1494.3797024178505,
2014-04-10,1570.4,1496.3316995728017,
2014-04-11,1565.31,1500.8114891904593,
2014-04-14,1557.7,1507.4595371115208,
2014-04-15,1523.22,1515.6461028862,
2014-04-16,1527.05,1524.5602672803402,
2014-04-17,1520.56,1538.256986899972,
2014-04-18,1521.28,1556.5547825980186,
2014-04-21,1493.76,1572.2953502881526,
2014-04-22,1509.55,1583.2335988867283,
2014-04-23,1507.04,1588.46783954978,
2014-04-24,1510.29,1588.9498616206645,
2014-04-25,1501.05,1586.668606867194,
2014-04-28,1483.78,1581.2181050556899,
2014-04-29,1496.01,1577.1273452150822,
2014-04-30,1494.81,1568.6350102055073,
2014-05-05,1487.53,1563.8942654687166,
2014-05-06,1485.25,1558.5901604402065,
