样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
8.0,0.0,2.0,11.0,120.0,5652954.225535027
8.0,1.0,2.0,11.0,120.0,3761527.258925015
8.0,2.0,4.0,21.0,120.0,1909300.833375006
8.0,3.0,4.0,21.0,120.0,2051788.6493600071
8.0,4.0,4.0,21.0,120.0,1959640.6282150066
8.0,5.0,4.0,21.0,120.0,2148319.3131550066
8.0,6.0,4.0,21.0,120.0,2582168.541440009
8.0,7.0,4.0,21.0,121.0,2430231.26513501
