shortMA,mediumMA,netAsset
1,20,5078345.785270032
1,21,4335679.126870036
1,22,4583001.382190029
1,23,4831219.667455031
1,24,4226068.819880029
1,25,4099847.5525150313
1,26,3760238.255340026
1,27,3769663.1096600285
1,28,3872525.3422550336
1,29,3676081.438265029
1,30,3815078.004610025
1,31,3527131.2524750256
1,32,4303141.727445019
1,33,4198419.967875029
1,34,4518328.076770028
1,35,4853374.797050029
1,36,4970837.021210025
1,37,5505119.231010031
1,38,5120457.2205300275
1,39,5531071.566945035
1,40,6262671.884250027
1,41,6018385.96532003
1,42,6114870.861095022
1,43,5944421.25329503
1,44,6106203.738490035
1,45,5967816.264745033
1,46,5289250.555145023
1,47,5005375.951270017
1,48,4985386.817445021
1,49,4521195.330720022
1,50,4657756.896180028
1,51,4828202.251665023
1,52,4855277.260910027
1,53,4859582.0354800215
1,54,5400476.883650024
1,55,5631630.796195013
1,56,5697531.512540024
1,57,5636951.432415017
1,58,5446208.311115026
1,59,5671325.369985026
1,60,5391651.124670029
1,61,5388576.048545028
1,62,5295632.269350018
1,63,4941369.1459950255
1,64,5180423.252020024
1,65,4813406.851155023
1,66,4997887.130615026
1,67,4636184.131705018
1,68,4421375.230695021
1,69,4647812.113295022
1,70,5130843.015245021
1,71,4663694.309705022
1,72,4840495.551010023
1,73,4888224.975800023
1,74,5264536.204465015
1,75,5239349.641320017
1,76,5127041.191615021
1,77,4648821.551640021
1,78,4636698.852620026
1,79,4818519.481825021
1,80,4624603.914175017
1,81,4417436.074315019
1,82,4438571.940620024
1,83,4268255.048415026
1,84,4376908.199095025
1,85,4524946.610275016
1,86,4523479.1494300235
1,87,4772161.367805027
1,88,4566888.675690026
1,89,4866487.809945022
1,90,4582897.3662200235
1,91,4695213.675165014
1,92,4711350.702805024
1,93,5187663.852685022
1,94,5191067.181420023
1,95,4754913.370120022
1,96,4878755.5619150195
1,97,5266295.757990023
1,98,5353578.941385023
1,99,5263579.458650026
1,100,5389293.387250029
2,20,5275736.6238300335
2,21,5745353.670895033
2,22,5104010.080240026
2,23,4904396.660330028
2,24,4465012.316800024
2,25,4483426.36961003
2,26,3490808.7267300244
2,27,3355778.2345600254
2,28,3633579.2988450252
2,29,3455847.096665024
2,30,3554982.353465023
2,31,3992374.7995700235
2,32,4394948.9085800275
2,33,4571417.5349050285
2,34,4718910.792485025
2,35,4825945.925235033
2,36,5218800.934645024
2,37,6063252.944325023
2,38,6980191.096910032
2,39,6962937.576340024
