样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
8.0,0.0,71.0,-11.0,3597413.284985014
8.0,1.0,89.0,-11.0,2174256.563040009
8.0,2.0,71.0,-100.0,1272229.364980006
8.0,3.0,71.0,0.0,2769575.261695008
8.0,4.0,-82.0,46.0,2245493.6265250007
8.0,5.0,-70.0,58.0,1875692.0310500006
8.0,6.0,-63.0,58.0,2626145.197945
8.0,7.0,-63.0,46.0,2958079.374445001
