,DEA2,DEA1,netAsset
0,-100,-100,644599.6768100004
1,-100,-99,644599.6768100004
2,-100,-98,644599.6768100004
3,-100,-97,644599.6768100004
4,-100,-96,644599.6768100004
5,-100,-95,644599.6768100004
6,-100,-94,644599.6768100004
7,-100,-93,644599.6768100004
8,-100,-92,644599.6768100004
9,-100,-91,644599.6768100004
10,-100,-90,644599.6768100004
11,-100,-89,644599.6768100004
12,-100,-88,644599.6768100004
13,-100,-87,644599.6768100004
14,-100,-86,644599.6768100004
15,-100,-85,644599.6768100004
16,-100,-84,644599.6768100004
17,-100,-83,644599.6768100004
18,-100,-82,671035.4286500006
19,-100,-81,671035.4286500006
20,-100,-80,671035.4286500006
21,-100,-79,671035.4286500006
22,-100,-78,671035.4286500006
23,-100,-77,671035.4286500006
24,-100,-76,671035.4286500006
25,-100,-75,660145.9848350006
26,-100,-74,660145.9848350006
27,-100,-73,660145.9848350006
28,-100,-72,660145.9848350006
29,-100,-71,660145.9848350006
30,-100,-70,729474.4063850006
31,-100,-69,729474.4063850006
32,-100,-68,775746.6876500007
33,-100,-67,775746.6876500007
34,-100,-66,775746.6876500007
35,-100,-65,775746.6876500007
36,-100,-64,775746.6876500007
37,-100,-63,775746.6876500007
38,-100,-62,775746.6876500007
39,-100,-61,775746.6876500007
40,-100,-60,775746.6876500007
41,-100,-59,734815.8370850006
42,-100,-58,705959.5529300008
43,-100,-57,705959.5529300008
44,-100,-56,705959.5529300008
45,-100,-55,705959.5529300008
46,-100,-54,705959.5529300008
47,-100,-53,705959.5529300008
48,-100,-52,705959.5529300008
49,-100,-51,733914.3424400009
50,-100,-50,741435.022745001
51,-100,-49,741435.022745001
52,-100,-48,741435.022745001
53,-100,-47,720457.1616850016
54,-100,-46,720457.1616850016
55,-100,-45,720457.1616850016
56,-100,-44,720457.1616850016
57,-100,-43,720457.1616850016
58,-100,-42,679416.0553900016
59,-100,-41,784738.5943700016
60,-100,-40,784738.5943700016
61,-100,-39,765689.7260450016
62,-100,-38,765689.7260450016
63,-100,-37,765689.7260450016
64,-100,-36,765689.7260450016
65,-100,-35,733853.1149500017
66,-100,-34,733853.1149500017
67,-100,-33,733853.1149500017
68,-100,-32,733853.1149500017
69,-100,-31,872961.8136150016
70,-100,-30,822079.7084100021
71,-100,-29,822079.7084100021
72,-100,-28,822079.7084100021
73,-100,-27,822079.7084100021
74,-100,-26,822079.7084100021
75,-100,-25,822079.7084100021
76,-100,-24,842666.1952300022
77,-100,-23,842666.1952300022
78,-100,-22,842666.1952300022
79,-100,-21,823488.4371850024
80,-100,-20,823488.4371850024
81,-100,-19,973898.9806850025
82,-100,-18,957227.6626850028
83,-100,-17,957227.6626850028
84,-100,-16,968600.5288200026
85,-100,-15,938004.1758850026
86,-100,-14,938004.1758850026
87,-100,-13,859593.6540350029
88,-100,-12,859593.6540350029
89,-100,-11,859593.6540350029
90,-100,-10,859593.6540350029
91,-100,-9,859593.6540350029
92,-100,-8,859593.6540350029
93,-100,-7,1030858.389680003
94,-100,-6,1030858.389680003
95,-100,-5,1030858.389680003
96,-100,-4,995844.1284600028
97,-100,-3,995844.1284600028
98,-100,-2,995844.1284600028
99,-100,-1,995844.1284600028
100,-100,0,995844.1284600028
101,-100,1,995844.1284600028
102,-100,2,974601.2651300028
103,-100,3,974601.2651300028
104,-100,4,948481.0518150033
105,-100,5,948481.0518150033
106,-100,6,948481.0518150033
107,-100,7,1187656.3072000055
108,-100,8,1187656.3072000055
109,-100,9,1456974.9244350074
110,-100,10,1456974.9244350074
111,-100,11,1456974.9244350074
112,-100,12,1456974.9244350074
113,-100,13,1498851.2124550075
114,-100,14,1498851.2124550075
115,-100,15,1498851.2124550075
116,-100,16,1498851.2124550075
117,-100,17,1463049.746390005
118,-100,18,1463049.746390005
119,-100,19,1457435.5200350054
120,-100,20,1457435.5200350054
121,-100,21,1457435.5200350054
122,-100,22,1457435.5200350054
123,-100,23,1457435.5200350054
124,-100,24,1450903.3627650053
125,-100,25,1450903.3627650053
126,-100,26,1549906.750000007
127,-100,27,1549906.750000007
128,-100,28,1549906.750000007
129,-100,29,2323133.60558001
130,-100,30,2323133.60558001
131,-100,31,2276372.7719550123
132,-100,32,2276372.7719550123
133,-100,33,2276372.7719550123
134,-100,34,2276372.7719550123
135,-100,35,2276372.7719550123
136,-100,36,2276372.7719550123
137,-100,37,2276372.7719550123
138,-100,38,2276372.7719550123
139,-100,39,2276372.7719550123
140,-100,40,2276372.7719550123
141,-100,41,2276372.7719550123
142,-100,42,2276372.7719550123
143,-100,43,2232557.4636650095
144,-100,44,2232557.4636650095
145,-100,45,2232557.4636650095
146,-100,46,2232557.4636650095
147,-100,47,2232557.4636650095
148,-100,48,2232557.4636650095
149,-100,49,2232557.4636650095
150,-100,50,2232557.4636650095
151,-100,51,2232557.4636650095
152,-100,52,2232557.4636650095
153,-100,53,2232557.4636650095
154,-100,54,2232557.4636650095
155,-100,55,2232557.4636650095
156,-100,56,2255722.7053350112
157,-100,57,2212326.9882650143
158,-100,58,2212326.9882650143
159,-100,59,2212326.9882650143
160,-100,60,2212326.9882650143
161,-100,61,2212326.9882650143
162,-100,62,2212326.9882650143
163,-100,63,2212326.9882650143
164,-100,64,2212326.9882650143
165,-100,65,2212326.9882650143
166,-100,66,2212326.9882650143
167,-100,67,3019111.72989002
168,-100,68,3019111.72989002
169,-100,69,3010612.0391950198
170,-100,70,3010612.0391950198
