,DEA2,DEA1,netAsset
0,-100,-100,828701.4038400004
1,-100,-99,828701.4038400004
2,-100,-98,828701.4038400004
3,-100,-97,828701.4038400004
4,-100,-96,828701.4038400004
5,-100,-95,828701.4038400004
6,-100,-94,828701.4038400004
7,-100,-93,828701.4038400004
8,-100,-92,828701.4038400004
9,-100,-91,828701.4038400004
10,-100,-90,828701.4038400004
11,-100,-89,828701.4038400004
12,-100,-88,828701.4038400004
13,-100,-87,828701.4038400004
14,-100,-86,828701.4038400004
15,-100,-85,828701.4038400004
16,-100,-84,828701.4038400004
17,-100,-83,828701.4038400004
18,-100,-82,862440.0817600007
19,-100,-81,862440.0817600007
20,-100,-80,862440.0817600007
21,-100,-79,862440.0817600007
22,-100,-78,862440.0817600007
23,-100,-77,862440.0817600007
24,-100,-76,862440.0817600007
25,-100,-75,848790.7719000007
26,-100,-74,848790.7719000007
27,-100,-73,848790.7719000007
28,-100,-72,848790.7719000007
29,-100,-71,848790.7719000007
30,-100,-70,937562.7580250008
31,-100,-69,937562.7580250008
32,-100,-68,997459.4544800011
33,-100,-67,997459.4544800011
34,-100,-66,997459.4544800011
35,-100,-65,997459.4544800011
36,-100,-64,997459.4544800011
37,-100,-63,997459.4544800011
38,-100,-62,997459.4544800011
39,-100,-61,997459.4544800011
40,-100,-60,997459.4544800011
41,-100,-59,944078.0989200012
42,-100,-58,907768.0983600012
43,-100,-57,907768.0983600012
44,-100,-56,907768.0983600012
45,-100,-55,907768.0983600012
46,-100,-54,907768.0983600012
47,-100,-53,907768.0983600012
48,-100,-52,907768.0983600012
49,-100,-51,943542.2569800013
50,-100,-50,953217.1257900015
51,-100,-49,953217.1257900015
52,-100,-48,953217.1257900015
53,-100,-47,925670.1329350016
54,-100,-46,925670.1329350016
55,-100,-45,925670.1329350016
56,-100,-44,925670.1329350016
57,-100,-43,925670.1329350016
58,-100,-42,835240.784530002
59,-100,-41,965302.7496850026
60,-100,-40,965302.7496850026
61,-100,-39,941349.4283950031
62,-100,-38,941349.4283950031
63,-100,-37,941349.4283950031
64,-100,-36,941349.4283950031
65,-100,-35,902467.4308400031
66,-100,-34,902467.4308400031
67,-100,-33,902467.4308400031
68,-100,-32,902467.4308400031
69,-100,-31,1073541.6190450033
70,-100,-30,1020988.1937850023
71,-100,-29,1020988.1937850023
72,-100,-28,1020988.1937850023
73,-100,-27,1020988.1937850023
74,-100,-26,1020988.1937850023
75,-100,-25,995306.7412600025
76,-100,-24,927938.367120003
77,-100,-23,927938.367120003
