,DEA2,DEA1,netAsset
0,-100,-100,965086.1309600002
1,-100,-99,965086.1309600002
2,-100,-98,938521.4657350003
3,-100,-97,938521.4657350003
4,-100,-96,938521.4657350003
5,-100,-95,938521.4657350003
6,-100,-94,938521.4657350003
7,-100,-93,938521.4657350003
8,-100,-92,938521.4657350003
9,-100,-91,938521.4657350003
10,-100,-90,938521.4657350003
11,-100,-89,938521.4657350003
12,-100,-88,938521.4657350003
13,-100,-87,938521.4657350003
14,-100,-86,938521.4657350003
15,-100,-85,938521.4657350003
16,-100,-84,938521.4657350003
17,-100,-83,938521.4657350003
18,-100,-82,976973.4951500004
19,-100,-81,976973.4951500004
20,-100,-80,976973.4951500004
21,-100,-79,976973.4951500004
22,-100,-78,976973.4951500004
23,-100,-77,976973.4951500004
24,-100,-76,976973.4951500004
25,-100,-75,976973.4951500004
26,-100,-74,976973.4951500004
27,-100,-73,976973.4951500004
28,-100,-72,976973.4951500004
29,-100,-71,976973.4951500004
30,-100,-70,1079812.03611
31,-100,-69,1079812.03611
32,-100,-68,1079812.03611
33,-100,-67,1079812.03611
34,-100,-66,1079812.03611
35,-100,-65,1079812.03611
36,-100,-64,1079812.03611
37,-100,-63,1079812.03611
38,-100,-62,1079812.03611
39,-100,-61,1079812.03611
40,-100,-60,1079812.03611
41,-100,-59,1022229.2938800007
42,-100,-58,979392.773445001
43,-100,-57,979392.773445001
44,-100,-56,979392.773445001
45,-100,-55,979392.773445001
46,-100,-54,979392.773445001
47,-100,-53,967477.7440950011
48,-100,-52,967477.7440950011
49,-100,-51,973342.1316150015
50,-100,-50,983413.8149750015
51,-100,-49,983413.8149750015
52,-100,-48,983413.8149750015
53,-100,-47,955531.0939250024
54,-100,-46,955531.0939250024
55,-100,-45,955531.0939250024
56,-100,-44,955531.0939250024
57,-100,-43,920679.5768950025
58,-100,-42,830758.3864100022
59,-100,-41,761704.8451650026
60,-100,-40,727160.5813750027
61,-100,-39,709447.4902700024
62,-100,-38,709447.4902700024
63,-100,-37,667777.9640600024
64,-100,-36,667777.9640600024
65,-100,-35,640471.4198800026
66,-100,-34,640471.4198800026
67,-100,-33,640471.4198800026
68,-100,-32,640471.4198800026
69,-100,-31,761613.1898400034
70,-100,-30,768750.1346450034
71,-100,-29,768750.1346450034
72,-100,-28,780748.5950200037
73,-100,-27,780748.5950200037
74,-100,-26,780748.5950200037
75,-100,-25,761247.1986550036
76,-100,-24,709346.2398300023
77,-100,-23,709346.2398300023
78,-100,-22,709346.2398300023
79,-100,-21,738263.3705150028
80,-100,-20,738263.3705150028
81,-100,-19,738263.3705150028
82,-100,-18,725327.9784050024
83,-100,-17,725327.9784050024
84,-100,-16,733991.7673650036
85,-100,-15,725662.7081500035
86,-100,-14,715663.7941350037
87,-100,-13,680982.7355950039
88,-100,-12,675128.7839600032
89,-100,-11,675128.7839600032
90,-100,-10,675128.7839600032
91,-100,-9,652109.9223500033
92,-100,-8,682709.4093600038
93,-100,-7,682709.4093600038
94,-100,-6,671631.8125800039
95,-100,-5,671631.8125800039
96,-100,-4,671631.8125800039
97,-100,-3,659914.809465004
98,-100,-2,649243.0456200043
