,DEA2,DEA1,netAsset
0,-100,-100,644599.6768100004
1,-100,-99,644599.6768100004
2,-100,-98,644599.6768100004
3,-100,-97,644599.6768100004
4,-100,-96,644599.6768100004
5,-100,-95,644599.6768100004
6,-100,-94,644599.6768100004
7,-100,-93,644599.6768100004
8,-100,-92,644599.6768100004
9,-100,-91,644599.6768100004
10,-100,-90,644599.6768100004
11,-100,-89,644599.6768100004
12,-100,-88,644599.6768100004
13,-100,-87,644599.6768100004
14,-100,-86,644599.6768100004
15,-100,-85,644599.6768100004
16,-100,-84,644599.6768100004
17,-100,-83,644599.6768100004
18,-100,-82,671035.4286500006
19,-100,-81,671035.4286500006
20,-100,-80,671035.4286500006
21,-100,-79,671035.4286500006
22,-100,-78,671035.4286500006
23,-100,-77,671035.4286500006
24,-100,-76,671035.4286500006
25,-100,-75,660145.9848350006
26,-100,-74,660145.9848350006
27,-100,-73,660145.9848350006
28,-100,-72,660145.9848350006
29,-100,-71,660145.9848350006
30,-100,-70,729474.4063850006
31,-100,-69,729474.4063850006
32,-100,-68,775746.6876500007
33,-100,-67,775746.6876500007
34,-100,-66,775746.6876500007
35,-100,-65,775746.6876500007
36,-100,-64,775746.6876500007
37,-100,-63,775746.6876500007
38,-100,-62,775746.6876500007
39,-100,-61,775746.6876500007
40,-100,-60,775746.6876500007
41,-100,-59,734815.8370850006
42,-100,-58,705959.5529300008
43,-100,-57,705959.5529300008
44,-100,-56,705959.5529300008
45,-100,-55,705959.5529300008
46,-100,-54,705959.5529300008
47,-100,-53,705959.5529300008
48,-100,-52,705959.5529300008
49,-100,-51,733914.3424400009
50,-100,-50,741435.022745001
51,-100,-49,741435.022745001
52,-100,-48,741435.022745001
53,-100,-47,720457.1616850016
54,-100,-46,720457.1616850016
55,-100,-45,720457.1616850016
56,-100,-44,720457.1616850016
57,-100,-43,720457.1616850016
58,-100,-42,650214.1684100017
59,-100,-41,750992.0428600017
60,-100,-40,750992.0428600017
61,-100,-39,732716.7344550017
62,-100,-38,732716.7344550017
63,-100,-37,732716.7344550017
64,-100,-36,732716.7344550017
65,-100,-35,702233.8532200018
66,-100,-34,702233.8532200018
67,-100,-33,702233.8532200018
68,-100,-32,702233.8532200018
69,-100,-31,835347.4625050017
70,-100,-30,793930.1175900022
71,-100,-29,793930.1175900022
72,-100,-28,793930.1175900022
73,-100,-27,793930.1175900022
74,-100,-26,793930.1175900022
75,-100,-25,793930.1175900022
76,-100,-24,740773.7592700018
77,-100,-23,740773.7592700018
78,-100,-22,740773.7592700018
79,-100,-21,723948.3726150019
80,-100,-20,723948.3726150019
81,-100,-19,856491.3222900034
82,-100,-18,841815.9802650036
83,-100,-17,841815.9802650036
84,-100,-16,851976.7898750035
85,-100,-15,825079.0798700036
86,-100,-14,825079.0798700036
87,-100,-13,755974.2840800036
88,-100,-12,749458.6263300037
89,-100,-11,749458.6263300037
90,-100,-10,749458.6263300037
91,-100,-9,749458.6263300037
92,-100,-8,749458.6263300037
93,-100,-7,899047.4813550032
94,-100,-6,899047.4813550032
95,-100,-5,899047.4813550032
96,-100,-4,868856.8777900039
97,-100,-3,868856.8777900039
98,-100,-2,854843.7737900042
99,-100,-1,854843.7737900042
100,-100,0,854843.7737900042
101,-100,1,854843.7737900042
102,-100,2,836437.910695004
103,-100,3,887005.881505004
104,-100,4,863201.1033700039
105,-100,5,863201.1033700039
106,-100,6,863201.1033700039
107,-100,7,863201.1033700039
108,-100,8,869765.2188100038
109,-100,9,969273.1215350049
110,-100,10,969273.1215350049
111,-100,11,969273.1215350049
112,-100,12,969273.1215350049
113,-100,13,997192.9976700051
114,-100,14,997192.9976700051
115,-100,15,997192.9976700051
116,-100,16,997192.9976700051
117,-100,17,997192.9976700051
118,-100,18,997192.9976700051
119,-100,19,993458.3478550047
120,-100,20,993458.3478550047
121,-100,21,993458.3478550047
122,-100,22,993458.3478550047
123,-100,23,993458.3478550047
124,-100,24,978208.607045005
125,-100,25,978208.607045005
126,-100,26,1027974.822460007
127,-100,27,1027974.822460007
128,-100,28,1027974.822460007
129,-100,29,1010843.949315007
130,-100,30,1010843.949315007
131,-100,31,990444.0788900072
132,-100,32,990444.0788900072
133,-100,33,990444.0788900072
134,-100,34,1214784.0784500074
135,-100,35,1214784.0784500074
136,-100,36,1214784.0784500074
137,-100,37,1214784.0784500074
138,-100,38,1214784.0784500074
139,-100,39,1214784.0784500074
140,-100,40,1214784.0784500074
141,-100,41,1214784.0784500074
142,-100,42,1214784.0784500074
143,-100,43,1191877.8592150062
144,-100,44,1191877.8592150062
145,-100,45,1191877.8592150062
146,-100,46,1191877.8592150062
147,-100,47,1191877.8592150062
148,-100,48,1191877.8592150062
149,-100,49,1191877.8592150062
150,-100,50,1191877.8592150062
151,-100,51,1191877.8592150062
152,-100,52,1191877.8592150062
153,-100,53,1191877.8592150062
154,-100,54,1191877.8592150062
155,-100,55,1191877.8592150062
156,-100,56,1204572.8162200074
157,-100,57,1181177.2320400067
158,-100,58,1181177.2320400067
159,-100,59,1181177.2320400067
160,-100,60,1181177.2320400067
161,-100,61,1181177.2320400067
162,-100,62,1181177.2320400067
163,-100,63,1181177.2320400067
164,-100,64,1181177.2320400067
165,-100,65,1181177.2320400067
166,-100,66,1181177.2320400067
167,-100,67,1611427.3075800082
168,-100,68,1611427.3075800082
169,-100,69,1607024.3578750084
170,-100,70,1607024.3578750084
171,-100,71,1909998.8413600095
