DEA2,DEA1,netAsset
-99,18,1359125.8054150129
-99,19,1423108.3378150135
-99,20,1423108.3378150135
-99,21,1423108.3378150135
-99,22,1423108.3378150135
-99,23,1423108.3378150135
-99,24,1394722.4903450157
-99,25,1394722.4903450157
-99,26,1932032.8350500178
-99,27,1932032.8350500178
-99,28,2089969.9067600186
-99,29,3131869.5069550294
-99,30,3131869.5069550294
-99,31,3068713.2626850335
-99,32,3190383.0862000324
-99,33,3190383.0862000324
-99,34,3868854.9739850406
-99,35,3868854.9739850406
-99,36,3868854.9739850406
-99,37,3868854.9739850406
-99,38,3868854.9739850406
-99,39,3868854.9739850406
-99,40,3827001.9310550406
-99,41,3827001.9310550406
-99,42,3827001.9310550406
-99,43,3754463.951125033
-99,44,3754463.951125033
-99,45,3754463.951125033
-99,46,3754463.951125033
-99,47,3754463.951125033
-99,48,3754463.951125033
-99,49,3754463.951125033
-99,50,3754463.951125033
-99,51,3645935.150845036
-99,52,3568087.6522550364
-99,53,3568087.6522550364
-99,54,3568087.6522550364
-99,55,3568087.6522550364
-99,56,3605018.9836200387
-99,57,3536392.0756200384
-99,58,3536392.0756200384
-99,59,3536392.0756200384
-99,60,3536392.0756200384
-99,61,3536392.0756200384
-99,62,3536392.0756200384
-99,63,3536392.0756200384
-99,64,3536392.0756200384
-99,65,3536392.0756200384
-99,66,3536392.0756200384
-99,67,4824894.088040054
-99,68,4824894.088040054
-99,69,4809984.32664506
-99,70,4809984.32664506
-99,71,5718098.809665063
-99,72,5718098.809665063
-99,73,5718098.809665063
-99,74,5718098.809665063
-99,75,5718098.809665063
-99,76,5718098.809665063
-99,77,5718098.809665063
-99,78,5718098.809665063
-99,79,5718098.809665063
-99,80,5393616.691935068
-99,81,5393616.691935068
-99,82,5393616.691935068
-99,83,5393616.691935068
-99,84,5393616.691935068
-99,85,5393616.691935068
-99,86,5393616.691935068
-99,87,5393616.691935068
-99,88,5402327.104815066
-99,89,5402327.104815066
-99,90,5402327.104815066
-99,91,5402327.104815066
-99,92,5402327.104815066
-99,93,5112686.587075056
-99,94,5112686.587075056
-99,95,5112686.587075056
-99,96,5112686.587075056
-99,97,5112686.587075056
-99,98,5112686.587075056
-99,99,5112686.587075056
-99,100,5112686.587075056
-98,-100,612001.0993900003
-98,-99,612001.0993900003
-98,-98,595241.9297400005
-98,-97,595241.9297400005
-98,-96,595241.9297400005
-98,-95,595241.9297400005
-98,-94,595241.9297400005
-98,-93,635426.1679900003
-98,-92,635426.1679900003
-98,-91,635426.1679900003
-98,-90,635426.1679900003
-98,-89,635426.1679900003
-98,-88,635426.1679900003
-98,-87,635426.1679900003
-98,-86,635426.1679900003
-98,-85,635426.1679900003
-98,-84,635426.1679900003
-98,-83,635426.1679900003
-98,-82,661687.0175000008
-98,-81,661687.0175000008
-98,-80,661687.0175000008
-98,-79,661687.0175000008
-98,-78,661687.0175000008
-98,-77,661687.0175000008
-98,-76,661687.0175000008
-98,-75,651210.8476200005
-98,-74,651210.8476200005
-98,-73,651210.8476200005
-98,-72,651210.8476200005
-98,-71,651210.8476200005
-98,-70,719012.2664650006
-98,-69,719012.2664650006
-98,-68,764951.3202950008
-98,-67,764951.3202950008
-98,-66,764951.3202950008
-98,-65,764951.3202950008
-98,-64,764951.3202950008
-98,-63,797362.8630950007
-98,-62,776363.5904300008
-98,-61,776363.5904300008
-98,-60,776363.5904300008
-98,-59,735309.4984450012
-98,-58,688238.3684750017
-98,-57,688238.3684750017
-98,-56,688238.3684750017
-98,-55,688238.3684750017
-98,-54,688238.3684750017
-98,-53,679669.8571800014
-98,-52,679669.8571800014
-98,-51,684010.0289500012
-98,-50,690893.8687200017
-98,-49,690893.8687200017
-98,-48,680524.5221550018
-98,-47,661543.5579100023
-98,-46,793331.9888650026
-98,-45,793331.9888650026
-98,-44,793331.9888650026
-98,-43,764291.4327300028
-98,-42,689225.7882500025
-98,-41,730466.5565850033
-98,-40,697058.4767700032
-98,-39,680055.8217600031
-98,-38,680055.8217600031
-98,-37,640162.6329300031
-98,-36,640162.6329300031
-98,-35,613641.2007350033
-98,-34,613641.2007350033
-98,-33,613641.2007350033
-98,-32,613641.2007350033
-98,-31,729952.5036750034
-98,-30,693521.554905003
-98,-29,693521.554905003
-98,-28,704668.2202850037
-98,-27,731303.8397600041
-98,-26,734329.7168150039
-98,-25,716454.373830004
-98,-24,733620.6597300044
-98,-23,733620.6597300044
-98,-22,733620.6597300044
-98,-21,763684.7397750046
-98,-20,763684.7397750046
-98,-19,902623.8912950048
-98,-18,861927.0969600049
-98,-17,823231.2338500051
-98,-16,833103.210870004
-98,-15,813455.5634650047
-98,-14,788803.3819400051
-98,-13,723050.9967700054
-98,-12,716705.6884300052
-98,-11,763472.6586350051
-98,-10,759012.7683950054
-98,-9,733592.2804900054
-98,-8,768108.1378250053
-98,-7,921210.7793250066
-98,-6,905728.7164050069
-98,-5,905728.7164050069
-98,-4,865281.0973550073
-98,-3,850933.3020550072
-98,-2,807677.5032050067
-98,-1,834575.297645008
-98,0,834575.297645008
-98,1,834575.297645008
-98,2,816444.3173150072
-98,3,866692.2130950071
-98,4,843275.4698100073
-98,5,843275.4698100073
-98,6,843275.4698100073
-98,7,1056147.472520011
-98,8,1063880.5739550116
-98,9,1284602.3374450149
-98,10,1285128.3684000147
-98,11,1257282.380860014
-98,12,1241511.6940850152
-98,13,1266442.2143400146
-98,14,1424358.3195900149
-98,15,1383931.8270750146
-98,16,1392350.1915400159
-98,17,1359125.8054150129
-98,18,1359125.8054150129
-98,19,1423108.3378150135
-98,20,1423108.3378150135
-98,21,1423108.3378150135
-98,22,1423108.3378150135
-98,23,1423108.3378150135
-98,24,1394722.4903450157
-98,25,1394722.4903450157
-98,26,1932032.8350500178
-98,27,1932032.8350500178
-98,28,2089969.9067600186
-98,29,3131869.5069550294
-98,30,3131869.5069550294
-98,31,3068713.2626850335
-98,32,3190383.0862000324
-98,33,3190383.0862000324
-98,34,3868854.9739850406
-98,35,3868854.9739850406
-98,36,3868854.9739850406
-98,37,3868854.9739850406
-98,38,3868854.9739850406
-98,39,3868854.9739850406
-98,40,3827001.9310550406
-98,41,3827001.9310550406
-98,42,3827001.9310550406
-98,43,3754463.951125033
-98,44,3754463.951125033
-98,45,3754463.951125033
-98,46,3754463.951125033
-98,47,3754463.951125033
-98,48,3754463.951125033
-98,49,3754463.951125033
-98,50,3754463.951125033
-98,51,3645935.150845036
-98,52,3568087.6522550364
-98,53,3568087.6522550364
-98,54,3568087.6522550364
-98,55,3568087.6522550364
-98,56,3605018.9836200387
-98,57,3536392.0756200384
-98,58,3536392.0756200384
-98,59,3536392.0756200384
-98,60,3536392.0756200384
-98,61,3536392.0756200384
-98,62,3536392.0756200384
-98,63,3536392.0756200384
-98,64,3536392.0756200384
-98,65,3536392.0756200384
-98,66,3536392.0756200384
-98,67,4824894.088040054
-98,68,4824894.088040054
-98,69,4809984.32664506
-98,70,4809984.32664506
-98,71,5718098.809665063
-98,72,5718098.809665063
-98,73,5718098.809665063
-98,74,5718098.809665063
-98,75,5718098.809665063
-98,76,5718098.809665063
-98,77,5718098.809665063
-98,78,5718098.809665063
-98,79,5718098.809665063
-98,80,5393616.691935068
-98,81,5393616.691935068
-98,82,5393616.691935068
-98,83,5393616.691935068
-98,84,5393616.691935068
-98,85,5393616.691935068
-98,86,5393616.691935068
-98,87,5393616.691935068
-98,88,5402327.104815066
-98,89,5402327.104815066
-98,90,5402327.104815066
-98,91,5402327.104815066
-98,92,5402327.104815066
-98,93,5112686.587075056
-98,94,5112686.587075056
-98,95,5112686.587075056
-98,96,5112686.587075056
-98,97,5112686.587075056
-98,98,5112686.587075056
-98,99,5112686.587075056
-98,100,5112686.587075056
-97,-100,612001.0993900003
-97,-99,612001.0993900003
-97,-98,595241.9297400005
-97,-97,595241.9297400005
-97,-96,595241.9297400005
-97,-95,595241.9297400005
-97,-94,595241.9297400005
-97,-93,635426.1679900003
-97,-92,635426.1679900003
-97,-91,635426.1679900003
-97,-90,635426.1679900003
-97,-89,635426.1679900003
-97,-88,635426.1679900003
-97,-87,635426.1679900003
-97,-86,635426.1679900003
-97,-85,635426.1679900003
-97,-84,635426.1679900003
-97,-83,635426.1679900003
-97,-82,661687.0175000008
-97,-81,661687.0175000008
-97,-80,661687.0175000008
-97,-79,661687.0175000008
-97,-78,661687.0175000008
-97,-77,661687.0175000008
-97,-76,661687.0175000008
-97,-75,651210.8476200005
-97,-74,651210.8476200005
-97,-73,651210.8476200005
-97,-72,651210.8476200005
-97,-71,651210.8476200005
-97,-70,719012.2664650006
-97,-69,719012.2664650006
-97,-68,764951.3202950008
-97,-67,764951.3202950008
-97,-66,764951.3202950008
-97,-65,764951.3202950008
-97,-64,764951.3202950008
-97,-63,797362.8630950007
-97,-62,776363.5904300008
-97,-61,776363.5904300008
-97,-60,776363.5904300008
-97,-59,735309.4984450012
-97,-58,688238.3684750017
-97,-57,688238.3684750017
-97,-56,688238.3684750017
-97,-55,688238.3684750017
-97,-54,688238.3684750017
-97,-53,679669.8571800014
-97,-52,679669.8571800014
-97,-51,684010.0289500012
-97,-50,690893.8687200017
-97,-49,690893.8687200017
-97,-48,680524.5221550018
-97,-47,661543.5579100023
-97,-46,793331.9888650026
-97,-45,793331.9888650026
-97,-44,793331.9888650026
-97,-43,764291.4327300028
-97,-42,689225.7882500025
-97,-41,730466.5565850033
-97,-40,697058.4767700032
-97,-39,680055.8217600031
-97,-38,680055.8217600031
-97,-37,640162.6329300031
-97,-36,640162.6329300031
-97,-35,613641.2007350033
-97,-34,613641.2007350033
-97,-33,613641.2007350033
-97,-32,613641.2007350033
-97,-31,729952.5036750034
-97,-30,693521.554905003
-97,-29,693521.554905003
-97,-28,704668.2202850037
-97,-27,731303.8397600041
-97,-26,734329.7168150039
-97,-25,716454.373830004
-97,-24,733620.6597300044
-97,-23,733620.6597300044
-97,-22,733620.6597300044
-97,-21,763684.7397750046
-97,-20,763684.7397750046
-97,-19,902623.8912950048
-97,-18,861927.0969600049
-97,-17,823231.2338500051
-97,-16,833103.210870004
-97,-15,813455.5634650047
-97,-14,788803.3819400051
-97,-13,723050.9967700054
-97,-12,716705.6884300052
-97,-11,763472.6586350051
-97,-10,759012.7683950054
-97,-9,733592.2804900054
-97,-8,768108.1378250053
-97,-7,921210.7793250066
-97,-6,905728.7164050069
-97,-5,905728.7164050069
-97,-4,865281.0973550073
-97,-3,850933.3020550072
-97,-2,807677.5032050067
-97,-1,834575.297645008
-97,0,834575.297645008
-97,1,834575.297645008
-97,2,816444.3173150072
-97,3,866692.2130950071
-97,4,843275.4698100073
-97,5,843275.4698100073
-97,6,843275.4698100073
-97,7,1056147.472520011
-97,8,1063880.5739550116
-97,9,1284602.3374450149
-97,10,1285128.3684000147
-97,11,1257282.380860014
-97,12,1241511.6940850152
-97,13,1266442.2143400146
-97,14,1424358.3195900149
-97,15,1383931.8270750146
-97,16,1392350.1915400159
-97,17,1359125.8054150129
-97,18,1359125.8054150129
-97,19,1423108.3378150135
-97,20,1423108.3378150135
-97,21,1423108.3378150135
-97,22,1423108.3378150135
-97,23,1423108.3378150135
-97,24,1394722.4903450157
-97,25,1394722.4903450157
-97,26,1932032.8350500178
-97,27,1932032.8350500178
-97,28,2089969.9067600186
-97,29,3131869.5069550294
-97,30,3131869.5069550294
-97,31,3068713.2626850335
-97,32,3190383.0862000324
-97,33,3190383.0862000324
-97,34,3868854.9739850406
-97,35,3868854.9739850406
-97,36,3868854.9739850406
-97,37,3868854.9739850406
-97,38,3868854.9739850406
-97,39,3868854.9739850406
-97,40,3827001.9310550406
-97,41,3827001.9310550406
-97,42,3827001.9310550406
-97,43,3754463.951125033
-97,44,3754463.951125033
-97,45,3754463.951125033
-97,46,3754463.951125033
-97,47,3754463.951125033
-97,48,3754463.951125033
-97,49,3754463.951125033
-97,50,3754463.951125033
-97,51,3645935.150845036
-97,52,3568087.6522550364
-97,53,3568087.6522550364
-97,54,3568087.6522550364
-97,55,3568087.6522550364
-97,56,3605018.9836200387
-97,57,3536392.0756200384
-97,58,3536392.0756200384
-97,59,3536392.0756200384
-97,60,3536392.0756200384
-97,61,3536392.0756200384
-97,62,3536392.0756200384
-97,63,3536392.0756200384
-97,64,3536392.0756200384
-97,65,3536392.0756200384
-97,66,3536392.0756200384
-97,67,4824894.088040054
-97,68,4824894.088040054
-97,69,4809984.32664506
-97,70,4809984.32664506
-97,71,5718098.809665063
-97,72,5718098.809665063
-97,73,5718098.809665063
-97,74,5718098.809665063
-97,75,5718098.809665063
-97,76,5718098.809665063
-97,77,5718098.809665063
-97,78,5718098.809665063
-97,79,5718098.809665063
-97,80,5393616.691935068
-97,81,5393616.691935068
-97,82,5393616.691935068
-97,83,5393616.691935068
-97,84,5393616.691935068
-97,85,5393616.691935068
-97,86,5393616.691935068
-97,87,5393616.691935068
-97,88,5402327.104815066
-97,89,5402327.104815066
-97,90,5402327.104815066
-97,91,5402327.104815066
-97,92,5402327.104815066
-97,93,5112686.587075056
-97,94,5112686.587075056
-97,95,5112686.587075056
-97,96,5112686.587075056
-97,97,5112686.587075056
-97,98,5112686.587075056
-97,99,5112686.587075056
-97,100,5112686.587075056
-96,-100,612001.0993900003
-96,-99,612001.0993900003
-96,-98,595241.9297400005
-96,-97,595241.9297400005
-96,-96,595241.9297400005
-96,-95,595241.9297400005
-96,-94,595241.9297400005
-96,-93,635426.1679900003
-96,-92,635426.1679900003
-96,-91,635426.1679900003
-96,-90,635426.1679900003
-96,-89,635426.1679900003
-96,-88,635426.1679900003
-96,-87,635426.1679900003
-96,-86,635426.1679900003
-96,-85,635426.1679900003
-96,-84,635426.1679900003
-96,-83,635426.1679900003
-96,-82,661687.0175000008
-96,-81,661687.0175000008
-96,-80,661687.0175000008
-96,-79,661687.0175000008
-96,-78,661687.0175000008
-96,-77,661687.0175000008
-96,-76,661687.0175000008
-96,-75,651210.8476200005
-96,-74,651210.8476200005
-96,-73,651210.8476200005
-96,-72,651210.8476200005
-96,-71,651210.8476200005
-96,-70,719012.2664650006
-96,-69,719012.2664650006
-96,-68,764951.3202950008
-96,-67,764951.3202950008
-96,-66,764951.3202950008
-96,-65,764951.3202950008
-96,-64,764951.3202950008
-96,-63,797362.8630950007
-96,-62,776363.5904300008
-96,-61,776363.5904300008
-96,-60,776363.5904300008
-96,-59,735309.4984450012
-96,-58,688238.3684750017
-96,-57,688238.3684750017
-96,-56,688238.3684750017
-96,-55,688238.3684750017
-96,-54,688238.3684750017
-96,-53,679669.8571800014
-96,-52,679669.8571800014
-96,-51,684010.0289500012
-96,-50,690893.8687200017
-96,-49,690893.8687200017
-96,-48,680524.5221550018
-96,-47,661543.5579100023
-96,-46,793331.9888650026
-96,-45,793331.9888650026
-96,-44,793331.9888650026
-96,-43,764291.4327300028
-96,-42,689225.7882500025
-96,-41,730466.5565850033
-96,-40,697058.4767700032
-96,-39,680055.8217600031
-96,-38,680055.8217600031
-96,-37,640162.6329300031
-96,-36,640162.6329300031
-96,-35,613641.2007350033
-96,-34,613641.2007350033
-96,-33,613641.2007350033
-96,-32,613641.2007350033
-96,-31,729952.5036750034
-96,-30,693521.554905003
-96,-29,693521.554905003
-96,-28,704668.2202850037
-96,-27,731303.8397600041
-96,-26,734329.7168150039
-96,-25,716454.373830004
-96,-24,733620.6597300044
-96,-23,733620.6597300044
-96,-22,733620.6597300044
-96,-21,763684.7397750046
-96,-20,763684.7397750046
-96,-19,902623.8912950048
-96,-18,861927.0969600049
-96,-17,823231.2338500051
-96,-16,833103.210870004
-96,-15,813455.5634650047
-96,-14,788803.3819400051
-96,-13,723050.9967700054
-96,-12,716705.6884300052
-96,-11,763472.6586350051
-96,-10,759012.7683950054
-96,-9,733592.2804900054
-96,-8,768108.1378250053
-96,-7,921210.7793250066
-96,-6,905728.7164050069
-96,-5,905728.7164050069
-96,-4,865281.0973550073
-96,-3,850933.3020550072
-96,-2,807677.5032050067
-96,-1,834575.297645008
-96,0,834575.297645008
-96,1,834575.297645008
-96,2,816444.3173150072
-96,3,866692.2130950071
-96,4,843275.4698100073
-96,5,843275.4698100073
-96,6,843275.4698100073
-96,7,1056147.472520011
-96,8,1063880.5739550116
-96,9,1284602.3374450149
-96,10,1285128.3684000147
-96,11,1257282.380860014
-96,12,1241511.6940850152
-96,13,1266442.2143400146
-96,14,1424358.3195900149
-96,15,1383931.8270750146
-96,16,1392350.1915400159
-96,17,1359125.8054150129
-96,18,1359125.8054150129
-96,19,1423108.3378150135
-96,20,1423108.3378150135
-96,21,1423108.3378150135
-96,22,1423108.3378150135
-96,23,1423108.3378150135
-96,24,1394722.4903450157
-96,25,1394722.4903450157
-96,26,1932032.8350500178
-96,27,1932032.8350500178
-96,28,2089969.9067600186
-96,29,3131869.5069550294
-96,30,3131869.5069550294
-96,31,3068713.2626850335
-96,32,3190383.0862000324
-96,33,3190383.0862000324
-96,34,3868854.9739850406
-96,35,3868854.9739850406
-96,36,3868854.9739850406
-96,37,3868854.9739850406
-96,38,3868854.9739850406
-96,39,3868854.9739850406
-96,40,3827001.9310550406
-96,41,3827001.9310550406
-96,42,3827001.9310550406
-96,43,3754463.951125033
-96,44,3754463.951125033
-96,45,3754463.951125033
-96,46,3754463.951125033
-96,47,3754463.951125033
-96,48,3754463.951125033
-96,49,3754463.951125033
-96,50,3754463.951125033
-96,51,3645935.150845036
-96,52,3568087.6522550364
-96,53,3568087.6522550364
-96,54,3568087.6522550364
-96,55,3568087.6522550364
-96,56,3605018.9836200387
-96,57,3536392.0756200384
-96,58,3536392.0756200384
-96,59,3536392.0756200384
-96,60,3536392.0756200384
-96,61,3536392.0756200384
-96,62,3536392.0756200384
-96,63,3536392.0756200384
-96,64,3536392.0756200384
-96,65,3536392.0756200384
-96,66,3536392.0756200384
-96,67,4824894.088040054
-96,68,4824894.088040054
-96,69,4809984.32664506
-96,70,4809984.32664506
-96,71,5718098.809665063
-96,72,5718098.809665063
-96,73,5718098.809665063
-96,74,5718098.809665063
-96,75,5718098.809665063
-96,76,5718098.809665063
-96,77,5718098.809665063
-96,78,5718098.809665063
-96,79,5718098.809665063
-96,80,5393616.691935068
-96,81,5393616.691935068
-96,82,5393616.691935068
-96,83,5393616.691935068
-96,84,5393616.691935068
-96,85,5393616.691935068
-96,86,5393616.691935068
-96,87,5393616.691935068
-96,88,5402327.104815066
-96,89,5402327.104815066
-96,90,5402327.104815066
-96,91,5402327.104815066
-96,92,5402327.104815066
-96,93,5112686.587075056
-96,94,5112686.587075056
-96,95,5112686.587075056
-96,96,5112686.587075056
-96,97,5112686.587075056
-96,98,5112686.587075056
-96,99,5112686.587075056
-96,100,5112686.587075056
-95,-100,612001.0993900003
-95,-99,612001.0993900003
-95,-98,595241.9297400005
-95,-97,595241.9297400005
-95,-96,595241.9297400005
-95,-95,595241.9297400005
-95,-94,595241.9297400005
-95,-93,635426.1679900003
-95,-92,635426.1679900003
-95,-91,635426.1679900003
-95,-90,635426.1679900003
-95,-89,635426.1679900003
