样本内数据年份数,8.0
样本外净资产,1801602.2319850018
总收益率,0.8016022319850018
年复利,0.07633242389939321
最大回撤率,-0.5053529843308422
夏普率,0.3049415353211875
程序运行时间,2022-08-24 23:56:58
程序运行时长,446.s
