样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
4.0,0.0,5.0,8.0,120.0,1048312.3701800038
4.0,1.0,1.0,21.0,126.0,1566543.6392550021
4.0,2.0,8.0,20.0,120.0,1977279.4685050026
4.0,3.0,5.0,13.0,120.0,1845935.9828750035
4.0,4.0,5.0,13.0,120.0,2347635.9027800052
4.0,5.0,6.0,11.0,120.0,1676176.0723650036
4.0,6.0,6.0,16.0,139.0,1473563.294105003
4.0,7.0,6.0,15.0,120.0,1471955.7759700047
