样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
1.0,0.0,4.0,21.0,127.0,948606.3995950007
1.0,1.0,1.0,21.0,120.0,1542664.8643400003
1.0,2.0,4.0,21.0,120.0,1183408.2690500007
1.0,3.0,6.0,9.0,173.0,1024936.6076350006
1.0,4.0,4.0,21.0,120.0,1170132.0488800004
1.0,5.0,6.0,8.0,120.0,1036420.7055500003
1.0,6.0,4.0,17.0,120.0,1249110.0530450006
1.0,7.0,1.0,5.0,151.0,1165096.0334300036
