Date,netAsset,yearTotalRate
2006-01-04,1000000.0,
2006-12-29,2160338.3033499997,1.1835739347094134
2007-12-28,5648797.06335,1.614774294651216
2008-12-31,1924055.16335,-0.6593867434478261
2009-12-31,3783976.8433499997,0.9666675443762556
2010-12-31,3310606.4833500003,-0.12509864082067668
2011-12-30,2482700.32335,-0.2500768859614636
2012-12-31,2670188.50335,0.07551784572493836
2013-12-31,2466079.1433500005,-0.07644005647688368
2014-12-31,3739572.58335,0.5164041241069195
2015-12-31,3948305.4033500003,0.05581729337982577
2016-12-30,3502972.04335,-0.11279101146080306
2017-12-29,4265557.28335,0.21769663890058233
2018-12-28,3186175.1033500005,-0.25304599336016786
2019-12-31,4335089.04335,0.36059347108450224
2020-12-31,5514452.223350001,0.2720505088146081
2021-12-31,5227818.86335,-0.05197857346307233
