Date,Open,Close,DIF,DEA
2005-01-04,994.76,982.79,0.0,0.0
2005-01-05,981.57,992.56,0.7793732193731557,0.15587464387463115
2005-01-06,993.33,983.17,0.6320516878920444,0.2511100526781138
2005-01-07,983.04,983.95,0.5716481895763081,0.3152176800577527
2005-01-10,983.76,993.87,1.3091480334646803,0.5140037507391382
2005-01-11,994.18,997.13,2.132099215616904,0.8376228437146913
2005-01-12,996.65,996.74,2.7214529997462478,1.2143888749210028
2005-01-13,996.07,996.87,3.1625540784830264,1.6040219156334077
2005-01-14,996.61,988.3,2.788458865772782,1.8409093056612829
2005-01-17,979.11,967.45,0.8003391536403797,1.6327952752571022
2005-01-18,967.37,974.68,-0.18967303282954617,1.2683016136397727
2005-01-19,974.33,967.21,-1.559059526128408,0.7028293856861365
2005-01-20,963.21,956.24,-3.4892733368196787,-0.13559115881502648
2005-01-21,954.46,982.6,-2.858993292924538,-0.6802715856369288
2005-01-24,1001.85,998.13,-1.093742622717059,-0.762965793052955
2005-01-25,995.63,997.77,0.2730348838297232,-0.5557656576764194
2005-01-26,995.78,989.92,0.7145496267499993,-0.30170260079113564
2005-01-27,987.34,974.63,-0.16739237952879193,-0.2748405565386669
2005-01-28,974.63,969.2,-1.289627371575989,-0.4777979195461313
2005-01-31,965.78,954.87,-3.2973086061249433,-1.0417000568618937
2005-02-01,953.33,955.95,-4.746548221727494,-1.7826696898350138
2005-02-02,956.7,1006.91,-1.7627154621941372,-1.7786788443068386
2005-02-03,1005.56,993.21,-0.4977443205405052,-1.522491939553572
2005-02-04,992.25,1016.85,2.3848142015020812,-0.7410307113424415
2005-02-16,1023.32,1023.58,5.152917725022689,0.43775897593058477
2005-02-17,1024.43,1020.6,7.025216295017003,1.7552504397478685
2005-02-18,1020.12,1006.05,7.251373678402729,2.854475087478841
2005-02-21,1006.69,1025.63,8.907863096401229,4.065152689263319
2005-02-22,1026.83,1046.74,11.788156935614893,5.609753538533633
2005-02-23,1046.81,1043.93,13.686299892997567,7.22506280942642
2005-02-24,1042.25,1045.46,15.139530986183331,8.807956444777803
2005-02-25,1046.27,1046.76,16.20927579154329,10.288220314130902
2005-02-28,1046.2,1039.98,16.321819148545615,11.494940081013844
2005-03-01,1039.35,1035.93,15.900913583250485,12.376134781461174
2005-03-02,1036.36,1021.32,14.224467187839991,12.745801262736938
2005-03-03,1019.87,1027.71,13.25865343430928,12.848371697051409
2005-03-04,1027.92,1023.66,12.027789058360213,12.684255169313172
