,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-04-11,2269.56,2270.67,1.0,440.0,894.296800000011,999500.6968,0.0
2014-04-16,2223.47,2232.53,-1.0,0.0,978731.9334,978731.9334,-21268.06660000002
2014-07-23,2191.39,2197.83,1.0,446.0,883.3134300000966,978243.25343,0.0
2014-08-26,2339.6,2324.09,-1.0,0.0,1043823.1826300002,1043823.1826300002,65091.24923000019
2014-09-02,2359.86,2386.46,1.0,442.0,243.5335700000869,1043301.6535700002,0.0
2014-09-17,2395.36,2401.33,-1.0,0.0,1058463.2790100002,1058463.2790100002,14640.096380000003
2014-09-22,2419.33,2378.92,1.0,437.0,687.4454050003551,1057934.6554050003,0.0
2014-09-23,2379.52,2399.46,-1.0,0.0,1040017.7602850004,1040017.7602850004,-18445.51872499974
2014-09-25,2453.42,2436.97,1.0,423.0,1702.2019550004043,1039498.8619550004,0.0
2014-10-17,2443.22,2441.73,-1.0,0.0,1034667.5209250004,1034667.5209250004,-5350.239360000007
2014-10-21,2453.41,2433.39,1.0,421.0,1265.4681200004416,1034151.0781200004,0.0
2014-10-22,2434.89,2418.64,-1.0,0.0,1025841.6137750004,1025841.6137750004,-8825.907149999985
2014-10-30,2450.36,2468.93,1.0,418.0,1079.0085350003792,1025329.4885350005,0.0
2014-11-20,2528.78,2537.1,-1.0,0.0,1057580.5335150003,1057580.5335150003,31738.91973999981
2014-11-24,2614.16,2649.26,1.0,404.0,931.8331950004213,1057052.4731950003,0.0
2014-12-31,3462.39,3533.71,0.0,404.0,931.8331950004213,1428550.6731950005,0.0
2015-01-05,3566.09,3641.54,0.0,404.0,931.8331950004213,1472113.9931950003,0.0
2015-02-03,3388.6,3437.45,-1.0,0.0,1369241.7359950005,1369241.7359950005,1368309.9028
2015-02-16,3473.29,3499.48,1.0,394.0,81.23786500049755,1368557.4978650005,0.0
2015-06-19,4847.06,4637.05,-1.0,0.0,1908868.0070450008,1908868.0070450008,539626.2710500003
2015-11-09,3796.38,3840.35,1.0,502.0,2132.355665000854,1907915.1156650009,0.0
2015-11-19,3725.62,3774.97,-1.0,0.0,1871458.465045001,1871458.465045001,-37409.5419999999
2015-11-20,3778.88,3774.38,1.0,494.0,3758.3616850010585,1870525.081685001,0.0
2015-11-30,3554.89,3566.41,-1.0,0.0,1758995.9638550011,1758995.9638550011,-112462.50118999975
2015-12-04,3719.73,3677.59,1.0,472.0,2405.547575001139,1758118.1075750012,0.0
2015-12-07,3681.58,3687.61,-1.0,0.0,1739242.4546950012,1739242.4546950012,-19753.5091599999
2015-12-18,3754.96,3767.91,1.0,462.0,3583.538935001241,1738375.0589350013,0.0
2015-12-29,3723.05,3761.87,-1.0,0.0,1722772.6143850014,1722772.6143850014,-16469.840309999883
2015-12-30,3762.91,3765.18,1.0,457.0,2262.9194500015583,1721912.7894500014,0.0
2015-12-31,3760.9,3731.0,0.0,457.0,2262.9194500015583,1707329.9194500016,0.0
2016-01-04,3725.86,3469.07,-1.0,0.0,1704129.5804400016,1704129.5804400016,1701866.66099
2016-07-07,3206.55,3209.95,1.0,531.0,600.1914150016382,1703278.2414150017,0.0
2016-07-11,3199.04,3203.33,-1.0,0.0,1698441.0862950017,1698441.0862950017,-5688.494144999888
2016-07-13,3274.02,3282.87,1.0,518.0,1650.7551150016952,1697593.1151150018,0.0
2016-08-01,3196.43,3176.81,-1.0,0.0,1656573.6197450017,1656573.6197450017,-41867.46655000001
2016-08-09,3232.6,3256.98,1.0,512.0,654.8741450018715,1655746.0741450018,0.0
2016-09-13,3265.34,3260.33,-1.0,0.0,1671673.027105002,1671673.027105002,15099.407360000303
2016-10-12,3299.14,3300.01,1.0,506.0,1473.5046850021463,1670838.344685002,0.0
2016-12-13,3394.21,3405.04,-1.0,0.0,1718085.0295550022,1718085.0295550022,46412.00245000026
2016-12-30,3302.6,3310.08,0.0,0.0,1718085.0295550022,1718085.0295550022,0.0
2017-01-03,3313.95,3342.23,0.0,0.0,1718085.0295550022,1718085.0295550022,0.0
2017-01-24,3363.14,3364.45,1.0,510.0,2026.0288550024852,1717227.4288550024,0.0
2017-04-19,3452.99,3445.88,-1.0,0.0,1762170.4164050026,1762170.4164050026,44085.38685000036
2017-05-24,3409.72,3424.17,1.0,516.0,1875.1886450028978,1761290.7086450027,0.0
2017-08-14,3651.38,3694.68,-1.0,0.0,1885045.212605003,1885045.212605003,122874.79620000045
2017-08-18,3707.19,3724.67,1.0,508.0,851.0663450032007,1884103.5863450032,0.0
2017-11-30,4034.01,4006.1,-1.0,0.0,2049103.5078050033,2049103.5078050033,164058.29520000028
2017-12-22,4064.91,4054.6,1.0,503.0,3431.4529400034808,2048081.1829400035,0.0
2017-12-28,3993.0,4018.9,-1.0,0.0,2010906.2134400036,2010906.2134400036,-38197.29436499975
2017-12-29,4022.88,4030.86,0.0,0.0,2010906.2134400036,2010906.2134400036,0.0
2018-01-02,4045.21,4087.4,0.0,0.0,2010906.2134400036,2010906.2134400036,0.0
2018-01-03,4091.46,4111.39,1.0,491.0,994.9000100034755,2009901.7600100036,0.0
2018-02-07,4205.74,4050.5,-1.0,0.0,2064980.7308400034,2064980.7308400034,54074.51739999978
2018-03-13,4124.33,4091.25,1.0,500.0,1784.648340003565,2063949.6483400036,0.0
2018-03-19,4054.62,4074.25,-1.0,0.0,2028080.9933400038,2028080.9933400038,-36899.73749999958
2018-12-28,2994.8,3010.65,0.0,0.0,2028080.9933400038,2028080.9933400038,0.0
2019-01-02,3017.07,2969.54,0.0,0.0,2028080.9933400038,2028080.9933400038,0.0
2019-02-12,3306.35,3330.34,1.0,613.0,275.04706500377506,2027067.5970650038,0.0
2019-04-29,3896.58,3900.33,-1.0,0.0,2387684.285295004,2387684.285295004,359603.29195500026
2019-06-14,3690.48,3654.88,1.0,646.0,2442.180255004205,2386492.2602550043,0.0
2019-06-17,3654.44,3654.82,-1.0,0.0,2362030.0361350044,2362030.0361350044,-25654.249159999657
