样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
5.0,0.0,2.0,11.0,120.0,1218523.9059150051
5.0,1.0,4.0,21.0,120.0,1392310.1903700032
5.0,2.0,4.0,21.0,120.0,1808593.1556450038
5.0,3.0,4.0,21.0,120.0,1802273.1215650039
5.0,4.0,4.0,21.0,127.0,2034158.8362050036
5.0,5.0,4.0,21.0,126.0,2161640.687160004
5.0,6.0,4.0,21.0,121.0,1706151.924790004
5.0,7.0,7.0,8.0,121.0,1510993.0887500043
