Date,Open,Close,EMA120
2005-01-04,994.76,982.79,982.79
2005-01-05,981.57,992.56,982.9514876033058
2005-01-06,993.33,983.17,982.9550993784579
2005-01-07,983.04,983.95,982.9715440168305
2005-01-10,983.76,993.87,983.1516837851475
2005-01-11,994.18,997.13,983.3827303341534
2005-01-12,996.65,996.74,983.6035116509443
2005-01-13,996.07,996.87,983.8227924501023
2005-01-14,996.61,988.3,983.8967958806791
2005-01-17,979.11,967.45,983.6249480148828
2005-01-18,967.37,974.68,983.4770976344715
2005-01-19,974.33,967.21,983.2082199876209
2005-01-20,963.21,956.24,982.7624642853463
2005-01-21,954.46,982.6,982.7597789252579
2005-01-24,1001.85,998.13,983.0138321661628
2005-01-25,995.63,997.77,983.2577357667222
2005-01-26,995.78,989.92,983.3678558366938
2005-01-27,987.34,974.63,983.2234284674923
2005-01-28,974.63,969.2,982.9916362614181
2005-01-31,965.78,954.87,982.5268158273451
2005-02-01,953.33,955.95,982.087529615323
2005-02-02,956.7,1006.91,982.4978183820119
2005-02-03,1005.56,993.21,982.674879235202
2005-02-04,992.25,1016.85,983.2397572643723
2005-02-16,1023.32,1023.58,983.9065381360357
2005-02-17,1024.43,1020.6,984.5130416379194
2005-02-18,1020.12,1006.05,984.8690244207638
2005-02-21,1006.69,1025.63,985.542759554305
2005-02-22,1026.83,1046.74,986.5542841897711
2005-02-23,1046.81,1043.93,987.5026431287832
2005-02-24,1042.25,1045.46,988.4606159696298
2005-02-25,1046.27,1046.76,989.4242421519499
2005-02-28,1046.2,1039.98,990.2598745130748
2005-03-01,1039.35,1035.93,991.0147526202968
2005-03-02,1036.36,1021.32,991.5156658001267
2005-03-03,1019.87,1027.71,992.1139192579759
2005-03-04,1027.92,1023.66,992.6353420801581
2005-03-07,1024.48,1029.87,993.2507909713953
2005-03-08,1033.78,1048.98,994.1719349222814
2005-03-09,1051.26,1046.54,995.0375227748057
2005-03-10,1046.68,1022.41,995.4899604148916
2005-03-11,1021.08,1027.42,996.0177296642323
2005-03-14,1027.17,1031.02,996.5962795871376
2005-03-15,1030.85,1013.52,996.8760105030527
2005-03-16,1011.85,1003.06,996.9782252054816
2005-03-17,1001.96,992.86,996.9101553673745
2005-03-18,991.88,978.66,996.6084999067567
2005-03-21,977.29,981.89,996.3652189165624
2005-03-22,981.7,964.02,995.8305871989334
2005-03-23,962.81,959.01,995.2219824518436
2005-03-24,957.43,964.8,994.7191397666892
2005-03-25,964.24,962.95,994.1940300184795
2005-03-28,961.65,960.69,993.6402443983394
2005-03-29,960.41,955.19,993.0047031686148
2005-03-30,952.71,937.03,992.0795014633485
2005-03-31,934.84,942.2,991.2550468937064
2005-04-01,941.43,978.14,991.0382692590998
2005-04-04,968.49,962.16,990.5609424944867
2005-04-05,960.54,955.59,989.9829103871399
2005-04-06,955.59,973.66,989.7131102154517
2005-04-07,975.97,984.73,989.630744757345
2005-04-08,984.66,1003.45,989.8591621993725
2005-04-11,1003.88,995.42,989.9510768737631
2005-04-12,993.71,978.7,989.7651086609737
2005-04-13,987.95,1000.9,989.9491564517015
2005-04-14,1004.64,986.97,989.8999141963016
2005-04-15,982.61,974.08,989.6384280112387
2005-04-18,970.91,963.77,989.210850688739
2005-04-19,962.92,965.89,988.8253820823137
2005-04-20,964.15,950.87,988.1980203950028
2005-04-21,948.86,943.98,987.4671440248375
2005-04-22,942.91,939.1,986.667687098807
2005-04-25,935.99,930.07,985.7321881384962
2005-04-26,928.43,937.08,984.9280197395129
2005-04-27,938.57,926.6,983.9639202396863
2005-04-28,923.53,942.07,983.2714587481213
2005-04-29,940.81,932.4,982.4306081903012
2005-05-09,934.65,909.17,981.2196890466598
2005-05-10,905.54,913.08,980.093413194649
2005-05-11,911.84,901.85,978.8001336377127
2005-05-12,899.97,885.82,977.2632719246927
2005-05-13,883.51,887.54,975.7802426366814
2005-05-16,885.39,875.27,974.1189163121082
2005-05-17,873.08,881.46,972.587363976371
2005-05-18,881.14,883.2,971.1098868858525
2005-05-19,882.84,884.17,969.6728639621194
2005-05-20,883.51,882.76,968.2362876982828
2005-05-23,880.28,863.34,966.5024647611212
2005-05-24,861.2,868.46,964.8819281534994
2005-05-25,867.66,868.45,963.288011985673
2005-05-26,867.76,857.33,961.5366398867363
2005-05-27,855.59,849.51,959.6849598886085
2005-05-30,847.63,855.61,957.9647126177225
2005-05-31,856.56,855.95,956.2785190207354
2005-06-01,855.21,837.53,954.3157335823762
2005-06-02,835.47,818.38,952.0688619529154
2005-06-03,816.55,818.03,949.8533435735285
2005-06-06,816.73,839.0,948.0210569028917
2005-06-07,841.58,837.28,946.190626210282
2005-06-08,848.54,905.77,945.5225166861451
2005-06-09,907.57,912.6,944.978342856622
2005-06-10,911.94,894.56,944.1449818176696
2005-06-13,895.0,892.96,943.2989490603528
2005-06-14,895.39,883.54,942.3111978362148
2005-06-15,881.21,866.83,941.063574731484
2005-06-16,866.66,879.24,940.041697463195
2005-06-17,883.6,880.34,939.054892546448
2005-06-20,881.62,906.26,938.5128282068373
2005-06-21,906.31,896.17,937.8129467488732
2005-06-22,894.77,900.65,937.1986831662473
2005-06-23,900.06,893.57,936.4775479073012
2005-06-24,892.06,898.3,935.8465140575937
2005-06-27,904.21,916.04,935.5191336599476
2005-06-28,913.48,903.72,934.9935281449071
2005-06-29,906.75,898.9,934.3969409028426
2005-06-30,897.1,878.69,933.476165020151
2005-07-01,875.93,859.49,932.2532532016362
2005-07-04,855.32,855.93,930.9917118264026
2005-07-05,853.68,849.68,929.6477165896026
2005-07-06,850.25,842.56,928.2082501996919
2005-07-07,841.75,844.73,926.8284444112672
2005-07-08,842.62,829.49,925.219544503643
2005-07-11,837.86,824.1,923.5481470738307
2005-07-12,821.91,851.82,922.3625578659988
2005-07-13,850.47,846.23,921.104168479784
2005-07-14,844.94,849.59,919.9221161082173
2005-07-15,849.87,841.0,918.6176183213047
2005-07-18,839.22,832.99,917.2022857870684
2005-07-19,831.5,835.61,915.8536529641417
2005-07-20,835.3,842.64,914.643509939941
2005-07-21,842.75,843.99,913.4756833293635
2005-07-22,847.54,859.69,912.5866637702005
2005-07-25,858.33,856.86,911.6655618897014
2005-07-26,856.19,876.48,911.0839823543345
2005-07-27,876.94,894.01,910.8017677699654
2005-07-28,893.88,890.89,910.4726476415364
2005-07-29,889.41,888.16,910.103843548288
2005-08-01,887.72,891.61,909.7981601838535
2005-08-02,892.13,903.6,909.6957112551949
2005-08-03,905.18,909.57,909.6936333832082
2005-08-04,907.42,904.15,909.6020030793535
2005-08-05,904.04,923.8,909.8366807144055
2005-08-08,926.57,927.47,910.1281405373079
2005-08-09,926.97,933.09,910.5076754044599
2005-08-10,933.26,940.37,911.0012675465349
2005-08-11,940.78,953.99,911.7118251077493
2005-08-12,954.72,938.32,912.1516296514229
2005-08-15,937.71,954.5,912.8516027150357
2005-08-16,955.27,945.06,913.3839729180929
2005-08-17,943.41,953.01,914.0389485723395
2005-08-18,954.16,920.67,914.1485527281685
2005-08-19,918.09,923.04,914.2955187987773
2005-08-22,923.11,931.67,914.5827003062356
2005-08-23,931.81,923.41,914.7286060862979
2005-08-24,923.56,930.65,914.9917696220616
2005-08-25,930.97,930.12,915.2418230167384
2005-08-26,930.25,928.26,915.4569994958006
2005-08-29,928.34,917.37,915.4886193388452
2005-08-30,916.09,914.88,915.4785595150627
2005-08-31,915.12,927.92,915.6842031594418
2005-09-01,928.52,944.56,916.1614890576329
2005-09-02,945.98,947.87,916.685596676515
2005-09-05,949.08,952.72,917.2812066488041
2005-09-06,953.41,936.61,917.6006908364271
2005-09-07,934.99,952.76,918.1818364424366
2005-09-08,954.27,955.28,918.7950292285121
2005-09-09,955.11,949.07,919.2954419685367
2005-09-12,949.78,949.51,919.7948561508749
2005-09-13,949.58,963.77,920.5217180326787
2005-09-14,964.97,970.19,921.3426813709815
2005-09-15,970.58,969.6,922.1403230012132
2005-09-16,969.62,967.49,922.8899044392098
2005-09-19,967.44,971.14,923.6874266798841
2005-09-20,971.38,961.92,924.3193700405473
2005-09-21,961.37,944.41,924.6514465688027
