,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-04-11,2269.56,2270.67,1.0,440.0,894.296800000011,999500.6968,0.0
2014-04-16,2223.47,2232.53,-1.0,0.0,978731.9334,978731.9334,-21268.06660000002
2014-07-23,2191.39,2197.83,1.0,446.0,883.3134300000966,978243.25343,0.0
2014-08-29,2317.3,2338.29,-1.0,0.0,1033882.3555300002,1033882.3555300002,55150.422130000195
2014-09-01,2340.92,2355.32,1.0,441.0,1020.4626700001536,1033366.1826700002,0.0
2014-10-23,2415.44,2395.94,-1.0,0.0,1065696.8981500003,1065696.8981500003,31814.54262000008
2014-10-31,2473.5,2508.33,1.0,430.0,1560.0956500002649,1065165.0956500003,0.0
2014-12-31,3462.39,3533.71,0.0,430.0,1560.0956500002649,1521055.3956500003,0.0
2015-01-05,3566.09,3641.54,0.0,430.0,1560.0956500002649,1567422.2956500002,0.0
2015-02-03,3388.6,3437.45,-1.0,0.0,1457929.5466500004,1457929.5466500004,1456369.4510000001
2015-02-16,3473.29,3499.48,1.0,419.0,1893.3823950004298,1457201.8923950004,0.0
2015-06-19,4847.06,4637.05,-1.0,0.0,2031796.0633250007,2031796.0633250007,573866.5166750003
2015-11-09,3796.38,3840.35,1.0,534.0,3515.509865000611,2030782.4298650008,0.0
2015-11-19,3725.62,3774.97,-1.0,0.0,1992001.8493250005,1992001.8493250005,-39794.21400000015
2015-11-20,3778.88,3774.38,1.0,526.0,3317.1238850005902,1991008.0038850007,0.0
2015-11-30,3554.89,3566.41,-1.0,0.0,1872254.3278150007,1872254.3278150007,-119747.52150999987
2015-12-04,3719.73,3677.59,1.0,503.0,294.6257200008258,1871318.8157200008,0.0
2015-12-07,3681.58,3687.61,-1.0,0.0,1851203.448350001,1851203.448350001,-21050.879464999773
2015-12-18,3754.96,3767.91,1.0,492.0,2839.408190001035,1850279.728190001,0.0
2015-12-29,3723.05,3761.87,-1.0,0.0,1833664.1378900013,1833664.1378900013,-17539.3104599996
2015-12-30,3762.91,3765.18,1.0,487.0,210.69930500141345,1832747.8693050013,0.0
2015-12-31,3760.9,3731.0,0.0,487.0,210.69930500141345,1817207.6993050014,0.0
2016-01-04,3725.86,3469.07,-1.0,0.0,1813797.2723950015,1813797.2723950015,1813586.57309
2016-07-13,3274.02,3282.87,1.0,553.0,2358.9458650015295,1812892.0058650016,0.0
2016-07-25,3220.17,3230.89,-1.0,0.0,1782222.5788600016,1782222.5788600016,-31574.693534999853
2016-07-27,3270.08,3218.24,1.0,544.0,2409.59710000176,1781333.1171000018,0.0
2016-07-28,3204.46,3221.14,-1.0,0.0,1744764.2239800019,1744764.2239800019,-37458.354879999766
2016-08-09,3232.6,3256.98,1.0,539.0,1521.6382800021674,1743893.038280002,0.0
2016-08-12,3231.81,3294.23,-1.0,0.0,1742596.2554850024,1742596.2554850024,-2167.9684949994553
2016-08-15,3303.47,3393.42,1.0,527.0,797.1011400024872,1741725.7911400024,0.0
2016-09-13,3265.34,3260.33,-1.0,0.0,1720770.8640500028,1720770.8640500028,-21825.39143499965
2016-10-12,3299.14,3300.01,1.0,521.0,1059.4980800028425,1719911.4380800028,0.0
2016-12-13,3394.21,3405.04,-1.0,0.0,1768558.7163750029,1768558.7163750029,47787.8523250001
2016-12-30,3302.6,3310.08,0.0,0.0,1768558.7163750029,1768558.7163750029,0.0
2017-01-03,3313.95,3342.23,0.0,0.0,1768558.7163750029,1768558.7163750029,0.0
2017-01-24,3363.14,3364.45,1.0,525.0,2027.3921250030398,1767675.892125003,0.0
2017-04-19,3452.99,3445.88,-1.0,0.0,1813940.7322500031,1813940.7322500031,45382.015875000274
2017-05-24,3409.72,3424.17,1.0,531.0,2474.1315900033806,1813035.4515900032,0.0
2017-08-14,3651.38,3694.68,-1.0,0.0,1940387.4702000036,1940387.4702000036,126446.73795000045
2017-08-18,3707.19,3724.67,1.0,523.0,557.6700150035322,1939418.0400150036,0.0
2017-11-30,4034.01,4006.1,-1.0,0.0,2109290.0064000036,2109290.0064000036,168902.53619999997
2017-12-22,4064.91,4054.6,1.0,518.0,2613.8147100037895,2108237.1947100037,0.0
2017-12-28,3993.0,4018.9,-1.0,0.0,2069953.6277100039,2069953.6277100039,-39336.37868999969
2017-12-29,4022.88,4030.86,0.0,0.0,2069953.6277100039,2069953.6277100039,0.0
2018-01-02,4045.21,4087.4,0.0,0.0,2069953.6277100039,2069953.6277100039,0.0
2018-01-03,4091.46,4111.39,1.0,505.0,2733.234060003888,2068920.534060004,0.0
2018-02-07,4205.74,4050.5,-1.0,0.0,2125569.9847100037,2125569.9847100037,55616.35699999984
2018-03-13,4124.33,4091.25,1.0,515.0,478.01973500382155,2124507.969735004,0.0
2018-03-19,4054.62,4074.25,-1.0,0.0,2087563.255085004,2087563.255085004,-38006.72962499969
2018-12-28,2994.8,3010.65,0.0,0.0,2087563.255085004,2087563.255085004,0.0
2019-01-02,3017.07,2969.54,0.0,0.0,2087563.255085004,2087563.255085004,0.0
2019-02-12,3306.35,3330.34,1.0,631.0,213.25166000425816,2086520.1016600041,0.0
2019-04-29,3896.58,3900.33,-1.0,0.0,2457725.8606700045,2457725.8606700045,370162.6055850005
2019-06-14,3690.48,3654.88,1.0,665.0,2329.5760700046085,2456498.776070005,0.0
2019-06-17,3654.44,3654.82,-1.0,0.0,2431317.074770005,2431317.074770005,-26408.78589999955
2019-06-20,3718.94,3828.52,1.0,653.0,1635.02086000517,2430102.840860005,0.0
2019-07-19,3787.51,3807.96,-1.0,0.0,2473642.4288450056,2473642.4288450056,42325.35407500062
2019-07-25,3821.39,3851.07,1.0,646.0,3790.179875005968,2472408.119875006,0.0
2019-08-05,3724.41,3675.69,-1.0,0.0,2408556.055445006,2408556.055445006,-65086.37339999946
2019-08-21,3778.31,3781.76,1.0,637.0,569.1937100063078,2407352.663710006,0.0
2019-09-27,3843.46,3852.65,-1.0,0.0,2447629.0717000063,2447629.0717000063,39073.01625500014
