样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
3.0,0.0,4.0,21.0,120.0,995341.3557000022
3.0,1.0,4.0,21.0,120.0,1499196.2791100012
3.0,2.0,4.0,21.0,140.0,1717970.903770002
3.0,3.0,4.0,21.0,126.0,1831445.0684300023
3.0,4.0,4.0,21.0,126.0,1402056.6905300026
3.0,5.0,4.0,21.0,126.0,1196511.579385001
3.0,6.0,6.0,21.0,120.0,1448217.0677450027
3.0,7.0,5.0,10.0,120.0,1347569.0953050025
