样本内数据年份数,8.0
样本外净资产,1821309.7904150072
总收益率,0.8213097904150072
年复利,0.07779666395914098
最大回撤率,-0.26928038517107117
夏普率,0.3907672766948586
程序运行时间,2022-09-26 19:11:19
程序运行时长,3297s
