样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
2.0,0.0,-42.0,13.0,1334708.4650050004
2.0,1.0,-82.0,46.0,1455750.7759600002
2.0,2.0,11.0,46.0,1818048.794210001
2.0,3.0,11.0,34.0,1499852.1816350007
2.0,4.0,15.0,35.0,1379536.0290450007
2.0,5.0,-100.0,-100.0,1000000.0
2.0,6.0,-63.0,44.0,1237626.3719250003
2.0,7.0,-46.0,44.0,1756198.2077050004
