,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,1570.05,1561.1,0.0,0.0,1000000.0,1000000.0,0.0
2014-02-14,1527.21,1534.24,1.0,654.0,705.262330000056,999500.60233,0.0
2014-02-25,1469.26,1440.89,-1.0,0.0,961120.8543100002,961120.8543100002,-38879.1456899998
2014-03-31,1473.15,1465.78,0.0,0.0,961120.8543100002,961120.8543100002,0.0
2014-04-01,1463.71,1473.14,0.0,0.0,961120.8543100002,961120.8543100002,0.0
2014-04-03,1498.11,1477.49,1.0,641.0,352.20005500037223,960640.7100550003,0.0
2014-05-12,1492.63,1508.39,-1.0,0.0,956649.6421400005,956649.6421400005,-4471.212169999722
2014-05-13,1507.0,1503.52,1.0,634.0,733.9231400005519,956171.9231400006,0.0
2014-05-20,1466.05,1460.82,-1.0,0.0,929744.8852900006,929744.8852900006,-26904.75684999989
2014-06-16,1503.66,1518.7,1.0,618.0,18.374350000638515,929280.2543500006,0.0
2014-06-24,1471.73,1480.13,-1.0,0.0,909092.7497800007,909092.7497800007,-20652.135509999935
2014-06-30,1475.72,1482.41,0.0,0.0,909092.7497800007,909092.7497800007,0.0
2014-07-01,1486.79,1481.66,0.0,0.0,909092.7497800007,909092.7497800007,0.0
2014-07-04,1489.82,1492.46,1.0,609.0,1338.7195900006918,908639.0995900007,0.0
2014-07-11,1462.35,1468.54,-1.0,0.0,891464.5840150006,891464.5840150006,-17628.16576500004
2014-07-17,1479.12,1473.67,1.0,602.0,589.128895000671,891019.3688950007,0.0
2014-07-18,1466.58,1478.76,-1.0,0.0,883028.8483150007,883028.8483150007,-8435.735699999961
2014-07-23,1495.25,1506.76,1.0,590.0,390.2495650006458,882587.7495650006,0.0
2014-09-19,1609.86,1619.58,-1.0,0.0,949732.7408650006,949732.7408650006,66703.89254999999
2014-09-22,1613.81,1583.89,1.0,588.0,338.0007250007475,949258.2807250007,0.0
2014-09-23,1584.29,1595.64,-1.0,0.0,931434.7394650008,931434.7394650008,-18298.001399999834
2014-09-26,1613.91,1616.09,1.0,576.0,1357.7733850008808,930969.9333850009,0.0
2014-09-30,1623.04,1619.7,0.0,576.0,1357.7733850008808,934304.973385001,0.0
2014-10-08,1625.26,1633.57,-1.0,0.0,937039.4585050009,937039.4585050009,935681.68512
2014-10-20,1613.8,1612.4,1.0,580.0,567.4565050009405,936571.4565050009,0.0
2014-10-27,1572.89,1559.91,-1.0,0.0,912387.518405001,912387.518405001,-24651.94009999989
2014-11-10,1671.23,1689.02,1.0,545.0,1111.7582300010836,911932.1082300011,0.0
2014-12-31,2529.57,2581.57,0.0,545.0,1111.7582300010836,1408067.408230001,0.0
2015-01-05,2612.85,2649.64,0.0,545.0,1111.7582300010836,1445165.558230001,0.0
2015-02-03,2362.41,2405.76,-1.0,0.0,1287981.4515050012,1287981.4515050012,1286869.693275
2015-03-16,2512.35,2550.86,1.0,512.0,1015.0899050012231,1287338.2899050012,0.0
2015-03-31,2826.63,2754.66,0.0,512.0,1015.0899050012231,1411401.0099050011,0.0
2015-04-01,2758.96,2799.45,0.0,512.0,1015.0899050012231,1434333.4899050011,0.0
2015-05-15,3122.89,3060.41,-1.0,0.0,1599135.3100650012,1599135.3100650012,1598120.22016
2015-06-01,3114.79,3244.32,1.0,513.0,449.09643000131473,1598336.3664300013,0.0
2015-06-24,3009.77,3045.24,-1.0,0.0,1543689.1004250015,1543689.1004250015,-55446.20963999978
2015-06-30,2678.63,2870.03,0.0,0.0,1543689.1004250015,1543689.1004250015,0.0
2015-07-01,2823.94,2736.85,0.0,0.0,1543689.1004250015,1543689.1004250015,0.0
2015-07-24,2794.05,2741.04,1.0,552.0,602.3426250014454,1542917.9426250015,0.0
2015-07-31,2452.05,2461.24,-1.0,0.0,1353457.1768250016,1353457.1768250016,-190231.92359999986
2015-09-21,2185.08,2214.45,1.0,619.0,216.37456500157714,1352780.8945650016,0.0
2015-09-30,2138.15,2146.12,0.0,619.0,216.37456500157714,1328664.6545650016,0.0
2015-10-08,2231.02,2191.34,0.0,619.0,216.37456500157714,1356655.8345650018,0.0
2015-10-09,2202.13,2219.29,-1.0,0.0,1362653.2853300017,1362653.2853300017,1362436.9107650002
2015-10-15,2254.4,2297.9,1.0,604.0,314.85653000161983,1361972.4565300017,0.0
2015-12-03,2441.91,2461.45,-1.0,0.0,1474491.0397100016,1474491.0397100016,111837.75437999982
2015-12-25,2483.66,2492.34,1.0,593.0,944.2545200018212,1473754.6345200017,0.0
2015-12-31,2426.81,2420.8,0.0,593.0,944.2545200018212,1436478.654520002,0.0
2016-01-04,2417.02,2270.46,0.0,593.0,944.2545200018212,1347327.0345200018,0.0
2016-01-11,2182.85,2120.23,-1.0,0.0,1294727.0894950018,1294727.0894950018,1293782.834975
2016-03-01,1944.56,1973.19,1.0,665.0,948.1232950019184,1294080.5232950018,0.0
2016-03-31,2166.42,2156.54,0.0,665.0,948.1232950019184,1435047.2232950018,0.0
2016-04-01,2156.78,2167.78,0.0,665.0,948.1232950019184,1442521.823295002,0.0
2016-05-05,2149.47,2152.88,-1.0,0.0,1429630.9745200018,1429630.9745200018,1428682.8512249999
2016-06-06,2148.96,2136.32,1.0,664.0,2008.079800002044,1428917.519800002,0.0
2016-06-28,2089.35,2102.05,-1.0,0.0,1388642.815600002,1388642.815600002,-40988.15891999984
