,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-04-11,2269.56,2270.67,1.0,440.0,894.296800000011,999500.6968,0.0
2014-04-16,2223.47,2232.53,-1.0,0.0,978731.9334,978731.9334,-21268.06660000002
2014-07-23,2191.39,2197.83,1.0,446.0,883.3134300000966,978243.25343,0.0
2014-08-26,2339.6,2324.09,-1.0,0.0,1043823.1826300002,1043823.1826300002,65091.24923000019
2014-09-02,2359.86,2386.46,1.0,442.0,243.5335700000869,1043301.6535700002,0.0
2014-09-17,2395.36,2401.33,-1.0,0.0,1058463.2790100002,1058463.2790100002,14640.096380000003
2014-09-22,2419.33,2378.92,1.0,437.0,687.4454050003551,1057934.6554050003,0.0
2014-09-23,2379.52,2399.46,-1.0,0.0,1040017.7602850004,1040017.7602850004,-18445.51872499974
2014-09-25,2453.42,2436.97,1.0,423.0,1702.2019550004043,1039498.8619550004,0.0
2014-10-17,2443.22,2441.73,-1.0,0.0,1034667.5209250004,1034667.5209250004,-5350.239360000007
2014-10-21,2453.41,2433.39,1.0,421.0,1265.4681200004416,1034151.0781200004,0.0
2014-10-22,2434.89,2418.64,-1.0,0.0,1025841.6137750004,1025841.6137750004,-8825.907149999985
2014-10-30,2450.36,2468.93,1.0,418.0,1079.0085350003792,1025329.4885350005,0.0
2014-11-20,2528.78,2537.1,-1.0,0.0,1057580.5335150003,1057580.5335150003,31738.91973999981
2014-11-24,2614.16,2649.26,1.0,404.0,931.8331950004213,1057052.4731950003,0.0
2014-12-31,3462.39,3533.71,0.0,404.0,931.8331950004213,1428550.6731950005,0.0
2015-01-05,3566.09,3641.54,0.0,404.0,931.8331950004213,1472113.9931950003,0.0
2015-02-03,3388.6,3437.45,-1.0,0.0,1369241.7359950005,1369241.7359950005,1368309.9028
2015-02-16,3473.29,3499.48,1.0,394.0,81.23786500049755,1368557.4978650005,0.0
2015-06-19,4847.06,4637.05,-1.0,0.0,1908868.0070450008,1908868.0070450008,539626.2710500003
2015-08-14,4097.92,4073.54,1.0,465.0,2382.4406450008973,1907915.240645001,0.0
2015-08-19,3748.27,3886.14,-1.0,0.0,1744456.517870001,1744456.517870001,-164411.48917499976
2015-11-09,3796.38,3840.35,1.0,459.0,1046.828660001047,1743585.2486600012,0.0
2015-11-19,3725.62,3774.97,-1.0,0.0,1710251.378870001,1710251.378870001,-34205.13899999997
2015-11-20,3778.88,3774.38,1.0,452.0,1343.591990001034,1709397.351990001,0.0
2015-11-30,3554.89,3566.41,-1.0,0.0,1607350.4668500011,1607350.4668500011,-102900.91201999993
2015-12-04,3719.73,3677.59,1.0,431.0,3345.2350350010674,1606548.8650350012,0.0
2015-12-07,3681.58,3687.61,-1.0,0.0,1589312.8345450012,1589312.8345450012,-18037.632304999977
2015-12-18,3754.96,3767.91,1.0,423.0,170.58050500112586,1588518.6605050012,0.0
2015-12-29,3723.05,3761.87,-1.0,0.0,1574233.3054300013,1574233.3054300013,-15079.529114999808
2015-12-30,3762.91,3765.18,1.0,418.0,550.47724000155,1573446.8572400014,0.0
2015-12-31,3760.9,3731.0,0.0,418.0,550.47724000155,1560108.4772400015,0.0
2016-01-04,3725.86,3469.07,-1.0,0.0,1557181.2525000016,1557181.2525000016,1556630.77526
2016-07-07,3206.55,3209.95,1.0,485.0,1226.9141250017565,1556403.6641250018,0.0
2016-07-11,3199.04,3203.33,-1.0,0.0,1551985.5469250018,1551985.5469250018,-5195.705574999796
2016-07-13,3274.02,3282.87,1.0,473.0,2599.7811950019095,1551211.2411950019,0.0
2016-08-01,3196.43,3176.81,-1.0,0.0,1513755.2155000018,1513755.2155000018,-38230.33142499998
2016-08-09,3232.6,3256.98,1.0,468.0,141.9871000018902,1512998.787100002,0.0
2016-09-13,3265.34,3260.33,-1.0,0.0,1527557.017540002,1527557.017540002,13801.802040000213
2016-10-12,3299.14,3300.01,1.0,462.0,2592.236200002255,1526794.9162000022,0.0
2016-12-13,3394.21,3405.04,-1.0,0.0,1569933.1936900024,1569933.1936900024,42376.17615000042
2016-12-30,3302.6,3310.08,0.0,0.0,1569933.1936900024,1569933.1936900024,0.0
2017-01-03,3313.95,3342.23,0.0,0.0,1569933.1936900024,1569933.1936900024,0.0
2017-01-24,3363.14,3364.45,1.0,466.0,1926.3420700025745,1569149.5820700026,0.0
2017-04-19,3452.99,3445.88,-1.0,0.0,1610215.1354000026,1610215.1354000026,40281.94171000016
2017-05-24,3409.72,3424.17,1.0,472.0,22.60148000274785,1609410.4414800026,0.0
2017-08-14,3651.38,3694.68,-1.0,0.0,1722612.235800003,1722612.235800003,112397.10040000034
2017-08-18,3707.19,3724.67,1.0,464.0,1616.0077200031374,1721752.167720003,0.0
2017-11-30,4034.01,4006.1,-1.0,0.0,1872460.7574000033,1872460.7574000033,149848.52160000033
2017-12-22,4064.91,4054.6,1.0,460.0,1667.2281000034418,1871525.8281000033,0.0
2017-12-28,3993.0,4018.9,-1.0,0.0,1837528.8381000035,1837528.8381000035,-34931.91929999972
2017-12-29,4022.88,4030.86,0.0,0.0,1837528.8381000035,1837528.8381000035,0.0
2018-01-02,4045.21,4087.4,0.0,0.0,1837528.8381000035,1837528.8381000035,0.0
2018-01-03,4091.46,4111.39,1.0,448.0,3638.271060003666,1836612.3510600037,0.0
2018-02-07,4205.74,4050.5,-1.0,0.0,1886867.7053000038,1886867.7053000038,49338.86720000021
2018-03-13,4124.33,4091.25,1.0,457.0,1106.4858950038906,1885925.295895004,0.0
2018-03-19,4054.62,4074.25,-1.0,0.0,1853141.3452250038,1853141.3452250038,-33726.360074999975
2018-12-28,2994.8,3010.65,0.0,0.0,1853141.3452250038,1853141.3452250038,0.0
2019-01-02,3017.07,2969.54,0.0,0.0,1853141.3452250038,1853141.3452250038,0.0
2019-02-12,3306.35,3330.34,1.0,560.0,659.5672250038479,1852215.5672250038,0.0
2019-04-29,3896.58,3900.33,-1.0,0.0,2181653.3248250037,2181653.3248250037,328511.97959999996
