样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
6.0,0.0,2.0,11.0,120.0,1180838.4130600046
6.0,1.0,4.0,21.0,144.0,1785442.607940005
6.0,2.0,4.0,21.0,120.0,1663861.8813700045
6.0,3.0,4.0,21.0,120.0,1819957.9386700047
6.0,4.0,4.0,21.0,120.0,2109383.8512000055
6.0,5.0,4.0,21.0,127.0,2051441.4762550038
6.0,6.0,4.0,21.0,121.0,2620553.004630006
6.0,7.0,4.0,21.0,121.0,1674703.0333150057
