样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
1.0,0.0,8.0,20.0,120.0,973820.3630250013
1.0,1.0,1.0,19.0,120.0,1574328.6923950003
1.0,2.0,6.0,11.0,120.0,1363500.551020001
1.0,3.0,6.0,18.0,133.0,1091291.4590700006
1.0,4.0,6.0,16.0,120.0,1163521.9637050007
1.0,5.0,3.0,5.0,147.0,1057900.6739600005
1.0,6.0,8.0,21.0,120.0,1270051.7074900013
1.0,7.0,4.0,5.0,174.0,1245292.3709050026
