样本内数据年份数,8.0
样本外净资产,2238604.9260950014
总收益率,1.2386049260950014
年复利,0.10594162736700885
最大回撤率,-0.35561101374571186
夏普率,0.43281104828098405
程序运行时间,2022-10-11 21:03:40
程序运行时长,1294.s
