样本内数据年份数,第iyear窗口,最佳短期EMA,最佳中期EMA,最佳长期EMA,样本内净资产
2.0,0.0,4.0,21.0,120.0,985503.1443750006
2.0,1.0,4.0,21.0,146.0,1440054.473215001
2.0,2.0,4.0,21.0,120.0,1817207.6993050014
2.0,3.0,4.0,21.0,126.0,1197887.2452750017
2.0,4.0,4.0,21.0,126.0,1186454.4499100011
2.0,5.0,4.0,21.0,120.0,1180043.8506550004
2.0,6.0,4.0,17.0,120.0,1254747.2131400008
2.0,7.0,5.0,10.0,120.0,1319613.522160002
