Date,netAsset,yearTotalRate
2006-01-04,1000000.0,
2006-12-29,1946422.3642299997,0.9645101078994074
2007-12-28,5651722.945755003,1.9036467365040846
2008-12-31,2180404.2444450054,-0.6142053909272566
2009-12-31,4202589.009365005,0.9274357129288757
2010-12-31,3872701.4444600074,-0.07849627079161914
2011-12-30,2904724.204460007,-0.24994884162442088
2012-12-31,2714598.716200009,-0.06545388645437433
2013-12-31,2614358.2448400096,-0.036926441746911176
2014-12-31,3833001.2623450104,0.46613466991765606
2015-12-31,3681820.651465011,-0.0394418369660301
2016-12-30,3390506.530005011,-0.07912230090406092
2017-12-29,4128585.250005011,0.21768980931557436
2018-12-28,3378563.0221350132,-0.18166567539548506
2019-12-31,4675443.616355014,0.3838556764291061
2020-12-31,6035372.857325015,0.2908663546305803
2021-12-31,5913462.450005015,-0.020199316629135655
