,real,predict,bestPastDays,bestMa,ratio
2014-01-02,1561.1,1539.9423031825222,2.0,9.0,0.023879568287478694
2014-01-03,1536.07,1515.0838430159001,,,
2014-01-06,1512.93,1559.4094599550644,,,
2014-01-07,1510.65,1551.3657768164169,,,
2014-01-08,1515.33,1577.8079590635275,,,
2014-01-09,1503.88,1552.7400332374857,,,
2014-01-10,1498.27,1528.5738717380175,,,
2014-01-13,1494.61,1508.9858137428682,,,
2014-01-14,1499.29,1506.2931597736106,,,
2014-01-15,1488.51,1523.4016763048144,,,
2014-01-16,1493.09,1516.7859798058503,,,
2014-01-17,1475.67,1504.5533911190767,,,
2014-01-20,1464.84,1500.6804863596528,,,
2014-01-21,1478.88,1498.1520411187269,,,
2014-01-22,1514.12,1478.8411419533243,,,
2014-01-23,1499.03,1494.6543425297607,,,
2014-01-24,1502.06,1475.7612683775938,,,
2014-01-27,1478.87,1461.721051064165,,,
2014-01-28,1487.8,1486.36655873638,,,
2014-01-29,1494.49,1526.7028250370417,,,
2014-01-30,1477.35,1499.2275778169512,,,
2014-02-07,1475.34,1509.4271888244425,,,
2014-02-10,1505.83,1477.9696552088794,,,
2014-02-11,1528.32,1487.7762524781745,,,
2014-02-12,1527.0,1493.38975223969,,,
2014-02-13,1528.02,1472.3993435207778,,,
2014-02-14,1534.24,1467.4245916638222,,,
2014-02-17,1538.1,1512.8217513380673,,,
2014-02-18,1508.54,1542.6510323210848,,,
2014-02-19,1533.4,1535.8482414836826,,,
2014-02-20,1520.14,1547.9698873250984,,,
2014-02-21,1505.33,1546.1754633656392,,,
2014-02-24,1468.06,1544.0145111020206,,,
2014-02-25,1440.89,1510.6491062387686,,,
2014-02-26,1444.2,1552.3991265627947,,,
2014-02-27,1452.46,1554.2405256511336,,,
2014-02-28,1464.32,1520.5600916848014,,,
2014-03-03,1462.69,1464.2784680728798,,,
2014-03-04,1464.28,1451.6515922059796,,,
2014-03-05,1448.33,1451.7476428862426,,,
2014-03-06,1459.51,1461.7482109969346,,,
