,real,predict,bestPastDays,bestMa,ratio
2014-06-26,1478.01,1467.3764168167097,,,
2014-06-27,1473.76,1476.603676918745,,,
2014-06-30,1482.41,1472.6350785792056,,,
2014-07-01,1481.66,1482.1660778914593,,,
2014-07-02,1484.84,1479.9652628984575,,,
2014-07-03,1489.55,1483.2498281203698,,,
2014-07-04,1492.46,1488.787280985905,,,
2014-07-07,1492.84,1491.0908811605702,,,
2014-07-08,1491.96,1491.530493096431,,,
2014-07-09,1475.14,1489.4681511333943,,,
2014-07-10,1471.17,1474.7728106737743,,,
2014-07-11,1468.54,1469.87452315704,,,
2014-07-14,1482.78,1468.333238830225,,,
2014-07-15,1484.66,1482.5809814339468,,,
2014-07-16,1483.18,1484.0994468132676,,,
2014-07-17,1473.67,1483.7638580563414,,,
2014-07-18,1478.76,1471.6424856357532,,,
2014-07-21,1479.84,1480.1352117788138,,,
2014-07-22,1495.93,1478.5402796654917,,,
2014-07-23,1506.76,1498.1920335456982,,,
2014-07-24,1541.9,1508.8854261573626,,,
2014-07-25,1557.02,1548.2240411709997,,,
2014-07-28,1609.48,1557.9760348031482,,,
2014-07-29,1611.85,1620.7110167516282,,,
2014-07-30,1601.38,1615.4315795453733,,,
2014-07-31,1621.85,1605.5883920310935,,,
2014-08-01,1607.97,1623.2773094493296,,,
2014-08-04,1644.63,1614.9446783272244,,,
2014-08-05,1632.41,1648.4803413720624,,,
2014-08-06,1619.01,1632.8063164827008,,,
2014-08-07,1593.42,1618.343949514186,,,
2014-08-08,1595.66,1595.7275911332401,,,
2014-08-11,1619.25,1594.754206954242,,,
2014-08-12,1607.91,1620.3649652248691,,,
2014-08-13,1610.14,1606.5326610728418,,,
2014-08-14,1596.84,1610.6469990586702,,,
2014-08-15,1612.0,1597.4182443560499,,,
2014-08-18,1613.13,1612.62494270787,,,
2014-08-19,1609.09,1613.7485874709698,,,
2014-08-20,1600.34,1607.8656020408848,,,
2014-08-21,1587.03,1598.4726852333747,,,
2014-08-22,1594.18,1586.1248748496043,,,
2014-08-25,1577.43,1593.483973427987,,,
2014-08-26,1573.39,1577.447476600611,,,
2014-08-27,1572.79,1573.3745150203683,,,
2014-08-28,1563.89,1571.0527384087368,,,
2014-08-29,1581.28,1564.2693683482028,,,
2014-09-01,1586.02,1580.514893950782,,,
2014-09-02,1607.5,1584.6050270775656,,,
2014-09-03,1624.03,1609.3939369783438,,,
2014-09-04,1637.29,1626.8412516684425,,,
2014-09-05,1656.24,1637.9715247630875,,,
2014-09-09,1645.11,1658.3266870083187,,,
2014-09-10,1629.99,1645.5530874185379,,,
2014-09-11,1622.81,1628.708688507103,,,
2014-09-12,1630.2,1627.4887932741176,,,
2014-09-15,1624.07,1629.4679406885145,,,
2014-09-16,1600.92,1622.887534308222,,,
2014-09-17,1604.92,1605.0902777041717,,,
2014-09-18,1609.87,1603.7701601591468,,,
2014-09-19,1619.58,1611.2788014659152,,,
2014-09-22,1583.89,1620.2187453484246,,,
2014-09-23,1595.64,1585.204007294312,,,
2014-09-24,1625.73,1595.3899684905048,,,
2014-09-25,1618.52,1631.1224755720139,,,
2014-09-26,1616.09,1620.4402271961958,,,
2014-09-29,1621.82,1614.7026346954658,,,
2014-09-30,1619.7,1622.6590555442438,,,
2014-10-08,1633.57,1619.3448593224625,,,
2014-10-09,1634.04,1633.851590682981,,,
2014-10-10,1621.71,1634.9259728236327,,,
2014-10-13,1605.99,1622.2149413220827,,,
2014-10-14,1600.3,1604.9945812493172,,,
2014-10-15,1612.77,1602.0118988353067,,,
2014-10-16,1608.74,1613.739318862283,,,
2014-10-17,1608.52,1615.551081581537,,,
2014-10-20,1612.4,1610.0675638283258,,,
2014-10-21,1600.84,1611.1687867879393,,,
2014-10-22,1597.13,1601.3461747520096,,,
2014-10-23,1586.56,1598.6785693188513,,,
2014-10-24,1583.42,1588.5836624986016,,,
2014-10-27,1559.91,1583.0652400361607,,,
2014-10-28,1585.74,1558.8421738262095,,,
2014-10-29,1608.4,1586.9665398961897,,,
2014-10-30,1619.1,1612.4521036069743,,,
2014-10-31,1657.29,1623.0150115887711,,,
2014-11-03,1651.05,1668.8554927910407,,,
2014-11-04,1645.62,1654.9059092965533,,,
2014-11-05,1637.63,1648.2567982285293,,,
2014-11-06,1635.96,1639.6920934905443,,,
2014-11-07,1640.32,1636.3292859214555,,,
2014-11-10,1689.02,1650.4811998260175,,,
2014-11-11,1710.88,1696.303936657719,,,
2014-11-12,1731.02,1731.0750828361759,,,
2014-11-13,1726.34,1737.568320089976,,,
2014-11-14,1728.81,1735.5580057127165,,,
2014-11-17,1708.1,1731.3450843092353,,,
2014-11-18,1679.42,1714.6024939435813,,,
2014-11-19,1671.65,1682.9702408029655,,,
2014-11-20,1676.6,1672.3876912847923,,,
2014-11-21,1714.71,1678.1368630224922,,,
2014-11-24,1758.1,1720.822526261506,,,
2014-11-25,1777.67,1772.997382064734,,,
2014-11-26,1820.49,1784.4255742938115,,,
2014-11-27,1853.0,1830.7330099248918,,,
2014-11-28,1914.44,1862.8548999793938,,,
2014-12-01,1920.38,1935.9301559517555,,,
2014-12-02,2021.54,1943.5500134499116,,,
2014-12-03,2037.58,2051.973502267111,,,
2014-12-04,2160.66,2072.4645205815914,,,
2014-12-05,2200.25,2189.014312291739,,,
2014-12-08,2298.85,2233.2577350307256,,,
2014-12-09,2182.69,2332.956989961127,,,
2014-12-10,2254.82,2246.3537660271622,,,
2014-12-11,2193.54,2274.5209870779063,,,
2014-12-12,2193.29,2218.4501560788767,,,
2014-12-15,2201.54,2212.970032613758,,,
2014-12-16,2299.28,2209.9114925812064,,,
2014-12-17,2383.95,2319.894595828696,,,
2014-12-18,2364.04,2410.700006847178,,,
2014-12-19,2390.28,2383.334122916778,,,
2014-12-22,2426.68,2405.4700271018473,,,
2014-12-23,2374.95,2460.6906941349134,,,
2014-12-24,2270.88,2400.6740724213196,,,
2014-12-25,2359.66,2286.9079234689298,,,
2014-12-26,2464.82,2370.7518372762042,,,
2014-12-29,2481.66,2487.8307362367013,,,
2014-12-30,2523.63,2506.181533994778,,,
2014-12-31,2581.57,2543.912359642607,,,
2015-01-05,2649.64,2599.0138697416837,,,
2015-01-06,2629.4,2673.9495828538024,,,
2015-01-07,2635.23,2656.7869572590585,,,
2015-01-08,2558.11,2651.1562789684863,,,
2015-01-09,2569.02,2572.7904918211957,,,
2015-01-12,2543.85,2607.7829928736874,,,
2015-01-13,2527.83,2556.0044337571467,,,
2015-01-14,2534.23,2534.399014266014,,,
2015-01-15,2632.89,2541.2596839596554,,,
2015-01-16,2653.03,2647.302923676988,,,
2015-01-19,2410.2,2669.2377390698225,,,
2015-01-20,2403.72,2433.25387450452,,,
2015-01-21,2542.32,2418.0235944724836,,,
2015-01-22,2544.31,2565.671198017814,,,
2015-01-23,2564.51,2552.0510961004716,,,
2015-01-26,2562.36,2583.1161976253943,,,
2015-01-27,2522.1,2563.8287209743944,,,
2015-01-28,2486.28,2530.7127230688966,,,
2015-01-29,2442.04,2495.6373948467854,,,
2015-01-30,2405.38,2445.421741656254,,,
2015-02-02,2332.53,2412.922139782593,,,
2015-02-03,2405.76,2341.495993254287,,,
2015-02-04,2372.46,2411.9964953577505,,,
2015-02-05,2348.92,2383.524490398199,,,
2015-02-06,2325.24,2365.2186410966365,,,
2015-02-09,2366.77,2332.6530690316154,,,
2015-02-10,2403.55,2377.7417591345566,,,
2015-02-11,2415.13,2408.924816187552,,,
2015-02-12,2416.45,2415.2568969727554,,,
2015-02-13,2427.47,2416.3798770572866,,,
