,real,predict,bestPastDays,bestMa,ratio
2014-01-02,1561.1,1549.3636876388068,2.0,6.0,0.014580851213138117
2014-01-03,1536.07,1580.1446578974292,,,
2014-01-06,1512.93,1557.0649438362104,,,
2014-01-07,1510.65,1534.9370895134584,,,
2014-01-08,1515.33,1505.2248776640147,,,
2014-01-09,1503.88,1500.7915199026,,,
2014-01-10,1498.27,1512.6399079677344,,,
2014-01-13,1494.61,1512.3532466827473,,,
2014-01-14,1499.29,1505.3514304774108,,,
2014-01-15,1488.51,1498.686074443585,,,
2014-01-16,1493.09,1499.1344584712954,,,
2014-01-17,1475.67,1482.6045649611235,,,
2014-01-20,1464.84,1494.8728487391004,,,
2014-01-21,1478.88,1476.63412608906,,,
2014-01-22,1514.12,1461.8945355960097,,,
2014-01-23,1499.03,1481.0388456220667,,,
2014-01-24,1502.06,1520.3879916191324,,,
2014-01-27,1478.87,1500.403171292562,,,
2014-01-28,1487.8,1512.739545635546,,,
2014-01-29,1494.49,1480.8032202340912,,,
2014-01-30,1477.35,1482.0812827405246,,,
2014-02-07,1475.34,1489.2404979647229,,,
2014-02-10,1505.83,1476.8332937660844,,,
2014-02-11,1528.32,1469.5209494233382,,,
2014-02-12,1527.0,1504.851580017277,,,
2014-02-13,1528.02,1535.5077738087468,,,
2014-02-14,1534.24,1534.2065584262857,,,
2014-02-17,1538.1,1546.6892110387082,,,
2014-02-18,1508.54,1540.2023856824424,,,
2014-02-19,1533.4,1537.2432877513181,,,
2014-02-20,1520.14,1510.0168932740573,,,
2014-02-21,1505.33,1540.6720714449348,,,
2014-02-24,1468.06,1535.920693345768,,,
2014-02-25,1440.89,1514.6094488400533,,,
2014-02-26,1444.2,1465.2978465528083,,,
2014-02-27,1452.46,1442.5674889932018,,,
2014-02-28,1464.32,1440.534669265155,,,
2014-03-03,1462.69,1452.2827766824248,,,
2014-03-04,1464.28,1464.5294151425414,,,
2014-03-05,1448.33,1464.5952364105167,,,
2014-03-06,1459.51,1465.1031553279606,,,
2014-03-07,1455.58,1446.654200455541,,,
2014-03-10,1408.87,1460.1211008867144,,,
2014-03-11,1412.73,1459.2720851443034,,,
2014-03-12,1418.7,1417.6056073970515,,,
2014-03-13,1437.39,1414.4949951024953,,,
2014-03-14,1426.4,1421.967430081271,,,
2014-03-17,1434.16,1446.5564645558825,,,
2014-03-18,1427.63,1434.1545312145922,,,
2014-03-19,1418.71,1434.7789405887277,,,
2014-03-20,1406.92,1425.3066319856475,,,
2014-03-21,1464.08,1412.5273708678646,,,
2014-03-24,1477.53,1410.051196350356,,,
2014-03-25,1470.12,1483.2000969289393,,,
2014-03-26,1467.08,1486.0800185929595,,,
2014-03-27,1464.53,1481.5202412656477,,,
2014-03-28,1472.05,1474.391457070217,,,
2014-03-31,1465.78,1473.4057428321648,,,
2014-04-01,1473.14,1477.6387413923082,,,
2014-04-02,1491.3,1468.4258706310588,,,
2014-04-03,1477.49,1475.9407597307534,,,
2014-04-04,1490.33,1494.6970121303566,,,
2014-04-08,1534.75,1485.2468768739477,,,
2014-04-09,1530.88,1494.0122384232886,,,
2014-04-10,1570.4,1546.4609327790608,,,
2014-04-11,1565.31,1534.4733684591556,,,
2014-04-14,1557.7,1589.0693206583214,,,
2014-04-15,1523.22,1575.722437190192,,,
2014-04-16,1527.05,1558.1642580917378,,,
2014-04-17,1520.56,1521.1356305766978,,,
2014-04-18,1521.28,1528.3493956043046,,,
2014-04-21,1493.76,1516.8697834733039,,,
2014-04-22,1509.55,1517.8914878602423,,,
2014-04-23,1507.04,1499.5385965761607,,,
2014-04-24,1510.29,1516.4553308003658,,,
2014-04-25,1501.05,1504.5903122796105,,,
2014-04-28,1483.78,1517.406072434153,,,
2014-04-29,1496.01,1511.9868198846827,,,
2014-04-30,1494.81,1492.1936204693081,,,
2014-05-05,1487.53,1494.228422321027,,,
2014-05-06,1485.25,1490.267425183957,,,
2014-05-07,1476.18,1482.8681524803972,,,
2014-05-08,1478.72,1485.780438993352,,,
2014-05-09,1480.74,1479.8325987645064,,,
2014-05-12,1508.39,1487.7228359895687,,,
2014-05-13,1503.52,1486.3187008175687,,,
2014-05-14,1500.82,1511.7445435813156,,,
2014-05-15,1488.77,1503.5867202448317,,,
2014-05-16,1487.74,1504.2810565362724,,,
2014-05-19,1459.21,1491.75533363198,,,
2014-05-20,1460.82,1484.8067034930223,,,
2014-05-21,1474.14,1453.8371687816846,,,
2014-05-22,1471.55,1457.371074579695,,,
2014-05-23,1484.38,1468.5893149927178,,,
2014-05-26,1486.05,1478.0395781412992,,,
2014-05-27,1479.73,1491.8484603193947,,,
2014-05-28,1491.76,1486.7809250883543,,,
2014-05-29,1484.31,1480.5142852368808,,,
2014-05-30,1482.1,1490.4608193492145,,,
2014-06-03,1477.52,1484.0522565793763,,,
2014-06-04,1466.39,1483.5289018192875,,,
2014-06-05,1484.24,1480.6380164717884,,,
2014-06-06,1472.27,1466.4713948345152,,,
2014-06-09,1475.35,1478.953263709305,,,
2014-06-10,1493.53,1466.9228301665228,,,
2014-06-11,1488.76,1480.2615283049429,,,
2014-06-12,1483.86,1497.3395510284727,,,
2014-06-13,1502.96,1484.7430065020392,,,
2014-06-16,1518.7,1482.1922101571363,,,
2014-06-17,1501.94,1508.6990209186536,,,
2014-06-18,1495.43,1522.0341238620092,,,
2014-06-19,1478.04,1500.6788629379648,,,
2014-06-20,1484.48,1496.3621825593666,,,
2014-06-23,1475.76,1479.5741155893359,,,
2014-06-24,1480.13,1479.9597099238565,,,
2014-06-25,1469.95,1473.538492462276,,,
2014-06-26,1478.01,1481.0871718439134,,,
2014-06-27,1473.76,1465.7761098474582,,,
2014-06-30,1482.41,1477.1790528819745,,,
2014-07-01,1481.66,1473.2068101608104,,,
2014-07-02,1484.84,1484.5266254405915,,,
2014-07-03,1489.55,1481.4507422377599,,,
2014-07-04,1492.46,1483.0008525907742,,,
2014-07-07,1492.84,1486.9750514634907,,,
2014-07-08,1491.96,1491.8298779948846,,,
2014-07-09,1475.14,1492.7540522385234,,,
2014-07-10,1471.17,1488.2973833357541,,,
2014-07-11,1468.54,1473.8838692225713,,,
2014-07-14,1482.78,1471.0061655688312,,,
2014-07-15,1484.66,1467.905999698272,,,
2014-07-16,1483.18,1481.3521803484434,,,
2014-07-17,1473.67,1483.5164171488661,,,
2014-07-18,1478.76,1488.2676926762326,,,
2014-07-21,1479.84,1472.6867389486451,,,
2014-07-22,1495.93,1479.2574135856166,,,
2014-07-23,1506.76,1478.058801815329,,,
2014-07-24,1541.9,1499.5963197804504,,,
2014-07-25,1557.02,1513.1253590930542,,,
2014-07-28,1609.48,1555.6259788991015,,,
2014-07-29,1611.85,1560.5371650176937,,,
2014-07-30,1601.38,1629.8018811815175,,,
2014-07-31,1621.85,1623.1143373248333,,,
2014-08-01,1607.97,1614.8080627424617,,,
2014-08-04,1644.63,1625.0517782622153,,,
2014-08-05,1632.41,1620.1738501189916,,,
2014-08-06,1619.01,1654.5318869178805,,,
2014-08-07,1593.42,1629.5135890116485,,,
2014-08-08,1595.66,1615.2375894942645,,,
2014-08-11,1619.25,1592.4491221628084,,,
2014-08-12,1607.91,1595.0171035728924,,,
2014-08-13,1610.14,1614.9390824451295,,,
2014-08-14,1596.84,1606.6666586881463,,,
2014-08-15,1612.0,1611.4867205047644,,,
2014-08-18,1613.13,1600.385730233995,,,
2014-08-19,1609.09,1613.4987127639895,,,
2014-08-20,1600.34,1613.161998201777,,,
2014-08-21,1587.03,1609.6778428672492,,,
2014-08-22,1594.18,1594.7454959204981,,,
2014-08-25,1577.43,1583.011739619851,,,
2014-08-26,1573.39,1588.028841572036,,,
2014-08-27,1572.79,1577.1485030822616,,,
2014-08-28,1563.89,1575.94710887214,,,
2014-08-29,1581.28,1572.7793687533624,,,
2014-09-01,1586.02,1568.4606741558184,,,
2014-09-02,1607.5,1582.8483494114155,,,
2014-09-03,1624.03,1583.400170788805,,,
2014-09-04,1637.29,1608.74604225182,,,
2014-09-05,1656.24,1628.7851626567183,,,
2014-09-09,1645.11,1641.6363638978396,,,
2014-09-10,1629.99,1659.9668340460275,,,
2014-09-11,1622.81,1648.232126154098,,,
2014-09-12,1630.2,1628.8570052513444,,,
2014-09-15,1624.07,1630.9812355903741,,,
2014-09-16,1600.92,1632.0614396954732,,,
2014-09-17,1604.92,1615.8299877257562,,,
2014-09-18,1609.87,1606.771002133716,,,
2014-09-19,1619.58,1605.2862426995118,,,
2014-09-22,1583.89,1609.1137408749426,,,
2014-09-23,1595.64,1619.4701591970324,,,
2014-09-24,1625.73,1587.1144380374883,,,
2014-09-25,1618.52,1598.364930747956,,,
2014-09-26,1616.09,1630.063405603308,,,
2014-09-29,1621.82,1620.6793212076327,,,
2014-09-30,1619.7,1616.3454314520802,,,
2014-10-08,1633.57,1624.4872271482755,,,
2014-10-09,1634.04,1617.652346640726,,,
2014-10-10,1621.71,1629.7240302577172,,,
2014-10-13,1605.99,1632.274494931829,,,
2014-10-14,1600.3,1622.1144724779115,,,
2014-10-15,1612.77,1600.547829483141,,,
2014-10-16,1608.74,1598.5009078293137,,,
2014-10-17,1608.52,1612.898724727107,,,
2014-10-20,1612.4,1620.2615546382763,,,
2014-10-21,1600.84,1616.7635842529453,,,
2014-10-22,1597.13,1608.7965451480252,,,
2014-10-23,1586.56,1602.5645022731744,,,
2014-10-24,1583.42,1603.8513451023937,,,
2014-10-27,1559.91,1596.3160631384374,,,
2014-10-28,1585.74,1586.6036455383792,,,
2014-10-29,1608.4,1557.8054043118752,,,
2014-10-30,1619.1,1585.4741182645216,,,
2014-10-31,1657.29,1614.2456041667294,,,
2014-11-03,1651.05,1629.3010346189812,,,
2014-11-04,1645.62,1679.61649819586,,,
2014-11-05,1637.63,1663.4575203297472,,,
2014-11-06,1635.96,1650.9605791955441,,,
2014-11-07,1640.32,1638.206098089047,,,
2014-11-10,1689.02,1632.4023096344667,,,
2014-11-11,1710.88,1656.6674246231282,,,
2014-11-12,1731.02,1708.8104893237908,,,
2014-11-13,1726.34,1747.5073430227294,,,
2014-11-14,1728.81,1749.4891241116284,,,
2014-11-17,1708.1,1744.3639754714734,,,
2014-11-18,1679.42,1735.1604544623235,,,
2014-11-19,1671.65,1712.773977076353,,,
2014-11-20,1676.6,1689.9936779940983,,,
2014-11-21,1714.71,1670.679917803632,,,
2014-11-24,1758.1,1676.6276165541017,,,
2014-11-25,1777.67,1719.6898169351282,,,
2014-11-26,1820.49,1783.9729908943275,,,
2014-11-27,1853.0,1796.0754258678203,,,
2014-11-28,1914.44,1840.4344071135702,,,
2014-12-01,1920.38,1869.8869137778404,,,
2014-12-02,2021.54,1941.4846789292028,,,
2014-12-03,2037.58,1961.664919470362,,,
2014-12-04,2160.66,2080.9976171806975,,,
2014-12-05,2200.25,2103.9466759263946,,,
2014-12-08,2298.85,2214.9177283679483,,,
2014-12-09,2182.69,2241.451106248429,,,
2014-12-10,2254.82,2342.2747958853965,,,
2014-12-11,2193.54,2294.1773786154504,,,
2014-12-12,2193.29,2303.6622924706494,,,
2014-12-15,2201.54,2194.988964778773,,,
2014-12-16,2299.28,2245.780814090925,,,
2014-12-17,2383.95,2214.412679006695,,,
2014-12-18,2364.04,2314.6762835349837,,,
2014-12-19,2390.28,2413.50929349622,,,
2014-12-22,2426.68,2404.3196957828554,,,
2014-12-23,2374.95,2413.713366143016,,,
2014-12-24,2270.88,2468.4441477744836,,,
2014-12-25,2359.66,2427.6203604515927,,,
2014-12-26,2464.82,2308.693888990934,,,
2014-12-29,2481.66,2360.525562951246,,,
2014-12-30,2523.63,2469.922406769229,,,
2014-12-31,2581.57,2521.819661095449,,,
2015-01-05,2649.64,2576.78884053193,,,
2015-01-06,2629.4,2620.905705639808,,,
2015-01-07,2635.23,2680.146644254726,,,
2015-01-08,2558.11,2679.7217282922584,,,
2015-01-09,2569.02,2681.323234343691,,,
2015-01-12,2543.85,2590.1315197799167,,,
2015-01-13,2527.83,2657.3309902106375,,,
2015-01-14,2534.23,2597.5831461515145,,,
2015-01-15,2632.89,2537.574668961487,,,
2015-01-16,2653.03,2556.413721476698,,,
2015-01-19,2410.2,2656.326082702276,,,
2015-01-20,2403.72,2677.6602786369494,,,
2015-01-21,2542.32,2462.3591500103876,,,
2015-01-22,2544.31,2432.841707378956,,,
2015-01-23,2564.51,2555.4733321359636,,,
2015-01-26,2562.36,2535.1928148447632,,,
2015-01-27,2522.1,2608.777670956377,,,
2015-01-28,2486.28,2599.8802520914423,,,
2015-01-29,2442.04,2513.285893764185,,,
2015-01-30,2405.38,2480.835663818645,,,
2015-02-02,2332.53,2451.9812576239747,,,
2015-02-03,2405.76,2413.3685883789904,,,
2015-02-04,2372.46,2357.8755503395114,,,
2015-02-05,2348.92,2419.6992713120826,,,
2015-02-06,2325.24,2391.05188006139,,,
2015-02-09,2366.77,2408.981823456299,,,
2015-02-10,2403.55,2357.777342728571,,,
2015-02-11,2415.13,2391.1485804126814,,,
2015-02-12,2416.45,2410.4817468934343,,,
2015-02-13,2427.47,2419.926090951655,,,
2015-02-16,2431.21,2419.0518172521834,,,
2015-02-17,2445.26,2447.4160816910526,,,
2015-02-25,2407.46,2440.7799373330145,,,
2015-02-26,2478.06,2453.693656618272,,,
2015-02-27,2474.6,2420.7133026529573,,,
2015-03-02,2479.24,2487.612845741185,,,
2015-03-03,2396.8,2480.4939529901303,,,
2015-03-04,2397.99,2496.405616339126,,,
2015-03-05,2366.9,2409.219739389702,,,
2015-03-06,2371.62,2401.3995699942443,,,
2015-03-09,2429.87,2352.4445255865658,,,
2015-03-10,2395.43,2372.4105656100346,,,
2015-03-11,2408.5,2451.7493131909123,,,
2015-03-12,2485.11,2400.8733623172748,,,
2015-03-13,2495.28,2439.646346557116,,,
2015-03-16,2550.86,2532.294587594157,,,
2015-03-17,2583.2,2524.8059945261984,,,
2015-03-18,2649.64,2571.1121798823724,,,
2015-03-19,2630.24,2595.5940566787885,,,
2015-03-20,2680.68,2672.670382505111,,,
2015-03-23,2720.67,2640.105189380907,,,
2015-03-24,2683.65,2711.5371761103606,,,
2015-03-25,2649.16,2739.1455628908243,,,
2015-03-26,2687.76,2696.1020146863157,,,
2015-03-27,2689.24,2653.6270073176893,,,
2015-03-30,2784.46,2711.238365903716,,,
2015-03-31,2754.66,2700.300305064301,,,
2015-04-01,2799.45,2807.364215930972,,,
2015-04-02,2781.64,2805.5954703032276,,,
2015-04-03,2817.18,2842.3690648328165,,,
2015-04-07,2889.45,2784.7648361230886,,,
2015-04-08,2952.08,2814.3804243738787,,,
2015-04-09,2931.77,2889.6739677891383,,,
2015-04-10,2986.61,2968.758424722653,,,
2015-04-13,3041.12,2972.8197715482347,,,
2015-04-14,3052.41,3023.8828440720254,,,
2015-04-15,3053.3,3050.7434693792784,,,
2015-04-16,3183.3,3064.092632604047,,,
2015-04-17,3235.33,3092.840258662245,,,
2015-04-20,3164.46,3227.702169248726,,,
2015-04-21,3214.36,3252.0153908169395,,,
2015-04-22,3299.22,3231.189043129216,,,
2015-04-23,3273.4,3242.947341238023,,,
2015-04-24,3223.96,3297.4639196429252,,,
2015-04-27,3308.45,3268.674641708235,,,
2015-04-28,3282.33,3222.2008155026706,,,
2015-04-29,3283.28,3314.6627823498757,,,
2015-04-30,3250.49,3327.89687997485,,,
2015-05-04,3272.0,3310.5117342295416,,,
2015-05-05,3148.81,3272.1895125770216,,,
2015-05-06,3139.02,3273.3445847618414,,,
2015-05-07,3094.88,3142.983322271113,,,
2015-05-08,3110.45,3182.265010373355,,,
2015-05-11,3169.13,3123.6872680617607,,,
2015-05-12,3188.31,3105.6930853528256,,,
2015-05-13,3141.3,3146.7262890181164,,,
2015-05-14,3128.57,3186.654354277457,,,
2015-05-15,3060.41,3144.7041894477825,,,
2015-05-18,2998.39,3132.505163775345,,,
2015-05-19,3116.09,3057.61908971098,,,
2015-05-20,3122.85,2993.037707178096,,,
2015-05-21,3150.9,3129.1479867263206,,,
2015-05-22,3248.86,3152.7027394478855,,,
2015-05-25,3349.95,3177.2274243578386,,,
2015-05-26,3386.59,3266.1117765587833,,,
2015-05-27,3344.74,3372.0466168090206,,,
2015-05-28,3124.62,3379.786775600699,,,
2015-05-29,3111.33,3350.1729407487182,,,
2015-06-01,3244.32,3171.887242242362,,,
2015-06-02,3258.31,3109.4710719085624,,,
2015-06-03,3238.43,3210.893096921861,,,
2015-06-04,3299.03,3236.26290872142,,,
2015-06-05,3303.99,3238.9304428791393,,,
2015-06-08,3458.71,3288.0910431021857,,,
2015-06-09,3414.0,3264.892448505396,,,
2015-06-10,3370.38,3469.9913978940376,,,
2015-06-11,3347.12,3432.144677457868,,,
2015-06-12,3350.25,3395.8584321937924,,,
2015-06-15,3262.48,3349.2261988120845,,,
2015-06-16,3179.65,3337.1745732266218,,,
2015-06-17,3211.71,3265.5988176311257,,,
2015-06-18,3068.49,3211.6255531142133,,,
2015-06-19,2903.06,3208.846483610322,,,
2015-06-23,3003.16,3063.1615630839233,,,
2015-06-24,3045.24,2941.7161141733313,,,
2015-06-25,2943.99,3002.196826292933,,,
2015-06-26,2736.7,2998.370470523997,,,
2015-06-29,2678.37,2963.4756385625933,,,
2015-06-30,2870.03,2814.6114349500394,,,
2015-07-01,2736.85,2682.3162083491457,,,
2015-07-02,2714.25,2811.314549238509,,,
2015-07-03,2582.27,2732.532944812625,,,
2015-07-06,2750.0,2759.514520154295,,,
2015-07-07,2812.45,2602.4572881902154,,,
2015-07-08,2608.98,2758.015822133551,,,
2015-07-09,2781.08,2790.883713159735,,,
2015-07-10,2898.41,2670.33003677023,,,
2015-07-13,2869.05,2843.7042631111412,,,
2015-07-14,2763.07,2947.6337692193542,,,
2015-07-15,2757.95,2926.7864668131697,,,
2015-07-16,2742.85,2794.221485124543,,,
2015-07-17,2807.06,2752.6192916266905,,,
2015-07-20,2783.76,2696.9724666636434,,,
