,real,predict,ratio
2014-01-02,1561.1,1570.2961310549028,0.01015291201769121
2014-01-03,1536.07,1556.1958293907935,
2014-01-06,1512.93,1531.7725609768966,
2014-01-07,1510.65,1508.9138455152975,
2014-01-08,1515.33,1498.0061775988602,
2014-01-09,1503.88,1512.5726302939067,
2014-01-10,1498.27,1502.803953843933,
2014-01-13,1494.61,1500.1754504926255,
2014-01-14,1499.29,1493.8560055990401,
2014-01-15,1488.51,1497.9584933694834,
2014-01-16,1493.09,1482.257035585899,
2014-01-17,1475.67,1489.1999455476503,
2014-01-20,1464.84,1471.8866863390074,
2014-01-21,1478.88,1458.5431952125866,
2014-01-22,1514.12,1476.790555051743,
2014-01-23,1499.03,1518.0125881040033,
2014-01-24,1502.06,1494.580024215302,
2014-01-27,1478.87,1505.399288949763,
2014-01-28,1487.8,1480.469482005402,
2014-01-29,1494.49,1482.576466871941,
2014-01-30,1477.35,1489.99164905347,
2014-02-07,1475.34,1475.0308965771058,
2014-02-10,1505.83,1472.3578528024366,
2014-02-11,1528.32,1502.8506759998056,
2014-02-12,1527.0,1530.2692962890656,
2014-02-13,1528.02,1526.3311996315952,
2014-02-14,1534.24,1535.639902248731,
2014-02-17,1538.1,1534.2898110247074,
2014-02-18,1508.54,1543.0591828090041,
2014-02-19,1533.4,1506.6137765235567,
2014-02-20,1520.14,1540.1050199867816,
2014-02-21,1505.33,1525.99384103229,
2014-02-24,1468.06,1509.2110729145961,
2014-02-25,1440.89,1472.8122872136569,
2014-02-26,1444.2,1442.5474202011706,
2014-02-27,1452.46,1443.5836523442545,
2014-02-28,1464.32,1453.2113181808706,
2014-03-03,1462.69,1459.4288874541867,
2014-03-04,1464.28,1460.5581883507127,
2014-03-05,1448.33,1457.8257881675008,
2014-03-06,1459.51,1442.7824976704628,
2014-03-07,1455.58,1456.9628401985378,
2014-03-10,1408.87,1455.0001503058936,
2014-03-11,1412.73,1415.2494516580102,
2014-03-12,1418.7,1414.0015522774158,
2014-03-13,1437.39,1418.9665855640578,
2014-03-14,1426.4,1439.863772478891,
2014-03-17,1434.16,1426.878784148904,
2014-03-18,1427.63,1434.6060867941967,
2014-03-19,1418.71,1425.4941346109256,
2014-03-20,1406.92,1417.4753592008792,
2014-03-21,1464.08,1406.997602437731,
2014-03-24,1477.53,1476.8349708272424,
2014-03-25,1470.12,1479.9276068535817,
2014-03-26,1467.08,1464.5624378225368,
2014-03-27,1464.53,1468.032624449886,
2014-03-28,1472.05,1466.675589152769,
2014-03-31,1465.78,1479.713933641406,
2014-04-01,1473.14,1467.7921437242878,
2014-04-02,1491.3,1471.754415996783,
2014-04-03,1477.49,1496.1347945535597,
2014-04-04,1490.33,1480.5115353084645,
2014-04-08,1534.75,1489.1065399209147,
2014-04-09,1530.88,1547.6437495290797,
2014-04-10,1570.4,1528.278949593201,
2014-04-11,1565.31,1587.193768275942,
2014-04-14,1557.7,1565.891001262926,
2014-04-15,1523.22,1555.7356926538241,
2014-04-16,1527.05,1523.0294304494446,
2014-04-17,1520.56,1525.8414927688093,
2014-04-18,1521.28,1522.9691759899902,
2014-04-21,1493.76,1520.2263801506665,
2014-04-22,1509.55,1496.3409055747663,
2014-04-23,1507.04,1513.9014394986732,
2014-04-24,1510.29,1506.2332073328341,
2014-04-25,1501.05,1514.802907983333,
2014-04-28,1483.78,1510.4635775343497,
2014-04-29,1496.01,1486.6708244601127,
2014-04-30,1494.81,1501.3650458899006,
2014-05-05,1487.53,1493.6289973942482,
2014-05-06,1485.25,1486.3615240417269,
2014-05-07,1476.18,1484.0424438217237,
2014-05-08,1478.72,1477.572666191881,
2014-05-09,1480.74,1480.804240710292,
2014-05-12,1508.39,1482.3829222195375,
2014-05-13,1503.52,1514.4634945893922,
2014-05-14,1500.82,1501.811402037017,
2014-05-15,1488.77,1503.7430872051277,
2014-05-16,1487.74,1490.392898835627,
2014-05-19,1459.21,1487.6623047581536,
2014-05-20,1460.82,1458.813450229506,
2014-05-21,1474.14,1457.10261991203,
2014-05-22,1471.55,1470.5338858683776,
2014-05-23,1484.38,1473.5701478811648,
2014-05-26,1486.05,1484.0924031584552,
2014-05-27,1479.73,1484.8327791687407,
2014-05-28,1491.76,1475.4119659830685,
2014-05-29,1484.31,1493.3661928692597,
2014-05-30,1482.1,1481.996104016337,
2014-06-03,1477.52,1483.748377989306,
2014-06-04,1466.39,1479.9442627248939,
2014-06-05,1484.24,1468.2500443767854,
2014-06-06,1472.27,1481.5335315167058,
2014-06-09,1475.35,1470.295202777729,
2014-06-10,1493.53,1474.6081113123691,
2014-06-11,1488.76,1497.6869593319705,
2014-06-12,1483.86,1481.8030341142914,
2014-06-13,1502.96,1482.6987414451057,
2014-06-16,1518.7,1506.771623524761,
2014-06-17,1501.94,1519.1664252731923,
2014-06-18,1495.43,1497.0915743876556,
2014-06-19,1478.04,1494.8197614778603,
2014-06-20,1484.48,1478.9348895170956,
2014-06-23,1475.76,1482.8818315547528,
2014-06-24,1480.13,1475.757496507817,
2014-06-25,1469.95,1480.0005161911608,
2014-06-26,1478.01,1465.438907455734,
2014-06-27,1473.76,1473.4150619276927,
2014-06-30,1482.41,1472.697561654712,
2014-07-01,1481.66,1482.5902401911571,
2014-07-02,1484.84,1481.1467623569088,
2014-07-03,1489.55,1484.3325002445856,
2014-07-04,1492.46,1489.2792210854186,
2014-07-07,1492.84,1489.3897951285555,
2014-07-08,1491.96,1490.3530235783994,
2014-07-09,1475.14,1487.9893732734356,
2014-07-10,1471.17,1472.9696043838023,
2014-07-11,1468.54,1470.0667087694226,
2014-07-14,1482.78,1467.269595753038,
2014-07-15,1484.66,1481.7071887637712,
2014-07-16,1483.18,1480.5236555121126,
2014-07-17,1473.67,1482.4759934488413,
2014-07-18,1478.76,1471.6940726667465,
2014-07-21,1479.84,1475.45439583344,
2014-07-22,1495.93,1476.4427688572628,
2014-07-23,1506.76,1497.0709044634284,
2014-07-24,1541.9,1506.8171134564698,
2014-07-25,1557.02,1548.2947891886486,
2014-07-28,1609.48,1554.1801619371704,
2014-07-29,1611.85,1620.587469000564,
2014-07-30,1601.38,1609.11165443559,
2014-07-31,1621.85,1606.5094884274722,
2014-08-01,1607.97,1623.0609386452034,
2014-08-04,1644.63,1615.2387557459342,
2014-08-05,1632.41,1654.9740253373855,
2014-08-06,1619.01,1629.670127793038,
2014-08-07,1593.42,1614.5499674602177,
2014-08-08,1595.66,1594.6475957346097,
2014-08-11,1619.25,1591.9453414305303,
2014-08-12,1607.91,1617.596511542679,
2014-08-13,1610.14,1605.0707458590473,
2014-08-14,1596.84,1611.5615948990155,
2014-08-15,1612.0,1595.2488702662522,
2014-08-18,1613.13,1612.425662382173,
2014-08-19,1609.09,1612.6559039303768,
2014-08-20,1600.34,1610.2068400313096,
2014-08-21,1587.03,1596.3081881283022,
2014-08-22,1594.18,1586.239057954886,
2014-08-25,1577.43,1588.8613239777696,
2014-08-26,1573.39,1576.9867113633697,
2014-08-27,1572.79,1572.1544352972114,
2014-08-28,1563.89,1571.3931175735106,
2014-08-29,1581.28,1567.2900156662965,
2014-09-01,1586.02,1586.245141208255,
2014-09-02,1607.5,1585.5644111437746,
2014-09-03,1624.03,1610.4655419428725,
2014-09-04,1637.29,1623.4722807067524,
2014-09-05,1656.24,1634.5855589536268,
2014-09-09,1645.11,1654.393037429471,
2014-09-10,1629.99,1639.4419139908846,
2014-09-11,1622.81,1625.473623785179,
2014-09-12,1630.2,1623.3610038792326,
2014-09-15,1624.07,1631.3558973946265,
2014-09-16,1600.92,1618.7805557216236,
2014-09-17,1604.92,1601.512309971726,
2014-09-18,1609.87,1596.6323702605148,
2014-09-19,1619.58,1604.0593071004084,
2014-09-22,1583.89,1617.6296428466735,
2014-09-23,1595.64,1586.1190089945692,
2014-09-24,1625.73,1593.063740910516,
2014-09-25,1618.52,1628.7397823995504,
2014-09-26,1616.09,1615.3719567971057,
2014-09-29,1621.82,1609.051927406896,
2014-09-30,1619.7,1622.9492267530813,
2014-10-08,1633.57,1614.29649169746,
2014-10-09,1634.04,1632.0927618672197,
2014-10-10,1621.71,1626.1936222083136,
2014-10-13,1605.99,1617.7833219804468,
2014-10-14,1600.3,1601.0070817489088,
2014-10-15,1612.77,1591.5729105057214,
2014-10-16,1608.74,1610.330499553921,
2014-10-17,1608.52,1613.221642251134,
2014-10-20,1612.4,1611.3225814362715,
2014-10-21,1600.84,1604.065847350194,
2014-10-22,1597.13,1595.3950079103095,
2014-10-23,1586.56,1600.3599496494103,
2014-10-24,1583.42,1592.1501132936205,
2014-10-27,1559.91,1582.652202813475,
2014-10-28,1585.74,1556.9266322116416,
2014-10-29,1608.4,1582.3423912727908,
2014-10-30,1619.1,1608.650787742612,
2014-10-31,1657.29,1622.5562884711353,
2014-11-03,1651.05,1672.0927963098206,
2014-11-04,1645.62,1646.7402366308463,
2014-11-05,1637.63,1642.5679953729828,
2014-11-06,1635.96,1632.8657286343519,
2014-11-07,1640.32,1631.3227900769753,
2014-11-10,1689.02,1646.7993434671039,
2014-11-11,1710.88,1703.5104525143263,
2014-11-12,1731.02,1733.8573141229374,
2014-11-13,1726.34,1728.548262191327,
2014-11-14,1728.81,1732.233381546565,
2014-11-17,1708.1,1714.6022620872939,
2014-11-18,1679.42,1719.3128056988671,
2014-11-19,1671.65,1677.003139960013,
2014-11-20,1676.6,1678.0279305251051,
2014-11-21,1714.71,1678.2355871046823,
2014-11-24,1758.1,1717.5532311832817,
2014-11-25,1777.67,1774.3354432464382,
2014-11-26,1820.49,1775.7548644073238,
2014-11-27,1853.0,1831.5915370735956,
2014-11-28,1914.44,1851.4539554893022,
2014-12-01,1920.38,1934.2037320898821,
2014-12-02,2021.54,1929.625288074109,
2014-12-03,2037.58,2041.1778314327917,
2014-12-04,2160.66,2072.009759356496,
2014-12-05,2200.25,2182.7653425798326,
2014-12-08,2298.85,2237.4983075406717,
2014-12-09,2182.69,2296.5528917352385,
2014-12-10,2254.82,2257.8666818959264,
2014-12-11,2193.54,2272.4484283356087,
2014-12-12,2193.29,2177.552765958928,
2014-12-15,2201.54,2212.682629168725,
2014-12-16,2299.28,2225.443406055918,
2014-12-17,2383.95,2304.1270266285874,
2014-12-18,2364.04,2406.1032387395417,
2014-12-19,2390.28,2360.870320824807,
2014-12-22,2426.68,2400.0207210171156,
2014-12-23,2374.95,2438.178779039208,
2014-12-24,2270.88,2385.325774250048,
2014-12-25,2359.66,2304.815684799224,
2014-12-26,2464.82,2347.8284585480415,
2014-12-29,2481.66,2483.337239505873,
2014-12-30,2523.63,2519.306674931312,
2014-12-31,2581.57,2532.5184992805034,
2015-01-05,2649.64,2622.462122674938,
2015-01-06,2629.4,2678.7615252039473,
2015-01-07,2635.23,2651.3767653860486,
2015-01-08,2558.11,2657.95782834641,
2015-01-09,2569.02,2581.69451208625,
2015-01-12,2543.85,2623.6327083754527,
2015-01-13,2527.83,2596.302147949846,
2015-01-14,2534.23,2544.0566840704596,
2015-01-15,2632.89,2561.4236227091797,
2015-01-16,2653.03,2660.503445755271,
2015-01-19,2410.2,2666.368581425723,
2015-01-20,2403.72,2414.002922813249,
2015-01-21,2542.32,2425.721629385421,
2015-01-22,2544.31,2500.62383308376,
2015-01-23,2564.51,2502.5963719840693,
2015-01-26,2562.36,2586.9159418092045,
2015-01-27,2522.1,2570.3260105862637,
2015-01-28,2486.28,2531.836646001748,
2015-01-29,2442.04,2467.0399830316264,
2015-01-30,2405.38,2452.6602406060056,
2015-02-02,2332.53,2401.5853617262605,
2015-02-03,2405.76,2325.2448944862494,
2015-02-04,2372.46,2419.723864479269,
2015-02-05,2348.92,2361.9301241885837,
2015-02-06,2325.24,2391.9129292260823,
2015-02-09,2366.77,2339.3492607036173,
2015-02-10,2403.55,2413.420662863673,
2015-02-11,2415.13,2415.5831729753436,
2015-02-12,2416.45,2401.8644962342787,
2015-02-13,2427.47,2411.9564047085837,
2015-02-16,2431.21,2428.8066458625144,
2015-02-17,2445.26,2419.5551461891805,
2015-02-25,2407.46,2440.0464554745686,
2015-02-26,2478.06,2409.298693186422,
2015-02-27,2474.6,2487.6759059858446,
2015-03-02,2479.24,2465.3271638547003,
2015-03-03,2396.8,2483.715959892443,
2015-03-04,2397.99,2396.8469180211246,
2015-03-05,2366.9,2390.780543973625,
2015-03-06,2371.62,2363.0533950652634,
2015-03-09,2429.87,2349.33023984502,
2015-03-10,2395.43,2437.2153615212824,
2015-03-11,2408.5,2383.8420299459867,
2015-03-12,2485.11,2419.5734659794534,
2015-03-13,2495.28,2513.649958228738,
2015-03-16,2550.86,2486.356535720297,
2015-03-17,2583.2,2570.978974012054,
2015-03-18,2649.64,2588.726031379851,
2015-03-19,2630.24,2652.5939334633604,
2015-03-20,2680.68,2630.884006706278,
2015-03-23,2720.67,2691.235932988458,
2015-03-24,2683.65,2720.5360541776217,
2015-03-25,2649.16,2695.861395989822,
2015-03-26,2687.76,2638.126617149568,
2015-03-27,2689.24,2689.2139073890276,
2015-03-30,2784.46,2688.8404076785187,
2015-03-31,2754.66,2817.882419567253,
2015-04-01,2799.45,2765.642123044753,
2015-04-02,2781.64,2807.5655274417068,
2015-04-03,2817.18,2808.835057412987,
2015-04-07,2889.45,2805.469629739213,
2015-04-08,2952.08,2903.7651267248784,
2015-04-09,2931.77,2945.0480976553827,
2015-04-10,2986.61,2944.307940632135,
2015-04-13,3041.12,3002.5488966081266,
2015-04-14,3052.41,3062.7513937974,
2015-04-15,3053.3,3044.3860031104086,
2015-04-16,3183.3,3080.410077791954,
2015-04-17,3235.33,3211.979693280472,
2015-04-20,3164.46,3261.35224610562,
2015-04-21,3214.36,3201.2471064991005,
2015-04-22,3299.22,3230.2450485881373,
2015-04-23,3273.4,3317.488125355443,
2015-04-24,3223.96,3263.3843823610932,
2015-04-27,3308.45,3217.0352632106215,
2015-04-28,3282.33,3299.4755255051095,
2015-04-29,3283.28,3291.248874036811,
2015-04-30,3250.49,3265.4599144672393,
2015-05-04,3272.0,3274.4016547368365,
2015-05-05,3148.81,3261.8845082746548,
2015-05-06,3139.02,3147.8133887781914,
2015-05-07,3094.88,3140.0741532695047,
2015-05-08,3110.45,3105.478285754525,
2015-05-11,3169.13,3134.0482580320604,
2015-05-12,3188.31,3167.4398406154023,
2015-05-13,3141.3,3167.0734316717853,
2015-05-14,3128.57,3130.891370978494,
2015-05-15,3060.41,3112.6705790964434,
2015-05-18,2998.39,3053.349623717657,
2015-05-19,3116.09,2980.713208785317,
2015-05-20,3122.85,3127.398729199357,
2015-05-21,3150.9,3126.053454810356,
2015-05-22,3248.86,3145.5090933722395,
2015-05-25,3349.95,3271.8752602382956,
2015-05-26,3386.59,3341.799175811724,
2015-05-27,3344.74,3380.76530170717,
2015-05-28,3124.62,3330.063246192901,
2015-05-29,3111.33,3149.198128576344,
2015-06-01,3244.32,3109.2230283586987,
2015-06-02,3258.31,3229.267167164877,
2015-06-03,3238.43,3231.516619550037,
2015-06-04,3299.03,3222.8219022535695,
2015-06-05,3303.99,3291.7816387129496,
2015-06-08,3458.71,3238.789021245755,
2015-06-09,3414.0,3443.5533254193742,
2015-06-10,3370.38,3414.822889261146,
2015-06-11,3347.12,3345.5320246821857,
2015-06-12,3350.25,3362.426322758228,
2015-06-15,3262.48,3324.501956711827,
2015-06-16,3179.65,3257.3110475853464,
2015-06-17,3211.71,3181.7624291131087,
2015-06-18,3068.49,3226.6203230546253,
2015-06-19,2903.06,3050.284963440068,
2015-06-23,3003.16,2923.661804064217,
2015-06-24,3045.24,3012.6072670833364,
2015-06-25,2943.99,2995.9412048671284,
2015-06-26,2736.7,2933.244979801564,
2015-06-29,2678.37,2770.7923686928507,
2015-06-30,2870.03,2710.316570342031,
2015-07-01,2736.85,2830.602083496192,
2015-07-02,2714.25,2721.1890591319147,
2015-07-03,2582.27,2747.279952522516,
2015-07-06,2750.0,2559.9122920643804,
2015-07-07,2812.45,2825.8267936709035,
2015-07-08,2608.98,2760.994865102078,
2015-07-09,2781.08,2653.994340162163,
2015-07-10,2898.41,2764.804878785354,
2015-07-13,2869.05,2853.4563995640597,
2015-07-14,2763.07,2835.5687048717514,
2015-07-15,2757.95,2793.972645823703,
2015-07-16,2742.85,2731.096664076858,
2015-07-17,2807.06,2687.7366461982383,
2015-07-20,2783.76,2780.8816649144405,
2015-07-21,2772.77,2758.71237874877,
2015-07-22,2739.79,2757.5823610643265,
2015-07-23,2790.76,2723.014098997989,
2015-07-24,2741.04,2766.30585682635,
2015-07-27,2493.29,2731.5790465824894,
2015-07-28,2485.67,2507.446455559793,
2015-07-29,2531.44,2506.932263618455,
2015-07-30,2467.37,2507.1807645669965,
2015-07-31,2461.24,2443.1114983792327,
2015-08-03,2479.72,2458.445100984032,
2015-08-04,2534.71,2481.662355986369,
2015-08-05,2487.06,2521.8993539633775,
2015-08-06,2467.52,2467.415456373554,
2015-08-07,2503.8,2442.2316568247415,
2015-08-10,2617.66,2515.248811145703,
2015-08-11,2590.71,2636.729197780088,
2015-08-12,2561.13,2605.375276500686,
2015-08-13,2580.78,2552.833033004197,
2015-08-14,2577.04,2585.001557060254,
2015-08-17,2550.47,2553.930469003556,
2015-08-18,2407.97,2541.3574637284914,
2015-08-19,2430.28,2415.0865517895795,
2015-08-20,2356.92,2413.9452125414764,
2015-08-21,2271.36,2341.1480530506437,
2015-08-24,2058.25,2265.097098356575,
2015-08-25,1914.05,2064.327320392652,
2015-08-26,1942.45,1916.73370169942,
2015-08-27,2094.72,1978.436488829134,
2015-08-28,2159.96,2090.0600374570186,
2015-08-31,2210.45,2155.704940056495,
2015-09-01,2230.32,2205.57628423761,
2015-09-02,2243.63,2220.8013117835308,
2015-09-07,2133.98,2196.6820260319355,
2015-09-08,2180.13,2092.6375756074285,
2015-09-09,2211.2,2148.2507401381317,
2015-09-10,2208.48,2173.6117551793573,
2015-09-11,2195.39,2198.2595355830344,
2015-09-14,2228.15,2206.516109373912,
2015-09-15,2175.17,2218.3986372274285,
2015-09-16,2241.95,2123.678822750935,
2015-09-17,2194.82,2230.9248517995543,
2015-09-18,2198.99,2179.309332599759,
2015-09-21,2214.45,2192.3244290305156,
2015-09-22,2237.31,2222.7102057419484,
2015-09-23,2178.55,2242.877124457796,
2015-09-24,2188.09,2176.119675887507,
2015-09-25,2183.4,2179.8934195037305,
2015-09-28,2169.94,2164.27723401471,
2015-09-29,2127.2,2149.339317427884,
2015-09-30,2146.12,2108.5257522858096,
2015-10-08,2191.34,2127.519086368835,
2015-10-09,2219.29,2194.8886403508604,
2015-10-12,2283.43,2219.682510441452,
2015-10-13,2270.95,2316.4277017728755,
2015-10-14,2253.91,2278.4300386721643,
2015-10-15,2297.9,2269.5934417421136,
2015-10-16,2323.78,2316.7102489963895,
2015-10-19,2318.47,2337.7391337697277,
2015-10-20,2337.08,2313.355441235008,
2015-10-21,2340.36,2335.8903372316427,
2015-10-22,2331.79,2330.1648977683285,
2015-10-23,2343.96,2297.32908038197,
2015-10-26,2350.02,2342.570754102144,
2015-10-27,2349.9,2326.747467016107,
2015-10-28,2310.7,2351.8750408949268,
2015-10-29,2307.35,2299.913234480175,
2015-10-30,2312.97,2295.4976106653794,
2015-11-02,2280.09,2311.161780480897,
2015-11-03,2271.65,2281.5082095342723,
2015-11-04,2370.5,2281.1724629721307,
2015-11-05,2440.65,2379.305000919081,
2015-11-06,2493.48,2460.2839912037393,
2015-11-09,2534.08,2515.142858238436,
2015-11-10,2522.68,2581.247908829817,
2015-11-11,2505.83,2533.019638702401,
2015-11-12,2476.43,2537.868719854165,
2015-11-13,2447.77,2460.5622883345222,
2015-11-16,2447.29,2442.1992800212897,
2015-11-17,2453.26,2449.737186125434,
2015-11-18,2439.45,2465.511550348415,
2015-11-19,2468.49,2447.0822961344747,
2015-11-20,2466.76,2485.4083641971874,
2015-11-23,2456.84,2464.9867254197497,
2015-11-24,2447.9,2455.6504426064807,
2015-11-25,2459.56,2449.0720812016507,
2015-11-26,2450.96,2445.0325742355585,
2015-11-27,2334.44,2442.520848598212,
2015-11-30,2336.29,2335.8782429279963,
2015-12-01,2344.83,2335.6167573610905,
2015-12-02,2458.41,2323.1800884544555,
2015-12-03,2461.45,2457.8304062978114,
2015-12-04,2397.56,2458.889887484056,
2015-12-07,2395.58,2392.263914460821,
2015-12-08,2364.34,2397.3044243223762,
2015-12-09,2369.74,2344.496442427542,
2015-12-10,2357.21,2363.0328912784134,
2015-12-11,2342.45,2368.550648929128,
2015-12-14,2414.92,2345.033074662216,
2015-12-15,2383.83,2418.9441084785026,
2015-12-16,2376.54,2379.8196917538653,
2015-12-17,2408.32,2362.1128923313677,
2015-12-18,2422.83,2406.4909512355525,
2015-12-21,2500.06,2428.0335866616583,
2015-12-22,2496.05,2523.50990620458,
2015-12-23,2503.06,2493.1388290909645,
2015-12-24,2481.75,2506.8440261300234,
2015-12-25,2492.34,2493.336671472198,
2015-12-28,2411.41,2491.150195113892,
2015-12-29,2432.88,2408.0769329583836,
2015-12-30,2432.77,2431.4987716874566,
2015-12-31,2420.8,2427.366328281191,
2016-01-04,2270.46,2399.105248405901,
2016-01-05,2288.11,2279.5337799239824,
2016-01-06,2317.65,2296.6771235328924,
2016-01-07,2180.59,2310.0435512444606,
2016-01-08,2219.61,2165.3370392690495,
2016-01-11,2120.23,2239.4612192477057,
2016-01-12,2131.37,2091.2552316695496,
2016-01-13,2105.51,2161.169715664716,
2016-01-14,2132.08,2109.5567069154154,
2016-01-15,2070.93,2133.500805162658,
2016-01-18,2069.27,2072.8008229074153,
2016-01-19,2128.57,2051.407821861954,
2016-01-20,2088.72,2139.744481489542,
2016-01-21,2040.98,2072.0641644461234,
2016-01-22,2061.96,2050.3300858829643,
2016-01-25,2065.44,2079.2257680697794,
2016-01-26,1951.61,2047.7317206309222,
2016-01-27,1953.46,1954.1906019418764,
2016-01-28,1912.72,1956.4069074804622,
2016-01-29,1973.01,1894.1712077144437,
2016-02-01,1937.07,1976.7406481783755,
2016-02-02,1969.62,1932.9867927333532,
2016-02-03,1952.37,1962.689329644214,
2016-02-04,1974.24,1938.1495230874878,
2016-02-05,1967.26,1963.2226083536232,
2016-02-15,1948.28,1955.6893516587354,
2016-02-16,2000.9,1940.8063505963746,
2016-02-17,2014.44,2002.6215155807427,
2016-02-18,2009.27,1994.9373529179147,
2016-02-19,2004.11,2005.5291727687363,
2016-02-22,2053.86,2002.4196413515879,
2016-02-23,2029.52,2057.9928068316917,
2016-02-24,2041.39,2025.4071671286122,
2016-02-25,1932.6,2036.3258833397156,
2016-02-26,1955.4,1928.517808434509,
2016-02-29,1944.61,1959.7426035334001,
2016-03-01,1973.19,1930.3858543723745,
2016-03-02,2043.41,1959.7580410491312,
2016-03-03,2053.27,2050.1463894582553,
2016-03-04,2122.27,2040.7674328036192,
2016-03-07,2107.67,2129.9831052087234,
2016-03-08,2115.16,2107.834716100312,
2016-03-09,2111.92,2109.410374508743,
2016-03-10,2061.45,2072.5616953904264,
2016-03-11,2070.72,2043.1378410600798,
2016-03-14,2078.41,2061.0629287976462,
2016-03-15,2101.12,2075.9177293568355,
2016-03-16,2136.13,2105.2255360059917,
2016-03-17,2131.48,2146.1228553735127,
2016-03-18,2141.18,2129.346067577682,
2016-03-21,2193.39,2154.05038929899,
2016-03-22,2173.26,2200.0059617266515,
2016-03-23,2175.28,2189.8406503314086,
2016-03-24,2137.59,2183.5468729949257,
2016-03-25,2149.2,2132.097243261282,
2016-03-28,2123.03,2145.1067521444907,
2016-03-29,2106.86,2127.1032788229254,
2016-03-30,2157.53,2109.1602853212794,
2016-03-31,2156.54,2161.8145965617123,
2016-04-01,2167.78,2156.157245061094,
2016-04-05,2180.26,2168.7757869758952,
2016-04-06,2168.04,2172.660163348297,
2016-04-07,2139.4,2154.555006819536,
2016-04-08,2123.8,2135.81922976976,
2016-04-11,2148.44,2117.233579699406,
2016-04-12,2143.9,2158.1795918022835,
2016-04-13,2171.31,2141.175105712698,
2016-04-14,2178.87,2185.4088347832417,
2016-04-15,2182.07,2182.5512457595764,
2016-04-18,2158.23,2186.4595569702833,
2016-04-19,2163.61,2148.5409389957863,
2016-04-20,2154.89,2160.4915225900827,
2016-04-21,2147.72,2144.9204315923366,
2016-04-22,2157.72,2126.3319039370917,
2016-04-25,2148.28,2155.595817822329,
2016-04-26,2155.79,2135.267332680345,
2016-04-27,2145.38,2146.570062875662,
2016-04-28,2142.06,2138.7891190387363,
2016-04-29,2135.51,2135.272039497962,
2016-05-03,2158.27,2130.3772232441265,
2016-05-04,2152.93,2159.915604232057,
2016-05-05,2152.88,2147.261757692139,
2016-05-06,2107.01,2144.350487359157,
2016-05-09,2072.47,2105.8235925648996,
2016-05-10,2072.38,2070.5687794184564,
2016-05-11,2078.41,2069.840882520742,
2016-05-12,2084.84,2074.679013431157,
2016-05-13,2076.19,2078.6525350971865,
2016-05-16,2082.62,2073.721123566235,
2016-05-17,2075.47,2070.4586225155604,
2016-05-18,2078.76,2067.349788695614,
2016-05-19,2073.8,2066.876014461242,
2016-05-20,2083.12,2063.329898527701,
2016-05-23,2082.41,2075.8137144562334,
2016-05-24,2066.64,2075.658177301943,
2016-05-25,2071.91,2061.739852946506,
2016-05-26,2076.14,2067.614678597477,
2016-05-27,2074.92,2070.571558830562,
2016-05-30,2092.16,2068.7165160416794,
2016-05-31,2155.66,2086.2848687874493,
2016-06-01,2138.96,2152.7878895934264,
2016-06-02,2137.65,2134.0833197255224,
2016-06-03,2152.64,2133.236458649508,
2016-06-06,2136.32,2150.5775050247075,
2016-06-07,2139.07,2126.9049573209586,
2016-06-08,2132.96,2136.0586989164144,
2016-06-13,2084.3,2124.079672319075,
2016-06-14,2095.02,2080.043644982972,
2016-06-15,2106.63,2095.660055597426,
2016-06-16,2094.81,2097.660714017642,
2016-06-17,2102.2,2088.9692160108743,
2016-06-20,2104.22,2096.843928340951,
