,real,predict,bestPastDays,bestMa,ratio
2014-01-02,1561.1,1577.7932935336282,1.0,4.0,0.009910657088972463
2014-01-03,1536.07,1558.838076296519,,,
2014-01-06,1512.93,1535.4978679629862,,,
2014-01-07,1510.65,1512.4205269009428,,,
2014-01-08,1515.33,1509.637970557363,,,
2014-01-09,1503.88,1516.0412804464106,,,
2014-01-10,1498.27,1505.3610299354877,,,
2014-01-13,1494.61,1497.352620625973,,,
2014-01-14,1499.29,1494.8604630784398,,,
2014-01-15,1488.51,1498.650483867881,,,
2014-01-16,1493.09,1486.7205931036851,,,
2014-01-17,1475.67,1493.7895311965228,,,
2014-01-20,1464.84,1474.7471221059184,,,
2014-01-21,1478.88,1463.3433696414486,,,
2014-01-22,1514.12,1479.7035532767322,,,
2014-01-23,1499.03,1516.9547361303892,,,
2014-01-24,1502.06,1498.968476947363,,,
2014-01-27,1478.87,1503.822436185614,,,
2014-01-28,1487.8,1477.6240642490432,,,
2014-01-29,1494.49,1486.445477945126,,,
2014-01-30,1477.35,1492.873798998095,,,
2014-02-07,1475.34,1475.5228507352642,,,
2014-02-10,1505.83,1472.942322420221,,,
2014-02-11,1528.32,1507.8552485323496,,,
2014-02-12,1527.0,1533.1581728161382,,,
2014-02-13,1528.02,1528.0404069590284,,,
2014-02-14,1534.24,1533.3576729165638,,,
2014-02-17,1538.1,1533.5194881532595,,,
2014-02-18,1508.54,1538.558792591141,,,
2014-02-19,1533.4,1509.496410282942,,,
2014-02-20,1520.14,1537.6087541846207,,,
2014-02-21,1505.33,1526.6767585324917,,,
2014-02-24,1468.06,1505.4978021346067,,,
2014-02-25,1440.89,1468.6532458967824,,,
2014-02-26,1444.2,1443.5401905641463,,,
2014-02-27,1452.46,1443.9879176709483,,,
2014-02-28,1464.32,1454.8191721820033,,,
2014-03-03,1462.69,1465.6335606519838,,,
2014-03-04,1464.28,1463.6232043975738,,,
2014-03-05,1448.33,1464.602487762358,,,
2014-03-06,1459.51,1448.294253559143,,,
2014-03-07,1455.58,1460.9845326670718,,,
2014-03-10,1408.87,1458.140206455076,,,
2014-03-11,1412.73,1410.7116973726643,,,
2014-03-12,1418.7,1413.1397215176262,,,
2014-03-13,1437.39,1420.9476944908927,,,
2014-03-14,1426.4,1441.5741955192664,,,
2014-03-17,1434.16,1426.9556121156495,,,
2014-03-18,1427.63,1432.2575237259243,,,
2014-03-19,1418.71,1426.919721913688,,,
2014-03-20,1406.92,1416.2280936024954,,,
2014-03-21,1464.08,1410.2256575363351,,,
2014-03-24,1477.53,1473.9931853400294,,,
2014-03-25,1470.12,1482.517224643786,,,
