样本内数据年份数,第iyear窗口,最佳DEA1,最佳DEA2,样本内净资产
1.0,0.0,-31.0,13.0,1100298.28077
1.0,1.0,-42.0,46.0,1449223.7798000004
1.0,2.0,11.0,31.0,1264017.0472550003
1.0,3.0,-8.0,34.0,1186767.6333500003
1.0,4.0,-28.0,46.0,1212190.9640400002
1.0,5.0,-100.0,-100.0,1000000.0
1.0,6.0,-11.0,-100.0,1387829.9527150004
1.0,7.0,32.0,-100.0,1257062.0915650008
