shortMA,mediumMA,longMA,netAsset
1,5,120,3073651.579935078
2,5,120,6607554.2912001135
3,5,120,8098373.501295138
4,5,120,10946819.671065185
5,5,120,1000000.0
6,5,120,856149.8375850299
7,5,120,1271222.6889650277
8,5,120,1177263.0431700232
1,6,120,4948847.257100103
2,6,120,7730521.791725129
3,6,120,9506951.110910142
4,6,120,7865420.483205125
5,6,120,7778183.265670148
6,6,120,1000000.0
7,6,120,1792267.224435045
8,6,120,1000837.050175023
1,7,120,4882269.22991009
2,7,120,7414176.398825109
3,7,120,8870835.609110115
4,7,120,6981001.675625091
5,7,120,5832429.981315082
6,7,120,3819364.0920300866
7,7,120,1000000.0
8,7,120,958685.9105000288
1,8,120,4595375.719700083
2,8,120,7847439.742230111
3,8,120,9537431.662895123
4,8,120,8336961.731805097
5,8,120,6698991.013900075
6,8,120,7669489.2286001
7,8,120,7301808.252105139
8,8,120,1000000.0
1,9,120,4408456.193610089
2,9,120,7800099.096345098
3,9,120,9238640.7606601
4,9,120,9723616.64805012
5,9,120,6735180.050975077
6,9,120,6825918.034485078
7,9,120,6813609.049400083
8,9,120,5476441.82519009
1,10,120,5488452.370770109
2,10,120,8525810.948655112
3,10,120,9939385.096580116
4,10,120,10135835.284815082
5,10,120,7902260.805390085
6,10,120,7393701.491355084
7,10,120,6618554.805625077
8,10,120,6534538.111195084
1,11,120,5578233.6629501
2,11,120,8937072.098545104
3,11,120,11734457.543225117
4,11,120,11170856.987810114
5,11,120,10088203.941725079
6,11,120,9690861.063120093
7,11,120,10216339.926055104
8,11,120,6420167.050160067
1,12,120,9043088.566145126
2,12,120,10439529.086030114
3,12,120,13526820.600365123
4,12,120,10245300.54626009
5,12,120,10454940.881625088
6,12,120,11489701.696965098
7,12,120,10195043.033740098
8,12,120,8315323.151505093
1,13,120,10067669.314215144
2,13,120,11752004.357750122
3,13,120,15022055.707780119
4,13,120,10654901.4195501
5,13,120,11447621.46807509
6,13,120,10962780.852980094
7,13,120,9095009.68224009
8,13,120,7773318.419030082
1,14,120,10915789.97428017
2,14,120,12490815.684670107
3,14,120,12814555.180395097
4,14,120,9213351.497955061
5,14,120,9080496.659220064
6,14,120,11706672.30119508
7,14,120,8509157.444855077
8,14,120,7811550.407640056
1,15,120,13303213.449375149
2,15,120,12439567.855920114
3,15,120,10667004.018535081
4,15,120,9120584.099915093
5,15,120,10262621.057585077
6,15,120,11225931.33692508
7,15,120,9781526.720830072
8,15,120,8370450.404260063
1,16,120,13454794.882440157
2,16,120,11318908.97012511
3,16,120,13209081.4296701
4,16,120,10500221.234855078
5,16,120,9609985.704170072
6,16,120,9953169.52284007
7,16,120,8795007.360195069
8,16,120,7389727.306400055
1,17,120,14510322.407045145
2,17,120,12495829.118285106
3,17,120,13199641.74758009
4,17,120,9757609.028555073
5,17,120,8416831.805280061
6,17,120,8109016.718140059
7,17,120,8066271.64419006
8,17,120,7970961.449705066
1,18,120,12418679.821170125
2,18,120,11951687.3734201
3,18,120,12487485.68481509
4,18,120,7467080.287345063
5,18,120,8995598.524900058
6,18,120,9146420.665870069
7,18,120,8607041.288000051
8,18,120,7595051.322380066
1,19,120,13196763.34721514
2,19,120,12841496.308040097
3,19,120,12088460.359670082
4,19,120,8577614.960820062
5,19,120,9997102.63851008
6,19,120,9031992.818025058
7,19,120,9316199.68957007
8,19,120,9262211.965320066
1,20,120,11725039.101980135
2,20,120,13381793.549910093
3,20,120,11098263.999125075
4,20,120,8366016.256480059
5,20,120,10574349.25102507
6,20,120,8465197.723305069
7,20,120,8817334.231120063
8,20,120,9056760.54564006
1,21,120,10161927.094745133
2,21,120,11876443.503275098
3,21,120,10316144.154215092
4,21,120,8661496.777755063
5,21,120,10525501.10380007
6,21,120,8397678.175275061
7,21,120,9229501.58447006
8,21,120,8694819.17393506
1,5,121,3056412.1936150757
2,5,121,6570610.016845115
3,5,121,7778474.147635142
4,5,121,10513928.632805195
5,5,121,1000000.0
6,5,121,826503.760770032
7,5,121,1226257.5983300293
8,5,121,1132865.9772100223
1,6,121,4921219.487320107
2,6,121,7687230.697590133
3,6,121,9453753.257105142
4,6,121,7821357.587575126
5,6,121,7734640.159690147
6,6,121,1000000.0
7,6,121,1735303.1507100444
8,6,121,962603.2800950236
1,7,121,4854996.88471509
2,7,121,7372744.45128011
3,7,121,8821201.12071511
4,7,121,6941916.230625091
5,7,121,5799877.150010083
6,7,121,3780998.0141500817
7,7,121,1000000.0
8,7,121,882624.2391200281
1,8,121,4569706.497580087
2,8,121,7803522.648960113
3,8,121,9484136.655680118
4,8,121,8290328.1855951
5,8,121,6661433.158525077
6,8,121,7626620.306835099
7,8,121,7591338.067735124
8,8,121,1000000.0
1,9,121,4383813.797565093
2,9,121,7756458.7226851005
3,9,121,9186985.248910105
4,9,121,9669268.671575122
5,9,121,6697415.510455079
6,9,121,6811035.141630081
7,9,121,7082739.3937850855
8,9,121,5694048.733000087
1,10,121,5457749.14116011
2,10,121,8478137.067445112
3,10,121,9883858.27136512
4,10,121,10079196.388985086
5,10,121,7858020.601265086
6,10,121,7377521.403750084
7,10,121,6871855.168900079
8,10,121,6534538.111195084
1,11,121,5547074.481655101
2,11,121,8887104.801215108
3,11,121,11668766.024620118
4,11,121,11108271.389075113
5,11,121,10066096.093045078
6,11,121,9669779.005710093
7,11,121,10216339.926055104
8,11,121,5954781.691110068
1,12,121,8992511.440515129
2,12,121,10381135.415255118
3,12,121,13451221.376730122
4,12,121,10187975.716615096
5,12,121,10432139.252940087
6,12,121,11464635.683560103
7,12,121,9855688.942815084
8,12,121,7711628.180070079
1,13,121,10011463.842695143
2,13,121,11686319.959445128
3,13,121,14440380.791280115
4,13,121,10243219.974895075
5,13,121,11422645.775550086
6,13,121,10574928.471670091
7,13,121,8436724.14629509
8,13,121,7207772.500630081
1,14,121,10854770.673910163
2,14,121,12420849.824410107
3,14,121,11818596.021280099
4,14,121,8857726.83853007
5,14,121,8403131.62174006
6,14,121,10832671.26090508
7,14,121,7892630.795610087
8,14,121,7259060.303660062
1,15,121,13228741.388285153
2,15,121,11866316.684745114
3,15,121,9836738.551430084
4,15,121,8760198.019580085
5,15,121,9822860.947295068
6,15,121,10388370.354395078
7,15,121,9071814.71909508
8,15,121,7779120.213650059
1,16,121,13379446.293840155
2,16,121,10797457.038795097
3,16,121,12600415.772260098
4,16,121,10017204.937140081
5,16,121,9198708.846505072
6,16,121,9210378.299015068
7,16,121,8174133.685710057
8,16,121,6868377.118165061
1,17,121,14429299.320155147
2,17,121,11920041.338465096
3,17,121,12591092.205225095
4,17,121,9308534.117170082
5,17,121,8056795.8561200695
6,17,121,7776803.031830063
7,17,121,7496113.965745062
8,17,121,7407629.086560063
1,18,121,12349216.555180123
2,18,121,11401866.725045094
3,18,121,11912340.078240091
4,18,121,7425223.459315064
5,18,121,8610754.765760066
6,18,121,8772767.257305061
7,18,121,8271143.729425053
8,18,121,7302170.601515057
1,19,121,13122877.971420141
2,19,121,12250192.671550095
3,19,121,11531747.519475088
4,19,121,8529629.135365063
5,19,121,9586771.843860086
6,19,121,8663206.835565059
7,19,121,8955052.084175063
8,19,121,8903943.42202006
1,20,121,11659614.400120135
2,20,121,12765599.37451009
3,20,121,10587311.973530073
4,20,121,8319242.29943006
5,20,121,10106407.949250082
6,20,121,8118260.159035043
7,20,121,8476169.943420062
8,20,121,8705538.409510067
1,21,121,10105191.295835136
2,21,121,11328917.315460095
3,21,121,9840822.625265088
4,21,121,8261629.045225051
5,21,121,10060713.72439006
6,21,121,8053733.658515061
7,21,121,8850848.551835068
8,21,121,8358917.051125061
1,5,122,3071164.3469150746
2,5,122,6420181.0726301195
3,5,122,7475290.341910131
4,5,122,10404717.609365191
5,5,122,1000000.0
6,5,122,838718.0779500308
7,5,122,1245547.1836150282
8,5,122,1160119.3285550228
1,6,122,4947011.702765096
2,6,122,7312446.216725135
3,6,122,9077279.536220152
4,6,122,7746778.455675123
5,6,122,7669792.24538015
6,6,122,1000000.0
7,6,122,1773179.3077650447
8,6,122,987062.0449700238
1,7,122,4757913.614725083
2,7,122,7012538.019730109
3,7,122,8739019.787670124
4,7,122,6875573.501930078
5,7,122,5751042.959390087
6,7,122,3718418.0881000846
7,7,122,1000000.0
8,7,122,905548.8997700292
1,8,122,4348423.029875082
2,8,122,7423063.971150099
3,8,122,9301998.233775109
4,8,122,8211756.151120103
5,8,122,6538905.618915077
6,8,122,7489193.4751851065
7,8,122,7450375.594135123
8,8,122,1000000.0
1,9,122,4170423.455105082
2,9,122,7603891.614755098
3,9,122,9009821.368245106
4,9,122,9490809.38243011
5,9,122,6573806.406710084
6,9,122,6686111.554470084
7,9,122,6949147.390645089
8,9,122,5592310.037295091
1,10,122,5191028.784840104
2,10,122,8314501.9719551215
3,10,122,9702237.025930092
4,10,122,9893747.159470098
5,10,122,7712230.393070071
6,10,122,7248486.570420075
7,10,122,6752394.821545071
8,10,122,6420194.720225094
1,11,122,5276389.2185550835
2,11,122,8712771.628475113
3,11,122,11452770.101885114
4,11,122,10903670.309665106
5,11,122,9891201.2036351
6,11,122,9501463.189850092
7,11,122,10035804.953020107
8,11,122,5850122.319935065
1,12,122,8555311.961350119
2,12,122,10179549.607355105
3,12,122,13203157.980745105
4,12,122,10000666.806415074
5,12,122,10251983.896195093
6,12,122,11263557.424160093
7,12,122,9682656.89999509
8,12,122,7577970.331345087
1,13,122,9521990.590595122
2,13,122,11472462.915985119
3,13,122,14173641.481165115
4,13,122,10063503.945610099
5,13,122,11222129.00208008
6,13,122,10390765.443550093
7,13,122,8290179.285150078
8,13,122,7081152.986210077
1,14,122,10324025.396785134
2,14,122,12192049.007050129
3,14,122,11600453.789775105
4,14,122,8702938.527120074
5,14,122,8255837.402870065
6,14,122,10645067.97120506
7,14,122,7753431.945010078
8,14,122,7132743.842705059
1,15,122,12582746.07649514
2,15,122,11648279.082415115
3,15,122,9665702.523620093
4,15,122,8606003.97229508
5,15,122,9650022.817180078
6,15,122,10206501.450375075
7,15,122,8912689.961135084
8,15,122,7644067.679800049
1,16,122,12726842.596245157
2,16,122,10599010.7135701
3,16,122,12380095.859865107
4,16,122,9841612.555765083
5,16,122,9036021.959460078
6,16,122,9048214.748625062
7,16,122,8030568.398980045
8,16,122,6747671.464205066
1,17,122,13723911.528745161
2,17,122,11699515.20793012
3,17,122,12371510.227135094
4,17,122,9145360.470320063
5,17,122,7914660.082515051
6,17,122,7641068.4314000625
7,17,122,7364848.790605066
8,17,122,7277451.122190058
1,18,122,11746439.459245129
2,18,122,11202392.81383011
3,18,122,11706054.02186009
4,18,122,7292817.203210062
5,18,122,8460580.758345071
6,18,122,8620726.601215059
7,18,122,8128534.707120063
8,18,122,7180574.910415059
1,19,122,12482794.55524512
2,19,122,12035653.488265099
3,19,122,11330286.679495098
4,19,122,8379406.533970082
5,19,122,9418950.371300079
6,19,122,8519894.31606005
7,19,122,8809179.301025055
8,19,122,8755955.212145047
1,20,122,11308240.807570117
2,20,122,12543192.34990511
3,20,122,10402959.774675095
4,20,122,8172889.10691006
5,20,122,9929409.931750074
6,20,122,7985366.339285057
7,20,122,8490790.583965054
8,20,122,8719865.988060065
1,21,122,9802036.316880109
2,21,122,11131630.326920107
3,21,122,9668516.943805076
4,21,122,8116952.470380065
5,21,122,9884365.358500065
6,21,122,7920418.120940056
7,21,122,8867158.63961505
8,21,122,8374581.192705051
1,5,123,2949491.3811100787
2,5,123,6184730.496180125
3,5,123,7309248.557695147
4,5,123,10243936.595725194
5,5,123,1000000.0
6,5,123,787793.8431300296
7,5,123,1230567.995960031
8,5,123,1160654.8852150263
1,6,123,4764007.179080104
2,6,123,7043171.738015126
3,6,123,8963517.000795158
4,6,123,7421193.198900126
5,6,123,7661702.1201451635
6,6,123,1000000.0
7,6,123,1824797.4529400486
8,6,123,988202.8731900237
1,7,123,4522061.135085099
2,7,123,6747808.936475109
3,7,123,8410105.634685121
4,7,123,6536762.51563508
5,7,123,5467821.829290101
6,7,123,3393236.616560084
7,7,123,1000000.0
8,7,123,907578.71928003
1,8,123,4132706.236360087
2,8,123,7143392.385750102
3,8,123,8801073.754965128
4,8,123,7951368.238215108
5,8,123,6133897.559735077
6,8,123,7023178.652205093
7,8,123,6989410.103545128
8,8,123,1000000.0
1,9,123,3946137.0951650813
2,9,123,7251043.121400107
3,9,123,8484277.083160106
4,9,123,9189314.3229901
5,9,123,6165749.890715091
6,9,123,6270687.203560082
7,9,123,6814865.592155093
8,9,123,5655765.111580085
1,10,123,4912424.744180093
2,10,123,7925448.039320116
3,10,123,8851374.177950101
4,10,123,9279949.265430098
5,10,123,7233548.647355089
6,10,123,6799813.891195081
7,10,123,6682583.876495068
8,10,123,6294262.709905093
1,11,123,4992295.132810095
2,11,123,8054869.571970101
3,11,123,10607696.133240104
4,11,123,10381235.452860113
5,11,123,9278095.886775091
6,11,123,9047877.305155091
7,11,123,9466331.450730102
8,11,123,5411054.246925063
1,12,123,7943084.075225123
2,12,123,9553587.132160109
3,12,123,12737725.662560118
4,12,123,9521636.811665092
5,12,123,9880626.8680451
6,12,123,10854796.391180107
7,12,123,9242009.219005086
8,12,123,7234733.369740085
1,13,123,8802450.04971013
2,13,123,10765698.653340112
3,13,123,13674615.856270123
4,13,123,9708860.765890086
5,13,123,10825246.7836601
6,13,123,9929744.674415091
7,13,123,7922026.63133509
8,13,123,6760407.157870078
1,14,123,9543938.188560136
2,14,123,11761952.590855137
3,14,123,11192030.1213651
4,14,123,8397102.680910075
5,14,123,7965072.51628008
6,14,123,10172288.213280078
7,14,123,7401996.614030088
8,14,123,6808309.508240067
1,15,123,11958680.898140151
2,15,123,11237931.97576513
3,15,123,9324173.930270104
4,15,123,8302919.382340089
5,15,123,9301984.417420074
6,15,123,9743285.958430089
7,15,123,8507694.576365076
8,15,123,7274203.721825056
1,16,123,12094044.766305136
2,16,123,10223377.068025118
3,16,123,11942252.478630088
4,16,123,9484633.926915092
5,16,123,8709391.66702007
6,16,123,8638920.147970073
7,16,123,7644140.578240066
8,16,123,6223514.828995079
1,17,123,13042653.58832515
2,17,123,11286696.617440114
3,17,123,11911125.675395114
4,17,123,8815416.776795078
5,17,123,7620535.496525074
6,17,123,7273069.492135064
7,17,123,7008284.35531006
8,17,123,6711115.267715068
1,18,123,11161216.82370511
2,18,123,10796529.578645099
3,18,123,11268955.951710096
4,18,123,6936942.984175073
5,18,123,8120163.956585067
6,18,123,8196845.02161007
7,18,123,7496363.18352506
8,18,123,6622846.092905061
1,19,123,11706494.881180134
2,19,123,11598975.554060113
3,19,123,10779191.583625088
4,19,123,7969460.853205081
5,19,123,8932972.101860072
6,19,123,8003635.496455058
7,19,123,8017638.03165006
8,19,123,7980693.025810069
1,20,123,10653698.03875012
2,20,123,11942842.788785113
3,20,123,9894918.464300077
4,20,123,7774450.2228000695
5,20,123,9416615.566775087
6,20,123,7191800.0598200755
7,20,123,7647497.921950074
8,20,123,7853078.442735059
1,21,123,9235341.165070098
2,21,123,10487933.718955107
3,21,123,9197220.938140096
4,21,123,7697727.58944507
5,21,123,9186645.627285074
6,21,123,7134104.313060061
7,21,123,8299555.425615071
8,21,123,7839257.996110055
1,5,124,2956585.317285077
2,5,124,6198541.307010125
3,5,124,7312329.338025146
4,5,124,10209922.631805172
5,5,124,1000000.0
6,5,124,800013.0959000296
7,5,124,1249537.522500028
8,5,124,1178644.2131950264
1,6,124,4776683.640150109
2,6,124,7021904.211315145
3,6,124,8933985.253205156
4,6,124,7399976.32464013
5,6,124,7638178.124245162
6,6,124,1000000.0
7,6,124,1853357.3258450453
8,6,124,1002446.7371600267
1,7,124,4534119.646065089
2,7,124,6727090.641265106
3,7,124,8383477.273260121
