Date,Open,Close,sign,hold,balance,netAsset,profit
2014-01-02,2323.43,2321.98,0.0,0.0,1000000.0,1000000.0,0.0
2014-07-23,2191.39,2197.83,1.0,456.0,226.5230800000718,999500.36308,0.0
2014-08-15,2337.99,2360.63,-1.0,0.0,1065816.90136,1065816.90136,65816.90136000002
2014-08-18,2366.27,2374.56,1.0,450.0,462.9906099999789,1065284.49061,0.0
2014-08-22,2352.32,2365.36,-1.0,0.0,1058477.71861,1058477.71861,-7339.18274999992
2014-08-25,2367.02,2342.86,1.0,446.0,2258.9531500001904,1057949.87315,0.0
2014-08-26,2339.6,2324.09,-1.0,0.0,1045198.8223500003,1045198.8223500003,-13278.896259999834
2014-09-02,2359.86,2386.46,1.0,442.0,1619.1732900001807,1044677.2932900003,0.0
2014-09-17,2395.36,2401.33,-1.0,0.0,1059838.9187300005,1059838.9187300005,14640.096380000236
2014-09-18,2396.38,2408.66,1.0,442.0,109.35875000059605,1059309.3187500006,0.0
2014-09-23,2379.52,2399.46,-1.0,0.0,1051331.3248300008,1051331.3248300008,-8507.593899999745
2014-09-25,2453.42,2436.97,1.0,428.0,742.5329500008374,1050806.2929500008,0.0
2014-10-20,2448.45,2454.71,-1.0,0.0,1048155.1646500009,1048155.1646500009,-3176.16017999989
2014-10-21,2453.41,2433.39,1.0,427.0,25.291615000925958,1047631.3616150009,0.0
2014-10-22,2434.89,2418.64,-1.0,0.0,1039203.4726000009,1039203.4726000009,-8951.692049999954
2014-10-30,2450.36,2468.93,1.0,423.0,2182.941460000933,1038685.221460001,0.0
2014-11-21,2537.54,2583.46,-1.0,0.0,1075025.6717500011,1075025.6717500011,35822.19915000023
2014-11-24,2614.16,2649.26,1.0,411.0,68.70187000115402,1074488.4618700012,0.0
2014-12-25,3254.48,3335.42,-1.0,0.0,1336991.1862300013,1336991.1862300013,261965.51448000013
2014-12-26,3343.64,3445.84,1.0,399.0,2211.7700500015635,1336324.1300500014,0.0
2015-01-20,3336.79,3396.22,-1.0,0.0,1332925.2904450016,1332925.2904450016,-4065.8957849997096
2015-01-22,3551.05,3567.61,1.0,375.0,615.7185700016562,1332259.4685700017,0.0
2015-01-29,3474.91,3481.8,-1.0,0.0,1303055.4229450016,1303055.4229450016,-29869.867499999935
2015-02-16,3473.29,3499.48,1.0,374.0,3395.4577150016557,1302405.9177150016,0.0
2015-03-09,3449.7,3537.75,-1.0,0.0,1292938.1638150017,1292938.1638150017,-10117.259129999904
2015-03-10,3523.64,3520.61,1.0,366.0,2641.0976950018667,1292293.3376950019,0.0
2015-05-06,4626.23,4553.33,-1.0,0.0,1694994.677605002,1694994.677605002,402056.51379000023
2015-05-12,4692.12,4747.42,1.0,361.0,292.42994500207715,1694147.7499450021,0.0
2015-05-18,4582.06,4575.14,-1.0,0.0,1653589.0281150022,1653589.0281150022,-41405.64948999975
2015-05-20,4751.57,4754.92,1.0,347.0,3969.8407200025395,1652764.6307200023,0.0
2015-06-17,5072.31,5138.83,-1.0,0.0,1763181.3649350028,1763181.3649350028,109592.33682000055
2015-12-18,3754.96,3767.91,1.0,469.0,1224.58681500284,1762300.8268150028,0.0
2015-12-29,3723.05,3761.87,-1.0,0.0,1746461.981590003,1746461.981590003,-16719.383344999747
2015-12-30,3762.91,3765.18,1.0,463.0,3363.5379250033293,1745590.8679250032,0.0
2016-01-04,3725.86,3469.07,-1.0,0.0,1727574.1813350036,1727574.1813350036,-18887.800254999427
2016-06-30,3152.83,3153.92,1.0,547.0,2113.872330003651,1726711.8823300037,0.0
2016-07-25,3220.17,3230.89,-1.0,0.0,1762666.1458350038,1762666.1458350038,35091.964500000235
2016-07-27,3270.08,3218.24,1.0,538.0,2483.454315003939,1761786.494315004,0.0
2016-07-28,3204.46,3221.14,-1.0,0.0,1725620.934575004,1725620.934575004,-37045.21125999978
2016-08-09,3232.6,3256.98,1.0,533.0,1783.6466750041582,1724759.4466750042,0.0
2016-08-26,3312.5,3307.09,-1.0,0.0,1766463.3654250042,1766463.3654250042,40842.43085000012
2016-09-07,3344.07,3340.82,1.0,527.0,3257.3129800041206,1765582.2029800043,0.0
2016-09-12,3271.87,3262.6,-1.0,0.0,1726670.6652350042,1726670.6652350042,-39792.70019
2016-10-11,3296.87,3306.56,1.0,523.0,1545.5237300042063,1725808.5337300042,0.0
2016-12-06,3466.24,3459.15,-1.0,0.0,1813482.6219700042,1813482.6219700042,86811.95673500001
2017-01-04,3340.56,3368.31,1.0,542.0,1993.810210004216,1812577.3302100042,0.0
2017-01-12,3332.69,3317.62,-1.0,0.0,1807408.6312200043,1807408.6312200043,-6073.990749999881
2017-01-19,3330.95,3329.29,1.0,542.0,1131.0437700045295,1806505.9437700044,0.0
2017-01-20,3326.98,3354.89,-1.0,0.0,1803452.5921900047,1803452.5921900047,-3956.039029999636
2017-01-23,3359.05,3364.08,1.0,536.0,2101.5667900047265,1802552.3667900048,0.0
2017-03-03,3424.66,3427.86,-1.0,0.0,1836801.5179100048,1836801.5179100048,33348.925720000174
2017-03-08,3452.2,3448.73,1.0,531.0,2766.758810004918,1835884.9588100049,0.0
2017-03-09,3442.9,3426.94,-1.0,0.0,1830032.5688600051,1830032.5688600051,-6768.949049999705
2017-03-14,3456.66,3456.69,1.0,529.0,545.1422900052276,1829118.2822900051,0.0
2017-03-20,3449.05,3449.61,-1.0,0.0,1824180.3185650054,1824180.3185650054,-5852.250294999685
2017-03-21,3449.77,3466.35,1.0,528.0,1791.0192850055173,1823269.5792850056,0.0
2017-03-31,3434.82,3456.05,-1.0,0.0,1814469.186805006,1814469.186805006,-9711.131759999553
2017-04-06,3507.99,3514.05,1.0,516.0,3441.2853850061074,1813564.125385006,0.0
2017-04-17,3475.74,3479.94,-1.0,0.0,1796026.384465006,1796026.384465006,-18442.802339999937
2017-05-17,3423.19,3409.97,1.0,524.0,1377.9486850060057,1795129.508685006,0.0
2017-05-18,3387.67,3398.11,-1.0,0.0,1775629.4591450063,1775629.4591450063,-20396.92531999969
2017-05-24,3409.72,3424.17,1.0,520.0,1688.5319450064562,1774742.9319450064,0.0
2017-06-19,3520.06,3553.67,-1.0,0.0,1831204.5163450064,1831204.5163450064,55575.057200000156
2017-06-20,3560.79,3546.49,1.0,514.0,43.33331500645727,1830289.3933150065,0.0
2017-08-07,3701.22,3726.79,-1.0,0.0,1901519.1997750064,1901519.1997750064,70314.68342999998
2017-08-09,3728.03,3731.04,1.0,509.0,3003.146140006371,1900570.4161400064,0.0
2017-08-10,3724.96,3715.92,-1.0,0.0,1898059.7838200065,1898059.7838200065,-3459.4159549998585
2017-08-18,3707.19,3724.67,1.0,511.0,2738.506775006652,1897112.5967750067,0.0
2017-09-15,3826.14,3831.3,-1.0,0.0,1956918.468005007,1956918.468005007,58858.68418500037
2017-09-19,3849.88,3832.12,1.0,508.0,201.55848500691354,1955940.598485007,0.0
2017-09-20,3830.15,3842.44,-1.0,0.0,1944944.900385007,1944944.900385007,-11973.56761999987
2017-09-21,3843.26,3837.82,1.0,505.0,3128.1772350070532,1943974.477235007,0.0
2017-09-25,3829.22,3817.79,-1.0,0.0,1935917.399185007,1935917.399185007,-9027.501200000057
2017-10-09,3910.12,3882.21,1.0,494.0,3352.319545007078,1934951.599545007,0.0
2017-11-27,4088.93,4049.95,-1.0,0.0,2022273.773835007,2022273.773835007,86356.37465000013
2017-12-12,4068.51,4016.02,1.0,496.0,3283.8233550069854,2021264.7833550072,0.0
2017-12-13,4013.83,4050.09,-1.0,0.0,1993148.073515007,1993148.073515007,-29125.70032000006
2017-12-14,4050.9,4026.15,1.0,491.0,3161.677565007005,1992153.5775650071,0.0
2017-12-15,4018.73,3980.86,-1.0,0.0,1975371.509350007,1975371.509350007,-17776.564165000105
2017-12-20,4036.02,4030.49,1.0,489.0,770.9224600070156,1974384.702460007,0.0
2017-12-28,3993.0,4018.9,-1.0,0.0,1952371.6339600072,1952371.6339600072,-22999.87538999971
2018-01-02,4045.21,4087.4,1.0,482.0,1605.5183500072453,1951396.7383500072,0.0
2018-01-31,4234.11,4275.9,-1.0,0.0,2041426.1178400072,2041426.1178400072,89054.48387999996
2018-02-27,4120.87,4058.98,1.0,495.0,575.5525150073227,2040406.2025150072,0.0
2018-02-28,4016.79,4023.64,-1.0,0.0,1987892.4469900075,1987892.4469900075,-53533.670849999646
2018-03-07,4063.5,4036.65,1.0,488.0,3912.952990007587,1986900.9529900076,0.0
2018-03-08,4038.95,4077.6,-1.0,0.0,1973935.0491900076,1973935.0491900076,-13957.397799999919
2018-03-09,4088.07,4108.87,1.0,482.0,2500.0843200078234,1972949.8243200078,0.0
2018-03-19,4054.62,4074.25,-1.0,0.0,1955849.7609000078,1955849.7609000078,-18085.288289999822
2018-03-20,4045.74,4077.7,1.0,483.0,780.2946900080424,1954872.714690008,0.0
2018-03-22,4062.07,4020.35,-1.0,0.0,1961779.1147850081,1961779.1147850081,5929.353885000339
2019-02-11,3239.81,3306.47,1.0,605.0,714.022260008147,1960799.0722600082,0.0
2019-03-15,3713.94,3745.01,-1.0,0.0,2246524.255410008,2246524.255410008,284745.140625
2019-03-18,3753.64,3851.75,1.0,598.0,725.1970500084572,2245401.917050008,0.0
2019-03-26,3766.53,3700.44,-1.0,0.0,2251983.9445800087,2251983.9445800087,5459.689170000609
2019-04-01,3901.17,3973.93,1.0,576.0,3786.4876200091094,2250860.407620009,0.0
2019-04-23,4021.63,4019.01,-1.0,0.0,2319087.138180009,2319087.138180009,67103.19360000035
2019-05-29,3642.54,3663.91,1.0,636.0,1273.3704600092024,2317928.810460009,0.0
2019-05-31,3641.0,3629.79,-1.0,0.0,2315791.532460009,2315791.532460009,-3295.605719999876
2019-06-12,3706.86,3691.1,1.0,624.0,1554.3521400094032,2314634.9921400095,0.0
2019-07-09,3798.1,3793.13,-1.0,0.0,2370383.7449400094,2370383.7449400094,54592.21248000022
2019-07-25,3821.39,3851.07,1.0,619.0,3760.6147350096144,2369201.0247350098,0.0
2019-08-02,3729.13,3747.44,-1.0,0.0,2310937.91900001,2310937.91900001,-59445.82593999943
2019-08-20,3786.03,3787.73,1.0,610.0,304.87985000992194,2309783.17985001,0.0
2019-08-21,3778.31,3781.76,-1.0,0.0,2303921.59530001,2303921.59530001,-7016.323700000066
2019-08-23,3796.88,3820.86,1.0,606.0,1861.8606600100175,2302771.1406600103,0.0
2019-08-27,3791.46,3816.95,-1.0,0.0,2298337.8082800102,2298337.8082800102,-5583.787019999698
2019-08-28,3818.81,3802.58,1.0,601.0,2085.445875010453,2297190.2558750105,0.0
2019-08-30,3816.68,3799.59,-1.0,0.0,2294763.2135350103,2294763.2135350103,-3574.594744999893
2019-09-02,3803.69,3848.32,1.0,602.0,3796.9228450106457,2293618.3028450105,0.0
2019-09-24,3895.87,3901.08,-1.0,0.0,2347938.0059750103,2347938.0059750103,53174.79243999999
2019-10-14,3944.86,3953.24,1.0,594.0,3519.542555010412,2346766.3825550103,0.0
2019-10-21,3865.34,3880.84,-1.0,0.0,2298383.4965750105,2298383.4965750105,-49554.509399999864
2019-10-23,3892.68,3871.08,1.0,590.0,553.9559750109911,2297235.1559750107,0.0
2019-10-24,3877.92,3870.67,-1.0,0.0,2287382.769575011,2287382.769575011,-11000.72699999949
2019-10-28,3904.98,3926.59,1.0,585.0,1827.2629250111058,2286240.562925011,0.0
