样本内数据年份数,第iyear窗口,最佳短期均线,最佳中期均线,最佳长期均线,样本内净资产
8.0,0.0,1.0,15.0,120.0,6109808.08804503
8.0,1.0,2.0,13.0,120.0,4210217.858720018
8.0,2.0,1.0,20.0,120.0,2821116.012390008
8.0,3.0,4.0,9.0,120.0,2929936.721235013
8.0,4.0,6.0,11.0,120.0,2084792.9485050072
8.0,5.0,5.0,13.0,120.0,2225030.503670007
8.0,6.0,8.0,20.0,120.0,2734614.0310200052
8.0,7.0,1.0,17.0,120.0,2473477.913370018
