样本内数据年份数,8.0
样本外净资产,1393631.0530250028
总收益率,0.39363105302500284
年复利,0.042346969906668086
最大回撤率,-0.4510358045620415
夏普率,0.14434237295100127
程序运行时间,2022-09-30 13:05:41
程序运行时长,0.4358s
