Date,netAsset,yearTotalRate
2006-01-04,1000000.0,
2006-12-29,1946422.3642299997,0.9645101078994074
2007-12-28,5523401.189870002,1.8377197525959619
2008-12-31,2007095.5033800018,-0.63661964170536
2009-12-31,4067170.6352250013,1.026396167185756
2010-12-31,3558454.0952250017,-0.12507873055388952
2011-12-30,2588991.723665002,-0.27243919567794805
2012-12-31,2596090.1746650026,0.0027417820362716228
2013-12-31,2336929.1972850026,-0.09982741736366763
2014-12-31,3442206.763695004,0.4729615119251753
2015-12-31,3936904.9609750044,0.14371542189086028
2016-12-30,3493255.280975004,-0.11268996442579271
2017-12-29,4252957.400975005,0.21747684005159784
2018-12-28,3388802.1392300045,-0.20318925873720006
2019-12-31,4689255.183925005,0.38375006603085016
2020-12-31,6053072.957480006,0.29083889019950004
2021-12-31,5738534.837480006,-0.051963378305446284
