最佳J1,43.0
最佳J2,110.0
本期净资产,5738534.837480006
本期总收益,4.738534837480006
本期年复利,0.11536482612612886
最大回测率,-0.6969143548468705
夏普率,0.3571692106289376
程序运行时间,2022-08-24 16:00:44
程序运行时长,96.5s
